,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9
PLEKHG5,0.087571464,0.02303835,0.009124158,0.000274184,0.000257714,0.000222282,0.137722328,0.041992947,0.000576294
NOL9,0.125471398,0.026687082,0.21152541,0.000193794,0.000270097,0.000188378,0.002648065,0.077681482,0.049160928
ZBTB48,0.067501247,0.058558334,0.186238199,9.72E-05,0.052416217,0.031193968,0.146354929,0.131440535,0.10089533
KLHL21,0.157439455,0.040644061,0.22061412,0.052538395,0.087416716,0.079623058,0.466377467,0.014218677,0.166718885
PHF13,0.019004144,0.005875435,0.004522261,0.000141389,0.00038812,0.030708287,0.139337018,0.031861778,0.000207071
THAP3,0.041649643,0.044208106,0.006530704,0.052622829,0.048086081,0.000255607,0.280708402,0.069406852,0.000390361
DNAJC11,0.144600406,0.12319994,0.514455736,0.040498119,0.044322692,0.00027987,0.441858232,0.012038088,0.130138993
CAMTA1-DT,0.000889877,0.00022248,0.001998655,0.000161153,0.000291512,0.000261354,0.001840776,0.000382131,0.000339637
CAMTA1,0.241812304,0.052641608,1.023895502,0.050140824,0.002768325,0.00139016,0.543904781,0.084290393,0.047748554
AL359881.1,0.000676937,0.00020974,0.002313531,0.000192814,0.000206176,0.000156466,0.002124647,0.000791331,0.000295679
VAMP3,0.067795284,0.060048085,0.85325259,0.001245916,0.000833464,0.09742514,0.978280365,0.19525975,0.06591095
PER3,0.02588602,0.017503966,0.002777657,0.000654064,0.000197893,0.000582596,0.262814343,0.027146783,0.042550687
UTS2,0.001406775,0.000304067,0.002753658,0.000348031,0.000294322,0.000176297,0.002418692,0.001577934,0.000425095
TNFRSF9,0.00124727,0.001693549,0.002836502,0.00036915,0.000316352,0.000181065,0.003108939,0.001246071,0.000380686
PARK7,0.56812036,0.368639231,2.379451752,0.222640291,0.166490912,0.119095087,2.562375069,0.52862823,0.35569641
AL034417.4,0.000512722,0.000144207,0.002295338,0.000222929,0.000219373,0.000160092,0.00198561,0.001041122,0.000306895
ERRFI1,0.290611118,0.155809298,1.178940654,0.121763222,0.091288663,0.037018925,0.751345336,0.111383468,0.033746447
SLC45A1,0.000988493,0.000377535,0.002843234,0.000217465,0.000226013,0.000173739,0.115773834,0.009103659,0.000340869
RERE,0.214016408,0.032646347,0.332291573,0.126605973,0.132263869,0.030834576,0.522523046,0.116201565,0.05942478
RERE-AS1,0.000913396,0.000293683,0.002207079,0.000217476,0.000279788,0.00019972,0.002158621,0.000477824,0.000484382
ENO1,1.53122735,0.926666498,2.082799435,0.177123517,0.205076262,0.170759395,3.452737093,1.086525202,0.605314791
SLC2A5,0.018976439,0.001769119,0.006396849,0.046881832,0.000539356,0.000346857,0.006128331,0.078890458,0.001196784
GPR157,0.011396354,0.001378009,0.002192178,0.000210928,0.047706146,0.000572283,0.124808878,0.029034881,0.000556853
MIR34AHG,0.003487496,0.00175233,0.002896487,0.000344397,0.000198601,0.000231765,0.002766777,0.007913719,0.00031143
LNCTAM34A,0.002132329,0.001991635,0.002798869,0.000431415,0.00020102,0.000131055,0.00329865,0.007815058,0.000240054
H6PD,0.227325827,0.083270423,0.572359324,0.080442712,0.049939673,0.057020653,0.484949142,0.157450959,0.098468713
SPSB1,0.141658023,0.085982569,0.437101573,0.150475159,0.091059364,0.082950853,0.747790694,0.0839817,0.118421741
BX323043.1,0.000660094,0.00021982,0.002274313,0.000198296,0.000234989,0.00020226,0.002057964,0.000494455,0.000462462
LINC02606,0.001079476,0.000766989,0.002951899,0.000198034,0.00033959,0.000318672,0.002295752,0.000633794,0.000468705
SLC25A33,0.27834028,0.085436836,0.213848531,0.001128622,0.03530423,1.28E-05,0.436334193,0.001685134,0.053720251
TMEM201,0.025808511,0.015149094,0.003198306,0.000252811,0.047648102,0.001319791,0.122493789,0.010482211,0.000361827
PIK3CD,0.027612442,0.007244184,0.040242258,0.039885581,0.000301229,0.001192387,0.283461124,0.131394535,0.001002229
PIK3CD-AS1,0.000505186,0.000153823,0.002235512,0.000208024,0.000203615,0.000158134,0.001889662,0.000455917,0.000285321
PIK3CD-AS2,0.004909802,0.003749938,0.002331977,0.000266679,0.042991776,0.000299501,0.002158694,0.001224229,0.000693526
CLSTN1,0.19321461,0.115021139,0.614468634,0.120641589,0.141846821,0.130006596,0.919340372,0.267940789,0.073684789
CTNNBIP1,0.047192585,0.005071914,0.221137971,0.000128868,8.91E-05,0.046561792,0.004765826,0.044806086,0.001952534
LZIC,0.057484936,0.025468068,0.260035008,0.03557536,0.098961845,0.029202957,0.30625394,0.02898307,0.074700043
AL357140.2,0.013570093,0.000906576,0.002548542,0.000717885,0.00027405,0.000223472,0.002901982,0.000716517,0.000365317
NMNAT1,0.009828418,0.003145871,0.003484923,0.000495198,0.000337054,0.033698015,0.123448119,0.044175949,0.001136228
RBP7,0.087230526,0.020444175,0.253934622,0.066396363,0.000153555,0.00069847,0.251915008,0.080946624,0.001259618
UBE4B,0.142941698,0.016259555,0.463472277,0.036952138,0.000124741,0.035466559,0.445059389,0.073344246,0.077180989
KIF1B,0.022522669,0.074972607,0.243687153,0.046080846,0.000275023,7.40E-05,0.737429976,0.030589541,0.042359296
AL139424.2,0.000538746,0.000178552,0.002047546,0.000217256,0.000201212,0.000157935,0.001957855,0.000414987,0.000302397
PGD,0.54784888,0.125216365,1.161666036,0.225654781,0.06551487,0.119590253,1.793123007,0.143215269,0.132100686
AL139424.1,0.000506136,0.000161212,0.002176182,0.000206908,0.000210852,0.000157537,0.001699494,0.00040356,0.000343052
CENPS,0.020286605,0.0077394,0.226505637,0.000551717,0.000315227,0.000392884,0.00449101,0.02668995,0.088447414
CORT,0.005058778,0.002329727,0.002507458,0.000288621,0.000200748,0.031119391,0.002244942,0.001179595,0.000346933
DFFA,0.125729993,0.007000737,0.233733326,0.00050673,0.090946242,0.038177971,0.331632644,0.054261878,0.00410705
PEX14,0.047122162,0.040002931,0.399499327,0.000342963,0.044829141,0.032477066,0.371506751,0.016799092,0.179410681
CASZ1,0.15494518,0.000423172,0.003688352,0.000249691,0.043419439,0.000109437,0.005172868,0.013617099,0.00018882
C1orf127,0.000496581,0.000256422,0.002148563,0.000249843,0.000285402,0.0001573,0.001958195,0.000452098,0.000307114
TARDBP,0.219811663,0.027341321,0.018566884,0.073372379,0.054365914,0.095873371,0.913074791,0.256588906,0.037135113
MASP2,0.917414129,0.573655248,0.807864845,0.201438561,0.29834798,0.098185889,2.367598295,0.081582971,0.262179703
AL109811.2,0.083287567,0.014201042,0.007594362,0.000225625,0.046689365,0.000229337,0.00175851,0.024496509,0.081929378
SRM,0.552947998,0.175471351,1.217667699,0.102590859,0.272137374,0.079654299,1.251554728,0.299184114,0.185916692
EXOSC10,0.124278829,0.000177087,0.284190327,0.090673067,0.042497978,0.059797619,0.392461717,0.100136034,0.106772274
AL109811.1,0.000538463,0.000240593,0.002096407,0.00022171,0.000231344,0.000144882,0.001908729,0.000394349,0.000295635
EXOSC10-AS1,0.000960327,0.00029454,0.002715349,0.000315274,0.000198661,0.000226255,0.002129119,0.001803129,0.000351468
MTOR,0.143457681,0.013514879,0.005336623,0.000106367,0.057857476,0.034623478,0.713620842,0.034682844,0.043239735
