,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9
CEP295,0.033814032,0.017585615,0.400899261,0.042962592,0.080623977,0.000240819,0.690744936,0.131447107,0.050928853
SCARNA9,0.012895209,0.003927287,0.223679081,0.000467647,0.051356964,0.006456182,0.005317214,0.010831493,0.000480933
TAF1D,0.001310812,0.000959586,0.00272056,0.000361308,0.000300423,0.000443611,0.002886332,0.003658947,0.000573906
C11orf54,0.213331178,0.080682717,0.314075768,0.087980382,0.001249876,0.02520014,0.330153674,0.147925332,0.047663439
MED17,0.10129831,0.038269307,0.801455796,0.043956544,0.000228532,0.032756727,0.746607602,0.013579457,0.133450031
VSTM5,0.145185798,0.036120262,0.003125184,0.04384717,0.000705367,0.000224878,0.247443512,0.055000074,0.042955901
PANX1,0.000524641,0.000219286,0.002009027,0.00024901,0.000228882,0.000141159,0.001812014,0.000386476,0.000351517
AP002784.1,0.039162342,0.008952011,0.212728843,0.046687383,0.041356456,0.068237059,0.002460511,0.004312857,0.082114249
GPR83,0.00334032,0.001258211,0.002166702,0.000224805,0.045765676,0.000248718,0.003023231,0.002450986,0.000527219
MRE11,0.000577047,0.00016944,0.002151774,0.000209913,0.000213348,0.00015595,0.001796996,0.000369161,0.000276954
AP000786.1,0.051783174,0.011808979,0.638094008,0.000174132,0.050896574,0.000640703,0.004160621,0.026587453,0.001813824
ANKRD49,0.000437993,0,0.001891049,0.00016203,0.000210924,0.000159899,0.001513936,0.000214274,0.000284534
FUT4,0.013951208,0.000611877,0.002528488,0.000308015,0.000137842,0.043882515,0.130368754,0.012488089,0.000441782
PIWIL4,0.08488635,0.009989843,0.010680936,0.049520761,0.000404918,0.000338814,0.002148283,0.012606477,0.000482348
AMOTL1,0.005435777,0.00505457,0.003258658,0.000432535,0.000314992,0.000183305,0.002670615,0.001108369,0.000460635
CWC15,0.08088237,0.024518006,0.001902382,8.71E-05,0.00029451,0.070759572,0.142396241,0.054030351,0.081589289
KDM4D,0.113374628,0.000436735,0.236570835,0.112330303,0.193928793,0.030528938,0.394111246,0.076900437,0.162219644
SRSF8,0.0005265,0.000154779,0.002091883,0.000185663,0.000210284,0.000156698,0.001759807,0.000401014,0.000280978
ENDOD1,0.008464052,0.065072373,0.018503189,0.00390493,0.044519469,0.000252012,0.281473875,0.14770326,0.001306783
AP000787.1,0.177224204,0.001959234,0.005469697,0.048581962,0.040069263,0.037976567,0.002494584,0.107766546,0.000409016
SESN3,0.001001001,0.000660837,0.003057814,0.000480812,0.00025377,0.000194346,0.002932737,0.001701025,0.000369932
FAM76B,0.005514166,0.063925534,0.185471937,0.000418189,0.046542767,0.081678532,0.164105386,0.212640956,0.001243784
CEP57,0.037035756,0.015779691,0.221513167,0.043902911,0.046170205,0.035537824,0.139154077,0.043736577,0.045619067
MTMR2,0.153899014,0.064829074,0.206155598,0.000253297,0.000857153,0.032798197,0.446179181,0.061884217,0.115763545
MAML2,0.021752436,0.042906757,0.001933597,0.000387353,0.000279968,0.000128523,0.002179181,0.056105353,0.000370946
CCDC82,0.001012491,0.006472566,0.001954464,0.044990767,0.000487471,0.000422319,0.007403836,0.043695446,0.000588735
JRKL,0.191134661,0.011564932,0.241509899,0.003163191,0.03755128,0.058033712,0.258563191,0.064513698,0.041540597
CNTN5,0.007534412,0.001835136,0.003145356,0.000284135,0.000270411,0.000175021,0.002940453,0.013670576,0.000595544
ARHGAP42,0.000579796,0.000162651,0.002375447,0.000206058,0.000241404,0.000162791,0.001959073,0.00057566,0.000309024
PGR,0.012365056,0.004743796,0.261976957,0.000480089,0.000345325,0.000348006,0.371239841,0.024894273,0.00123843
PGR-AS1,0.000699158,0.000188682,0.002295785,0.000222875,0.000223523,0.000152431,0.00222768,0.001377327,0.000326807
TRPC6,0.000542012,0.000164167,0.002035382,0.000237665,0.000219392,0.000157515,0.00182871,0.000432958,0.000300424
ANGPTL5,0.00090381,0.000530142,0.003049659,0.000259464,0.000438363,0.000163971,0.00217947,0.002013742,0.000414435
CEP126,0.000572958,0.000169983,0.002025248,0.000208648,0.000188445,0.000181831,0.001875639,0.000448043,0.000308335
CFAP300,0.000879694,0.000313157,0.002077732,0.000212346,0.000293146,0.000187142,0.001954437,0.000506343,0.000335868
AP001527.1,0.001020147,0.000271996,0.00216557,0.000191959,0.000318104,0.000233827,0.0019303,0.000437889,0.0002969
AP001527.2,0.000522277,0.000169378,0.002130857,0.000195075,0.000205949,0.000236231,0.001658954,0.000378372,0.000326641
YAP1,0.000657453,0.000995926,0.002893263,0.000194673,0.000244281,0.000168277,0.002450024,0.004429257,0.000333871
BIRC3,0.153171048,0.021953994,0.679861426,0.046064507,0.129873335,0.074128792,0.482966393,0.052455526,0.123369932
BIRC2,0.144363403,0.037570838,0.521959245,0.044355161,0.094483793,0.127347291,0.243006662,0.099609211,0.041851446
TMEM123,0.162113011,0.09045431,0.792979121,0.054037247,0.081583284,0.000765355,0.804927886,0.164878383,0.053719532
AP001830.1,0.3625395,0.190354198,1.165485382,0.16894573,0.075183675,0.163980797,1.99158597,0.18028526,0.235872522
MMP7,0.000596179,0.000151002,0.00209313,0.000207978,0.000232681,0.000188061,0.001845109,0.000541864,0.000327866
MMP10,0.001086677,0.024511993,2.398452044,0.00317791,0.000566892,0.000430251,0.170743227,0.06907396,0.119286969
MMP1,0.000511917,0.00021373,0.212559447,0.000162241,0.000206439,0.000194279,0.001905588,0.00034603,0.000403667
MMP3,0.023567362,0.000117085,2.848687172,0.07288149,0.047187738,0.032573245,0.34887585,0.000174133,0.000313962
MMP12,0.075594723,0.014970348,0.20885469,0.046835825,0.000147026,0.030039748,0.533607006,0.002484141,0.043225985
DCUN1D5,0.01346157,0,0.005377164,0.00020954,0.000178365,0.000879146,0.368984252,0.022598621,0.000467629
DYNC2H1,0.044286188,0.013392132,0.011468264,0.001043528,0.000680308,0.062227972,0.399342299,0.035553869,0.135026574
PDGFD,0.002621135,0.002483538,0.003044906,0.000436401,0.000737677,0.000369596,0.003310668,0.00592563,0.000826803
CASP4,0.014215032,0.035180483,0.270782441,0.000292786,0.000163537,0.000107262,0.265925169,0.089540832,0.039132245
CASP5,0.189644918,0.01888852,0.568276942,0.000195029,0.053588051,0.027405052,0.984703302,0.202642426,0.14861308
CASP1,0.0007019,0.000280685,0.002322801,0.000203466,0.000265427,0.000211359,0.002029454,0.000765996,0.000308391
CARD16,0.006642242,0.017003121,0.002549655,0.000289896,0.000399155,7.58E-05,0.131888688,0.125342041,0.078607544
GRIA4,0.036389813,0.028502544,0.400470912,0.050262291,0.040324833,0.03013278,0.00418621,0.182271719,0.089365862
MSANTD4,0.000568084,0.000169419,0.002205704,0.000192807,0.000188999,0.000153949,0.00172933,0.000392111,0.000293918
KBTBD3,0.02999723,0.013482389,0.002574143,0.000173521,0.000906721,0.000792785,0.002286986,0.040485375,0.000721376
AASDHPPT,0.00074594,0.00011356,0.225045085,0.000300178,0.000262034,0.000150267,0.001658232,0.013002524,0.040885888
GUCY1A2,0.120808132,0.031123551,0.194843009,0.04542068,0.043433819,0.072327152,0.467250288,0.021834888,0.072962731
AP000766.1,0.007464958,0.010953057,0.002147705,0.000291386,0.000221027,0.000219423,0.001995393,0.045082174,0.044126984
CWF19L2,0.000741125,0.000317181,0.002474301,0.000199501,0.000232487,0.00015982,0.002198813,0.001989781,0.000572812
ALKBH8,0.073166646,0.000751569,0.003879066,0.000345194,0.000567988,0.000232993,0.133587927,0.021763179,0.000474999
ELMOD1,0.007606917,0.000112311,0.256561607,0.000166279,0.000186489,0.000138494,0.001768465,0.014865385,0.000296371
SLN,0.000501098,0.000177758,0.002091927,0.000216208,0.000198952,0.000158558,0.001746573,0.00061676,0.000290954
SLC35F2,0.000740983,0.000270106,0.002373599,0.000214238,0.00026183,0.000175481,0.002184119,0.000639332,0.000359826
RAB39A,0.000504564,0.000144483,0.002346318,0.000177351,0.000237337,0.000137524,0.001986067,0.045151807,0.041585479
AP003307.1,0.00046619,0.000166877,0.002572682,0.000196273,0.000201022,0.000149596,0.00187488,0.000756518,0.000302235
CUL5,0.016674077,0.001329203,0.006318453,0.000531813,0.001544814,0.029802104,0.005679159,0.052087616,0.074594349
ACAT1,0.101069607,0.00049101,0.5344221,0.000130267,0.04425611,0.000123612,0.006539419,0.063641943,0.043317251
NPAT,0.4948937,0.280704439,0.7381199,0.185278028,0.227522403,0.157616928,1.321421266,0.047167934,0.343429178
ATM,0.011722964,0.009117443,0.002316538,0.000499735,0.00017945,0.000182065,0.144483715,0.025173591,0.000919915
C11orf65,0.0365001,0.00690371,0.218568549,0.073623627,0.000602756,0.000186365,0.377692848,0.121284567,0.000638188
POGLUT3,0.000980762,0.000208381,0.002454514,0.000210711,0.000253347,0.000189851,0.00251795,0.001497119,0.000389375
EXPH5,0.06625095,0.000131822,0.001374037,0.000331036,0.000163135,8.84E-05,0.001494531,0.051444571,0.04228903
DDX10,0.001241659,0.002922589,0.003153005,0.000513503,0.000328235,0.000225837,0.002768015,0.000914913,0.000455804
RDX,0.032542225,0.001065978,0.030236816,0.000214711,0.000506685,0.000202915,0.433653742,0.015548654,0.049798436
AP001981.2,0.134195492,0.088675514,0.268890381,0.002177997,0.103093572,0.06490279,0.611792445,0.120047092,0.000462519
ZC3H12C,0.000503051,0.000166841,0.002214537,0.000214688,0.000201072,0.000169521,0.001815647,0.00039499,0.000313858
FDX1,0.002565444,0.011990847,0.003478787,0.000398883,0.000714412,0.035133101,0.132836029,0.009100028,0.047610268
ARHGAP20,0.246390805,0.03953338,0.001876539,0.074589223,0.060819849,0.039012887,0.536682546,0.053229652,0.176607534
AP003973.2,0.002588141,0.000238994,0.002629325,0.00026784,0.000183997,0.000210826,0.002135193,0.000932845,0.040003821
LINC02550,0.000482464,0.000165964,0.002143717,0.000212764,0.000208982,0.000151036,0.001756363,0.000405481,0.00028704
C11orf53,0.005372904,0.000253359,0.001995497,0.000409631,0.000230955,0.000193722,0.002144895,0.000910966,0.000293399
COLCA1,0.000621557,0.000190984,0.005751101,0.000244538,0.000162424,0.000164915,0.003164326,0.00189083,0.000248949
COLCA2,0.013619214,0.000675029,0.246324316,0.000308289,0.000342911,0.000470934,0.003981929,0.039659459,0.000339276
POU2AF1,0.001678479,0.000406029,0.0037486,0.000258869,0.000401172,0.000325395,0.002973342,0.001899606,0.00036717
C11orf88,0.012424339,0.017812207,0.003452164,0.00039626,0.000123431,0.000277404,0.002139428,0.134814754,0.000813376
LAYN,0.000467211,0.000116763,0.001980463,0.000172207,0.000207653,0.000143598,0.001542308,0.000233592,0.000291012
SIK2,0.006845463,0.000350064,0.003654826,0.000125158,0.000202675,0.000144878,0.001753309,0.044181406,0.000333674
PPP2R1B,0.190523162,0.072490603,0.216650188,0.10913749,0.000236024,0.026773339,0.5317505,0.005106252,0.045566861
AP001781.1,0.221414194,0.151315242,0.992298424,0.094108067,0.042548906,0.092084885,1.221853971,0.014695419,0.193826899
ALG9,0.000913206,0.000200448,0.002409155,0.000198146,0.000209806,0.000150398,0.00244273,0.000688575,0.000276827
FDXACB1,0.155351833,0.082511164,0.004499542,0.000161263,0.000296675,0.00016719,0.61796689,0.00460569,0.000214413
C11orf1,0.011909918,0.001482432,0.002665826,0.000214432,0.00190806,0.000378487,0.004349499,0.01133128,0.00043075
CRYAB,0.056631561,0.017357657,0.003170769,0.00039813,0.000286562,0.000432597,0.001666521,0.041015316,0.00048081
HSPB2,0.022336649,0.026266934,0.21159181,0.123166263,0.08997494,0.031531423,0.25569886,0.284004509,0.0008065
C11orf52,0.150214225,0.018911744,0.00127848,0.065678313,0.050724316,0.056474887,0.141023487,0.148569703,0.000268328
DIXDC1,0.161919847,0.017014451,0.004496604,0.04232021,0.00102115,0.046603825,0.366819888,0.022685995,0.095589139
DLAT,0.016054748,0.015653677,0.00162613,0.045972731,0.044345606,0.036474977,0.265722513,0.034485228,0.045031294
NKAPD1,0.309818357,0.048547558,0.004476646,0.144107327,0.043273058,0.031415116,0.366593242,0.017705476,0.106757656
TIMM8B,0.035696208,0.012422876,0.251599312,0.000207142,0.075880922,0.064018667,0.265663147,0.048612364,0.084621072
SDHD,0.577896237,0.209680393,0.857545495,0.12579897,0.284164995,0.149180338,1.824174404,0.276687592,0.320589602
IL18,0.229045972,0.04899646,0.425486684,0.039149463,0.140250906,0.036523376,0.481598675,0.07254912,0.076726891
TEX12,0.020752927,0.001443613,0.00265451,0.00071699,0.041582681,0.000136047,0.126648724,0.050300702,0.000765151
BCO2,0.000514645,0.000217893,0.002181575,0.000227645,0.000214666,0.000165774,0.00177187,0.000576735,0.000305475
PTS,0.018276393,0.008355528,0.002583102,0.039917078,0.044809442,0.033205815,0.002099067,0.002785258,0.041082177
LINC02762,0.125010058,0.029120728,0.261897534,0.000380638,0.00166318,0.000278501,0.244098738,0.072585002,0.00038392
NCAM1,0.074723035,0.01161476,0.00265593,0.00041696,0.00046627,0.000371487,0.002585274,0.000323898,0.000397904
AP000880.1,0.002104877,0.002944997,0.002924641,0.00069936,0.001162814,0.000415032,0.003724507,0.010079728,0.000692434
TTC12,0.001795196,0.000204915,0.002165254,0.000331505,0.000211517,0.000165803,0.002249496,0.000764556,0.000291626
AP002840.2,0.009208987,0.008003219,0.003792693,8.92E-05,0.000276146,0.030527802,0.257574916,0.030239692,0.038983356
ANKK1,0.000872287,0.003925624,0.002198974,0.000172571,0.0002321,0.000222424,0.001507665,0.000398284,0.000450794
TMPRSS5,0.000692878,0.000296366,0.002439007,0.000286201,0.000202321,0.0001703,0.002148379,0.000524965,0.000301029
ZW10,0.003052889,0.000690095,0.002399436,0.000417574,0.000252298,0.000200904,0.122099042,0.000714798,0.00047102
USP28,0.002950882,0.009833512,0.234792337,0.041841418,0.041876636,0.000216782,0.136633247,0.022490505,0.00021871
HTR3A,0.020770693,0.01406599,0.252006054,0.00019902,0.000471208,0.030217068,0.146260798,0.03786632,0.000342442
ZBTB16,0.00045514,0.000232087,0.002144633,0.000154894,0.000324029,0.000142699,0.001788242,0.00157745,0.041059121
AP002755.1,0.116574317,0.149615258,0.226027817,0.000121087,0.05116104,0.000169691,0.443323582,0.110899612,0.086888596
NNMT,0.000511387,0.000151402,0.002079687,0.000185464,0.000205335,0.000152467,0.00185005,0.000490122,0.000280779
C11orf71,0.671448648,2.446783304,2.533904076,0.418982029,0.462384075,0.330488294,5.487005711,1.342399359,0.566556871
RBM7,0.129115611,0.059724666,0.60689503,0.000638122,0.040416792,0.030189442,0.158135638,0.045700345,0.088581622
REXO2,0.016839612,0.014583894,0.533836305,0.000503188,0.000242583,0.033303317,0.004049369,0.034520514,0.03810047
CADM1,0.095518321,0.019845445,0.220702007,0.002076305,0.094956383,0.035672642,0.616000593,0.192348555,0.064893402
AP003174.1,0.211440384,0.164634898,0.268450707,0.092289262,0.000401477,0.029853296,0.264249325,0.028018599,0.113597102
AP000997.3,0.000722788,0.000180559,0.002217972,0.000207033,0.000200788,0.000142089,0.001821573,0.000376395,0.000284308
LINC00900,0.000582867,0.000183457,0.002549605,0.000195921,0.00023383,0.000186821,0.001952114,0.00044501,0.000362133
BUD13,0.001099629,0.000178707,0.002279693,0.000342622,0.000211078,0.000208909,0.001697381,0.000371048,0.000305649
AP006216.1,0.002091181,0.000794436,0.002104505,0.000321219,0.03896765,0.000112926,0.239748657,0.005511053,0.036234695
ZPR1,0.000632278,0.000181168,0.002458957,0.000213995,0.000215087,0.000181658,0.001826626,0.000424391,0.000310217
APOA5,0.234222561,0.01972492,0.25998202,0.008656698,0.13594228,0.032849684,0.932695925,0.126306117,0.096944056
APOA4,0.095289476,0.489508033,0.239970326,0.072965026,0.034159157,0.091611095,0.728902578,0.095818497,0.038734291
APOC3,0.0258526,0.026247025,0.002778925,0.000158158,0.038224783,0.034793366,0.004883628,0.004989302,0.000800958
APOA1,1.189220428,5.205551147,3.056861162,0.299238026,0.26810199,0.258111268,1.756765485,2.313236713,0.368474543
SIK3,0.723280966,8.037097931,2.53265214,0.109273732,0.012514042,0.065174557,0.412553757,4.659851074,0.211579084
PAFAH1B2,0.023574445,0.038364671,0.446258038,0.001002583,0.000930127,0.035800539,0.143313497,0.052641995,0.040350709
SIDT2,0.059084453,0.047207758,0.566257715,0.000124585,0.071963832,0.072146587,0.27995792,0.193717659,0.085561648
TAGLN,0.128933504,0.0388529,0.028136177,0.000145346,0.044799898,0.000397975,0.391440809,0.116324089,0.089234345
PCSK7,0.293968618,0.650938153,0.839087963,0.284096837,0.273989648,0.105386063,0.97019881,2.194035292,0.217473105
RNF214,0.118141279,0.075351335,0.200684294,0.040367644,0.000174938,0.036291633,0.242737934,0.124913171,0.03805311
BACE1,0.100879572,0.010915997,0.005924936,0.000181864,0.001035124,0.000208867,0.008713849,0.013550079,0.000799272
BACE1-AS,0.04783472,0.023808502,0.003269396,0.051813085,0.058857173,0.038768183,0.177311957,0.046563618,0.126435533
AP000892.3,0.007401105,0.001574781,0.003092865,0.000369368,0.000261136,0.000236782,0.003088564,0.001029394,0.000403696
CEP164,0.000677417,0.000334444,0.002060346,0.000212682,0.000280697,0.000234212,0.002229359,0.000672778,0.000409827
DSCAML1,0.044629443,0.008911827,0.003817977,0.000195979,0.000389971,0.033516753,0.004958114,0.046732545,0.000577082
FXYD2,0.000536569,0.000218341,0.002286974,0.000196067,0.000207383,0.00022565,0.002083643,0.000642157,0.000332155
FXYD6,0.17287609,0.156251475,6.174185753,0.091791868,0.040582575,0.028236125,0.501385033,0.210324392,0.165892467
TMPRSS13,0.112313114,0.046730366,0.034219626,0.042917673,0.038764209,0.029836424,0.24714002,0.233151138,0.112586334
IL10RA,0.000679046,0.000387684,0.002559141,0.000350887,0.039099522,0.028112192,0.002158662,0.002322706,0.000342556
SMIM35,0.006872364,0.128599271,0.203049988,0.043558102,0.000619482,0.08983089,0.429747373,0.265721321,0.137757063
TMPRSS4,0.000570919,0.00020604,0.002168164,0.000216061,0.00023629,0.000151126,0.001943104,0.000407641,0.000347564
SCN4B,0.005429394,0.000537225,1.031594396,0.000280635,0.000241008,0.000224371,0.003215307,0.000850072,0.000299331
SCN2B,0.001430926,0.000289724,0.002589057,0.000316953,0.000199109,0.000158873,0.002093491,0.013447793,0.000352778
JAML,0.000519362,0.000163779,0.002331635,0.000204544,0.000211438,0.000161655,0.001894424,0.000711412,0.000327963
MPZL3,0.021150008,0.025126422,0.004037322,0.000676065,0.000338461,0.035135541,0.14240858,0.264129251,0.049176134
MPZL2,0.022170331,0.004315912,0.790471017,0.000170277,0.000474282,0.000150641,0.003916163,0.04377231,0.039495643
CD3E,0.046244737,0.009400265,0.974486768,0.042305615,0.044624269,0.000131618,0.283063859,0.056637865,0.049524367
CD3D,0.025794851,0.074578881,0.413455456,6.28E-05,0.040025935,0.031297293,0.286134601,0.257235229,0.045441754
CD3G,0.116815306,0.038676858,0.001626822,0.041499317,0.048556525,3.74E-05,0.368684918,0.277721226,0.000536023
UBE4A,0.013181146,0.013500717,0.213107467,0.000138922,0.000192279,7.82E-05,0.001385052,0.098527968,0.000272598
ATP5MG,0.093192041,0.052510697,0.684781075,0.140924528,0.085685842,0.042654701,0.60929513,0.059326001,0.045406915
AP001267.4,0.663527787,0.298938334,2.139068842,0.117995232,0.156926468,0.284200639,2.025812387,0.747558296,0.486840039
KMT2A,0.000518826,0.000182243,0.002103856,0.000231217,0.000189957,0.000158955,0.001981181,0.000417692,0.000310984
AP001267.3,0.123072028,0.022487409,0.413330793,0.00135197,0.04768889,0.000378645,0.146837622,0.092393555,0.000495044
TTC36,0.002933529,0.000692711,0.00258569,0.000418106,0.000468672,0.000195748,0.002883104,0.001856109,0.000375737
TMEM25,0.000296749,0.259105355,0.4941293,0.000389906,0.041136943,0.036546528,0.378153801,0.043925162,0.083713792
IFT46,0.01447132,0.006635365,0.003292072,0.000209405,0.000348194,0.000226151,0.004880769,0.020542989,0.000456756
ARCN1,0.000437726,0.003128684,0.002960947,0.049682934,0.039798301,0.000151327,0.114296623,0.004421348,0.035285067
PHLDB1,0.162576243,0.031783842,0.431685925,0.000797356,0.041886128,0.032661203,0.130900934,0.115649574,0.0735185
TREH,0.116372116,0.041699395,0.375835806,0.000228899,0.066545881,0.029856907,0.396707892,0.259294808,0.151502192
AP002954.2,0.009624834,0.016561441,0.00454301,0.000208336,0.000589692,0.000227662,0.126566947,0.000651384,0.000856973
DDX6,0.000501245,0.000162015,0.00211215,0.000228735,0.00020343,0.000156769,0.002004815,0.000584432,0.000301136
AP004609.3,0.364313751,0.088460758,0.231840119,0.151750803,0.064170562,0.088265173,0.94991219,0.226197734,0.094799504
CXCR5,0.032901805,0.026686013,0.441020072,0.001177589,0.000920347,0.033072475,0.005653907,0.0347679,0.043361455
AP004609.1,0.004598662,0.001748613,0.002649452,0.000735742,0.000726277,0.000199781,0.005057577,0.040019862,0.000453174
BCL9L,0.000502453,0.000170237,0.002068861,0.000206251,0.00021391,0.000151954,0.001765566,0.000408893,0.000306407
UPK2,0.000638941,0.011202443,0.005063239,0.097545266,0.045267582,0.000127918,0.261338174,0.077311456,0.00043764
CCDC84,0.000534419,0.00023255,0.002241077,0.000212279,0.000198444,0.000167494,0.001887878,0.000688571,0.000326011
RPS25,0.045553137,0.034389533,0.219115093,0.056049827,0.001584618,0.000580224,0.003731643,0.053103276,0.041659087
TRAPPC4,1.314640164,0.397152573,3.732291222,0.367005885,0.445199341,0.343146265,3.849054098,2.2291224,0.651145339
SLC37A4,0.057717677,0.046412092,0.465868086,0.049298707,0.101865038,0.030345693,0.578160167,0.115409791,0.104198746
AP003392.3,0.188914225,0.165070638,0.869198143,0.140155822,0.043264188,0.033762034,0.559177995,0.107629836,0.078393914
HYOU1,0.064357355,0.000366257,0.001850432,0.00014784,0.044372525,4.05E-05,0.11131113,0.001722922,8.68E-05
AP003392.5,0.367864519,0.059663568,0.665759206,0.078043193,0.105750389,0.033941861,0.534796894,0.029870789,0.115370274
VPS11,0.000923421,0.000264536,0.002504585,0.000247309,0.000343219,0.000202783,0.002392236,0.001782498,0.000331838
HMBS,0.019316427,0.000204442,0.002702924,0.000211442,0.000119713,8.70E-05,0.136779428,0.077081174,0.037567727
H2AFX,0.130825192,0.056881577,0.381591916,0.038171176,0.047632381,0.000136013,0.517513454,0.054128006,0.040662587
DPAGT1,0.046831533,0.01216435,0.27960068,0.00015431,0.053181045,0.035114244,0.382496804,0.048961539,0.112377383
C2CD2L,0.168239862,0.018797431,0.455154389,0.037276737,0.126407504,0.053354468,0.602263153,0.061187137,0.081502832
HINFP,0.044760145,0.017734887,0.22307381,0.000584698,0.000443751,0.000226297,0.36252144,0.015807126,0.000234564
NLRX1,0.021884205,0.020331481,0.230180115,0.037292182,0.000538284,0.000155543,0.004507078,0.023782436,0.042433202
PDZD3,0.031821903,0.021095611,0.004343048,0.000155438,0.000490755,0.071773119,0.153221622,0.078214817,0.00163538
CCDC153,0.000526213,0.000186222,0.00203025,0.000213873,0.000212813,0.000157742,0.00187975,0.000442775,0.000283735
CBL,0.000529867,0.000545915,0.002239143,0.000320698,0.000212483,0.000162677,0.002253073,0.004185532,0.000390598
MCAM,0.013368514,0.018696982,0.002726086,0.000275729,0.051649462,0.000190687,0.002631953,0.050713647,0.000622716
RNF26,0.030865146,0.002612035,0.20659703,0.061006662,0.047961678,0.02854608,0.270017743,0.279979885,0.057692394
USP2,0.087454759,0.013230749,0.219938695,0.000150932,0.045983847,0.000742839,0.350836515,0.018323053,0.052465495
USP2-AS1,0.008344582,0.000752849,0.002919915,0.042364605,0.000451783,0.033154778,0.133611754,0.008543079,0.06646575
THY1,0.008823371,0.000810649,0.002722558,0.000525879,0.039858978,0.000106565,0.00418258,0.002543846,0.03689516
AP003396.5,0.515867054,0.396832854,0.72191,0.156621724,0.162012368,0.178688601,1.384729862,1.39988184,0.25899893
AP003393.1,0.000767238,0.00017518,0.002215753,0.000203446,0.000198079,0.000154715,0.00177866,0.000452708,0.000281611
NECTIN1,0.000507064,0.000152163,0.002019987,0.000184595,0.000199765,0.000144128,0.001792512,0.000481444,0.000305327
TRIM29,0.016165575,0.000344974,0.002102154,0.000234392,0.000391579,0.033748776,0.135938451,0.025009375,0.041451942
OAF,0.000273953,0.000138148,0.231412873,0.042209052,0.000183886,7.86E-05,0.257303417,0.000486233,0.00028388
POU2F3,0.255173862,0.222315222,0.584401429,0.159181803,0.181778044,0.128711358,0.606240809,0.156208426,0.190475956
TLCD5,0.001149383,0.000260033,0.002620519,0.000210975,0.000430593,0.000194757,0.002225989,0.000471044,0.000514801
ARHGEF12,0.013384126,0.007766473,0.002465429,0.000923894,0.000553141,0.000167074,0.002930034,0.027703969,0.000579219
GRIK4,0.251773447,0.069007531,1.138750792,0.103649579,0.067855194,0.113510281,1.134454489,0.152930543,0.150604248
TBCEL,0.000526287,0.000157191,0.002084469,0.00020295,0.000230774,0.000161679,0.001789177,0.000380542,0.000289295
TECTA,0.006616699,0.003947175,0.013455619,0.000325864,0.000339005,0.000547553,0.002496858,0.015228036,0.000525197
SC5D,0.005272746,0.001024734,0.003356034,0.000205799,0.000263956,0.00014945,0.002570486,0.000944335,0.001180787
SORL1,0.090145804,0.145127252,1.562963724,0.137418315,0.033475142,0.065602206,0.515788853,0.052970607,0.050449543
MIR100HG,0.089632936,0.175344318,0.260888278,0.000112582,0.078854136,0.045355834,0.602898777,0.084191151,0.21872893
UBASH3B,0.004257563,0.01362707,0.215115532,0.000134988,0.000358299,0.000100421,0.158420071,0.065786935,0.047479853
CRTAM,0.00462018,0.000384729,0.23867844,0.00017294,0.000376052,0.000391536,0.122268625,0.038936224,0.043825809
JHY,0.000504318,0.000196894,0.002158653,0.000206625,0.000190755,0.000179649,0.001923063,0.000714413,0.000338886
HSPA8,0.004014844,0.000619347,0.002534519,0.000237756,0.000361039,0.000205174,0.002207269,0.002361953,0.00052827
AP000926.2,0.860495567,0.448248357,1.952127337,0.244252518,0.264769614,0.175384283,2.535131693,0.632539034,0.496513754
CLMP,0.003856256,0.000717293,0.002603665,0.0002439,0.000415464,0.00021086,0.001945467,0.000503965,0.00072965
GRAMD1B,0.009169017,0.000734775,0.006024301,0.000340734,0.000535648,0.000341786,0.002658512,0.027338989,0.000674075
SCN3B,0.004388719,0.004585993,0.239854768,0.000357632,0.00080342,0.001008643,0.002002845,0.030938195,0.000796664
ZNF202,0.00045054,0.000235941,0.002134925,0.000225246,0.000191775,0.00013398,0.002010803,0.00104525,0.041405685
VWA5A,0.004682903,0.019021789,0.007607724,0.000385971,0.042600449,0.000140576,0.002589328,0.025297957,0.084036805
TBRG1,0.019618001,0.002477618,0.248044252,0.000244739,0.002331221,0.035047241,0.002056628,0.051504608,0.00367813
SIAE,0.059669394,0.057520192,0.419740826,0.002055559,0.000120901,0.000226856,0.145623773,0.120380655,0.040089417
SPA17,0.131938756,0.015830677,0.2470548,0.08214274,0.00020345,0.000377087,0.13556011,0.031720795,0.049636737
NRGN,0.092091762,0.004525144,0.232284039,0.000337144,0.000228825,0.001282105,0.128434911,0.004212276,0.00033472
AP000866.5,0.00754697,0.004833694,0.22348094,0.000152474,0.055688221,0.00014391,0.002249769,0.072250061,0.041202158
VSIG2,0.000506315,0.000193024,0.002183236,0.000217833,0.000210959,0.00015808,0.001853145,0.000422582,0.000345139
ESAM,0.001769846,0.031400684,0.62918216,0.000321791,0.000209011,0.000288884,0.126196891,0.033203088,0.042923633
AP000866.2,0.169728726,0.046243753,0.477403462,0.084487893,0.051664557,0.001042226,0.699477911,0.281323612,0.084399775
MSANTD2,0.06694968,0,0.001925936,0.000235476,0.000162543,0.00012046,0.001582441,0.001298102,0.000273879
AP000866.6,0.00716342,0.008147758,0.002452827,0.000444604,0.000333295,0.000234674,0.003197132,0.002167018,0.000499616
