time,agentCount.CD8.effector,agentCount.CD8.cytotoxic,agentCount.CD8.suppressed,agentCount.Th.default,agentCount.Treg.default,agentCount.MDSC.default,agentCount.cancerCell.Stem,agentCount.cancerCell.Progenitor,agentCount.cancerCell.Senescent,agentCount.mac.M1,agentCount.mac.M2,agentCount.vas.default,agentCount.fib.default,agentCount.APC.native,agentCount.APC.native,recruit.CD8.effector,recruit.CD8.cytotoxic,recruit.CD8.suppressed,recruit.Th.default,recruit.Treg.default,recruit.MDSC.default,recruit.cancerCell.Stem,recruit.cancerCell.Progenitor,recruit.cancerCell.Senescent,recruit.mac.M1,recruit.mac.M2,recruit.vas.default,recruit.fib.default,recruit.APC.native,recruit.APC.native,prolif.CD8.effector,prolif.CD8.cytotoxic,prolif.CD8.suppressed,prolif.Th.default,prolif.Treg.default,prolif.MDSC.default,prolif.cancerCell.Stem,prolif.cancerCell.Progenitor,prolif.cancerCell.Senescent,prolif.mac.M1,prolif.mac.M2,prolif.vas.default,prolif.fib.default,prolif.APC.native,prolif.APC.native,death.CD8.effector,death.CD8.cytotoxic,death.CD8.suppressed,death.Th.default,death.Treg.default,death.MDSC.default,death.cancerCell.Stem,death.cancerCell.Progenitor,death.cancerCell.Senescent,death.mac.M1,death.mac.M2,death.vas.default,death.fib.default,death.APC.native,death.APC.native,move.CD8.effector,move.CD8.cytotoxic,move.CD8.suppressed,move.Th.default,move.Treg.default,move.MDSC.default,move.cancerCell.Stem,move.cancerCell.Progenitor,move.cancerCell.Senescent,move.mac.M1,move.mac.M2,move.vas.default,move.fib.default,move.APC.native,move.APC.native,drop_in.CD8.effector,drop_in.CD8.cytotoxic,drop_in.CD8.suppressed,drop_in.Th.default,drop_in.Treg.default,drop_in.MDSC.default,drop_in.cancerCell.Stem,drop_in.cancerCell.Progenitor,drop_in.cancerCell.Senescent,drop_in.mac.M1,drop_in.mac.M2,drop_in.vas.default,drop_in.fib.default,drop_in.APC.native,drop_in.APC.native,drop_out.CD8.effector,drop_out.CD8.cytotoxic,drop_out.CD8.suppressed,drop_out.Th.default,drop_out.Treg.default,drop_out.MDSC.default,drop_out.cancerCell.Stem,drop_out.cancerCell.Progenitor,drop_out.cancerCell.Senescent,drop_out.mac.M1,drop_out.mac.M2,drop_out.vas.default,drop_out.fib.default,drop_out.APC.native,drop_out.APC.native,PDL1_frac
20,151,1887,21,482,2227,528,2766,522676,108753,3789,1903,6142,0,0,0,383,0,0,193,0,637,0,0,0,7024,0,0,0,0,0,107,3101,0,463,2134,0,579,2940696,0,0,0,0,0,0,0,82,1391,59,14,67,109,226,44186,2877838,909,423,0,0,0,0,6838,92070,1747,19548,89106,2522,49216,15228857,4558803,91857,44583,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,606780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600638,0,0,0,162468
21,150,1905,19,496,2240,525,2765,525390,106389,3812,1915,6075,0,0,0,392,0,0,194,0,639,0,0,0,7085,0,0,0,0,0,108,3168,0,481,2163,0,580,2968585,0,0,0,0,0,0,0,84,1449,61,19,83,114,228,45021,2904542,928,430,0,0,0,0,6998,93957,1768,20031,91333,2582,49678,15386987,4598207,93780,45532,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,612855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606780,0,0,0,164134
22,154,1922,19,527,2249,530,2766,526752,104532,3836,1936,6002,0,0,0,400,0,0,198,0,645,0,0,0,7155,0,0,0,0,0,112,3230,0,519,2194,0,583,2994974,0,0,0,0,0,0,0,87,1498,62,26,109,115,230,45864,2930583,942,441,0,0,0,0,7156,95862,1787,20527,93577,2643,50131,15544685,4636547,95678,46494,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,618857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612855,0,0,0,164729
23,157,1933,17,537,2280,531,2764,530146,102889,3847,1954,6128,0,0,0,407,0,0,203,0,649,0,0,0,7211,0,0,0,0,0,114,3284,0,531,2245,0,586,3023003,0,0,0,0,0,0,0,89,1545,64,29,133,118,235,46637,2956088,959,451,0,0,0,0,7317,97784,1806,21055,95830,2698,50588,15701308,4674094,97576,47467,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,624985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618857,0,0,0,168271
24,169,1956,15,537,2336,532,2763,529574,103772,3858,1976,6030,0,0,0,418,0,0,206,0,652,0,0,0,7270,0,0,0,0,0,127,3344,0,539,2317,0,591,3049250,0,0,0,0,0,0,0,91,1592,66,37,152,120,241,47460,2981201,977,459,0,0,0,0,7485,99717,1823,21593,98112,2753,51072,15857206,4710723,99518,48451,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,631015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624985,0,0,0,169192
25,166,1997,11,552,2382,539,2758,530474,102696,3882,1988,5955,0,0,0,420,0,0,210,0,659,0,0,0,7340,0,0,0,0,0,129,3415,0,556,2382,0,595,3075436,0,0,0,0,0,0,0,96,1624,70,41,173,120,250,48306,3006717,998,472,0,0,0,0,7656,101673,1838,22132,100450,2802,51539,16010582,4747893,101514,49435,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,636970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631015,0,0,0,169591
26,170,1993,9,551,2405,541,2758,533350,99990,3914,1996,5972,0,0,0,425,0,0,215,0,664,0,0,0,7416,0,0,0,0,0,133,3451,0,558,2435,0,597,3101947,0,0,0,0,0,0,0,97,1668,72,47,205,123,252,49181,3032183,1022,484,0,0,0,0,7827,103670,1849,22687,102834,2849,51944,16161839,4784691,103453,50449,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,642942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636970,0,0,0,171731
27,175,1995,9,545,2413,550,2761,535042,99879,3934,2015,6078,0,0,0,432,0,0,217,0,677,0,0,0,7479,0,0,0,0,0,137,3499,0,563,2462,0,602,3128954,0,0,0,0,0,0,0,98,1719,72,58,226,127,254,50084,3056706,1038,492,0,0,0,0,8004,105663,1858,23238,105241,2923,52404,16314427,4820441,105404,51444,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,649020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642942,0,0,0,173927
28,190,1984,9,552,2416,551,2760,533321,100462,3957,2039,6001,0,0,0,442,0,0,221,0,681,0,0,0,7554,0,0,0,0,0,147,3543,0,574,2484,0,605,3153405,0,0,0,0,0,0,0,99,1778,72,63,248,130,258,50966,3081413,1057,501,0,0,0,0,8189,107658,1867,23784,107657,2971,52833,16466540,4856376,107352,52462,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,655021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649020,0,0,0,173040
29,195,2015,10,551,2419,553,2761,536120,97407,3976,2051,5962,0,0,0,452,0,0,224,0,685,0,0,0,7618,0,0,0,0,0,151,3626,0,582,2514,0,610,3178756,0,0,0,0,0,0,0,103,1834,72,73,277,132,262,51800,3106186,1078,513,0,0,0,0,8389,109642,1876,24337,110075,3016,53307,16614793,4892022,109351,53509,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,660983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655021,0,0,0,173708
