"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
"PLEKHM3","SPRR2B","LMO4","TNFAIP6","AC016735.1","PRKAA2","AC106881.1","LY9","DNAJB4","LINC00881","CRABP2","GPR3","PCDHB5","AC073534.2","RABGAP1L-DT","CARF","DPH1","ZNF730","FCHO1","LINC02803","AC016737.1","SRCIN1"
"AC098820.1","S100A9","KYAT3","CCDC148","AC073046.4","TACSTD2","AC019077.1","NR1I3","SSX2IP","AC147067.1","ITLN1","AVPR2","ZNF257","AC017002.3","AL031123.2","EEF1B2","DIO2","FMN1","MEIOC","RGL1","IL12RB1","SIGLEC15"
"CATIP-AS1","AL358472.5","RPAP2","FIGN","C2orf81","NFIA","RBM46","FCRLB","AL049597.2","DOK7","PCP4L1","AC125611.3","FAM225A","AC116345.4","WASIR2","FN1","AC107214.2","RSPH10B","IFI44L","GPR37L1","SAMD9","SLC7A10"
"EPHA4","KCNN3","SLC35A3","CHROMR","AC005034.3","DEPDC1","AC026801.2","NUF2","LINC01140","NKX3-2","BX284613.2","COL4A6","C5orf47","AC022506.2","MARCH11","RPL37A","WAKMAR2","AL033527.4","SEMA3B-AS1","PTPN7","HIST2H2AA3","SULT2A1"
"THRB-IT1","NOS1AP","PRMT6","COL3A1","AC005034.5","GIPC2","LIFR-AS1","SELL","GBP3","AC107071.1","AL645568.1","AC010280.1","AC233992.3","AC022424.1","AC096677.1","PTMA","AL138826.1","AP003392.5","PCDHA5","PCAT6","JMJD1C-AS1","LINC01370"
"ZNF619","DDR2","AL356488.3","FZD7","AC009309.1","AL359504.2","EMB","MYOCOS","TGFBR3","RNF175","AL359853.1","HERC6","AC107081.2","SPDYE16","AC023813.3","HDLBP","RABGAP1L-DT","IGSF21","AL021368.1","PPFIA4","MANEA-DT","LINC01549"
"CYP8B1","AL592435.1","SYPL2","KLF7","AC108479.3","SAMD13","AC093510.1","DNM3","BTBD8","HAND2-AS1","NPL","PLPP7","TM4SF1-AS1","BISPR","ARAP2","LHFPL4","TMEM158","AC135803.1","NELL2","NFASC","FTCDNL1","ACE2"
"AC006058.3","AL451050.2","AL360270.3","SERPINE2","ZAP70","GTF2B","EPB41L4A-DT","DNM3OS","GLMN","FBXL7","KIF21B","MYRIP","NAPSA","CASC19","RNF112","RPL32","AC005899.6","MSH4","CHSY3","CDK18","LRRC66","RTL9"
"AC099778.1","ADCY10","OLFML3","SP110","C2orf15","GBP7","P4HA2-AS1","KLHL20","AC105942.1","PTGER4","FCMR","BX322234.1","NHS","COL4A2-AS2","DZANK1","RPL15","AC017100.1","ACKR4","RIPK3","CR1","AC137936.1","LECT2"
"AC012467.2","IGFN1","WARS2-IT1","FBLN2","IL1RL2","LRRC8C-DT","AC244517.12","RNASEL","TLCD4","CKMT2","PIGR","AC009292.1","PCDHA6","LINC01744","NUTM2E","RPSA","HIST2H4B","AL138966.2","ALG11","HSD11B1-AS1","ZNF573","C4BPA"
