"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
NA,"OPN4","C1R",NA,"SNX3","AL132709.7",NA,"CD163L1","TMEM250",NA,"GON7",NA,NA,NA,NA,NA,NA,NA,NA,"MED14",NA,NA
NA,"SRP54","CRB3",NA,"SLC27A5","ZNF532",NA,"MTMR3","AL049830.3",NA,"NRAS",NA,NA,NA,NA,NA,NA,NA,NA,"CENPS",NA,NA
NA,"DCUN1D3","RAPGEF4",NA,"PROSER2","KLF13",NA,"ATP11C","FOXM1",NA,"PMS1",NA,NA,NA,NA,NA,NA,NA,NA,"RBM15",NA,NA
NA,"KIAA0319L","PBX3",NA,"ATE1","POMP",NA,"PRKAR1B","MARVELD2",NA,"NT5C",NA,NA,NA,NA,NA,NA,NA,NA,"HK2",NA,NA
NA,"RESF1","CHMP1A",NA,"IGSF23","GIGYF2",NA,"C11orf71","RNASE1",NA,"RIC8B",NA,NA,NA,NA,NA,NA,NA,NA,"NRARP",NA,NA
NA,"BRIX1","WDR48",NA,"CFAP65","MYBL2",NA,"AC091132.4","LGALS9",NA,"TPCN1",NA,NA,NA,NA,NA,NA,NA,NA,"AC015871.1",NA,NA
NA,"ACVR2B","ARID3B",NA,"SPDYA","SLC25A15",NA,"FAM117B","GABPA",NA,"TAF11",NA,NA,NA,NA,NA,NA,NA,NA,"MAP3K5",NA,NA
NA,"LRFN3","C17orf75",NA,"RTN2","AC083862.2",NA,"UBLCP1","MAPKAPK2",NA,"MIR600HG",NA,NA,NA,NA,NA,NA,NA,NA,"IDH3A",NA,NA
NA,"MCM3","RAPGEF5",NA,"CCDC115","HDC",NA,"AC011379.2","GIGYF1",NA,"SLC2A5",NA,NA,NA,NA,NA,NA,NA,NA,"PSME3",NA,NA
NA,"QTRT1","NFYA",NA,"UNC13D","PGS1",NA,"CEP104","SLC6A4",NA,"ZWILCH",NA,NA,NA,NA,NA,NA,NA,NA,"POFUT1",NA,NA
NA,"AC025178.1","WDR55",NA,"TCF21","AC006027.1",NA,"MBNL3","TPGS1",NA,"THBS3",NA,NA,NA,NA,NA,NA,NA,NA,"PRKRIP1",NA,NA
NA,"FSIP2","SERPINA7",NA,"LINC01354","AC068389.1",NA,"ARL6IP6","SNTB2",NA,"ATP5MGL",NA,NA,NA,NA,NA,NA,NA,NA,"PLAAT3",NA,NA
NA,"NCBP2","PTGES2",NA,"MNAT1","PTGFRN",NA,"TRAPPC13","ZNRD2",NA,"AC090796.1",NA,NA,NA,NA,NA,NA,NA,NA,"BOLA2",NA,NA
NA,"MAOA","VPS39",NA,"NAF1","MTHFS",NA,"IP6K2","DNAJC16",NA,"AC004012.1",NA,NA,NA,NA,NA,NA,NA,NA,"TTC39B",NA,NA
NA,"AC012645.1","CPNE7",NA,"KANK3","RASSF3",NA,"THAP8","MAPK13",NA,"MAP3K8",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF219",NA,NA
NA,"GLB1L","RCCD1",NA,"OLFM4","SGTA",NA,"ZNF37A","TCP10",NA,"GIMAP4",NA,NA,NA,NA,NA,NA,NA,NA,"CLBA1",NA,NA
NA,"ADAR","CENPX",NA,"LCN2","GRK5",NA,"LRAT","GPR19",NA,"POP1",NA,NA,NA,NA,NA,NA,NA,NA,"SUCLG1",NA,NA
NA,"ARL8B","BCORL1",NA,"AC100803.3","GTF2IRD1",NA,"FBRSL1","SNHG17",NA,"TLCD2",NA,NA,NA,NA,NA,NA,NA,NA,"ZMIZ1",NA,NA
NA,"FP565260.3","VASP",NA,"SLC35E4","DNAH14",NA,"PRDM15","ANKRD50",NA,"RABEP2",NA,NA,NA,NA,NA,NA,NA,NA,"SNX1",NA,NA
NA,"TMEM201","DOK4",NA,"SNHG20","AC096772.1",NA,"EXOSC10-AS1","CERCAM",NA,"TRAPPC1",NA,NA,NA,NA,NA,NA,NA,NA,"MAP4K3-DT",NA,NA
NA,"INKA2","GOLGA8B",NA,"BOLA3","RPIA",NA,"AC127502.2","GNPDA1",NA,"BTBD6",NA,NA,NA,NA,NA,NA,NA,NA,"DMBT1",NA,NA
NA,"AC034236.2","SOX9-AS1",NA,"MARCH9","ALDH4A1",NA,"SELENOT","MAFG",NA,"MFSD3",NA,NA,NA,NA,NA,NA,NA,NA,"COL1A1",NA,NA
NA,"NXN","DCUN1D4",NA,"SLC25A36","ZBED3",NA,"AP4M1","GJB2",NA,"NMUR1",NA,NA,NA,NA,NA,NA,NA,NA,"S100A13",NA,NA
NA,"AC138696.2","AC234917.1",NA,"ACACA","FAM218A",NA,"SLC12A6","QTRT2",NA,"CCDC121",NA,NA,NA,NA,NA,NA,NA,NA,"GMIP",NA,NA
NA,"POLD1","PRXL2A",NA,"C11orf1","CLASRP",NA,"CEP350","ARIH2",NA,"KDM6A",NA,NA,NA,NA,NA,NA,NA,NA,"ASPRV1",NA,NA
NA,"KCNE5","MGLL",NA,"MPP1","FBXW7",NA,"AQR","NFE2L2",NA,"ERAL1",NA,NA,NA,NA,NA,NA,NA,NA,"AC020612.4",NA,NA
NA,"CLIP2","LDHA",NA,"NOA1","RIOX2",NA,"VAMP2","MTFP1",NA,"KEL",NA,NA,NA,NA,NA,NA,NA,NA,"MOGS",NA,NA
NA,"LURAP1","NAMPT",NA,"CBX2","NIBAN1",NA,"GARS-DT","AC008972.1",NA,"AL049840.5",NA,NA,NA,NA,NA,NA,NA,NA,"KIF16B",NA,NA
NA,"ACVR1B","AL356124.1",NA,"AC017083.1","METAP1D",NA,"CYP27A1","PPM1G",NA,"LINC00240",NA,NA,NA,NA,NA,NA,NA,NA,"MTMR12",NA,NA
NA,"MTHFD2L","CTDSPL",NA,"UBALD2","SMIM10L2A",NA,"TJP1","AC093591.2",NA,"MYO6",NA,NA,NA,NA,NA,NA,NA,NA,"MT-ND4L",NA,NA
NA,"TPM1","MEG8",NA,"SYNDIG1","OR2I1P",NA,"STK3","SFXN3",NA,"ITGB1BP1",NA,NA,NA,NA,NA,NA,NA,NA,"RIPK2",NA,NA
NA,"TSPOAP1-AS1","STK19",NA,"FBXL3","IPO13",NA,"SVBP","MFSD14C",NA,"SMOC1",NA,NA,NA,NA,NA,NA,NA,NA,"FMO5",NA,NA
NA,"PDPR","CRLF3",NA,"SEC11C","SCML1",NA,"AC017083.2","PRPF18",NA,"SIPA1L2",NA,NA,NA,NA,NA,NA,NA,NA,"MTCH2",NA,NA
NA,"NDUFA8","AL513365.2",NA,"ZNF513","YDJC",NA,"AKR7A3","NUP153",NA,"OIP5",NA,NA,NA,NA,NA,NA,NA,NA,"CHD6",NA,NA
NA,"CPSF4","SHLD2",NA,"CTSC","RAB31",NA,"NCAM1","PCDHB11",NA,"MID1",NA,NA,NA,NA,NA,NA,NA,NA,"QSOX2",NA,NA
NA,"BMP1","AC007250.1",NA,"ZNF273","PLEK2",NA,"NADK","ZNF487",NA,"CLK4",NA,NA,NA,NA,NA,NA,NA,NA,"STK17A",NA,NA
NA,"PRKAR1A","RFC1",NA,"BLOC1S3","DMD",NA,"TRIM31","STYXL1",NA,"APLP1",NA,NA,NA,NA,NA,NA,NA,NA,"ACTR1B",NA,NA
NA,"POM121","YIPF2",NA,"PPP1CC","AC008543.1",NA,"ATF7IP2","ALDH1B1",NA,"KLHL21",NA,NA,NA,NA,NA,NA,NA,NA,"UCHL5",NA,NA
NA,"ADARB1","AMPD2",NA,"AL031432.4","INSL3",NA,"MTG2","HOXB7",NA,"KISS1R",NA,NA,NA,NA,NA,NA,NA,NA,"SKP2",NA,NA
NA,"B3GALNT2","GMPR2",NA,"ARSI","ZNF212",NA,"MDM4","C17orf100",NA,"PRAP1",NA,NA,NA,NA,NA,NA,NA,NA,"LINC00174",NA,NA
NA,"NCAM2","ZNF605",NA,"NBN","RMND5B",NA,"BMS1","TSPAN6",NA,"FADS3",NA,NA,NA,NA,NA,NA,NA,NA,"ACAA2",NA,NA
NA,"TCF7L2","CCDC84",NA,"CAPN15","GNB5",NA,"CDC23","UEVLD",NA,"VTA1",NA,NA,NA,NA,NA,NA,NA,NA,"AL133419.1",NA,NA
NA,"CRP","MYH10",NA,"VCL","ZNF548",NA,"GTDC1","ZNF747",NA,"OGDHL",NA,NA,NA,NA,NA,NA,NA,NA,"EEF2K",NA,NA
NA,"MTFR1","AL512274.1",NA,"RBPJL","UBL3",NA,"CDC42EP3","MECP2",NA,"UGCG",NA,NA,NA,NA,NA,NA,NA,NA,"POLR2J",NA,NA
NA,"STK26","ATG13",NA,"NANOS1","SNX17",NA,"PRUNE1","PNPLA8",NA,"SDC1",NA,NA,NA,NA,NA,NA,NA,NA,"TONSL",NA,NA
NA,"FBXO17","PPP2R5B",NA,"GCSH","BANP",NA,"ERBIN","ZNF446",NA,"GXYLT1",NA,NA,NA,NA,NA,NA,NA,NA,"RSRC2",NA,NA
NA,"AREL1","RNASEH2C",NA,"PCDHB11","CCL2",NA,"CASP2","SPECC1",NA,"SYAP1",NA,NA,NA,NA,NA,NA,NA,NA,"EFHB",NA,NA
NA,"GAS8","DNAJB14",NA,"NKX1-2","TOR1AIP1",NA,"RCN3","AQP5",NA,"AL512422.1",NA,NA,NA,NA,NA,NA,NA,NA,"CFAP206",NA,NA
NA,"NAA16","AC106738.1",NA,"ZNF385B","HSPB6",NA,"HIST1H1B","CCNI2",NA,"KPNA1",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM126B",NA,NA
NA,"USPL1","GET1",NA,"HMGN3","ANKS6",NA,"KLHL22","PIP4K2B",NA,"TYMS",NA,NA,NA,NA,NA,NA,NA,NA,"F5",NA,NA
NA,"RPA3","BX546450.2",NA,"SMIM13","S1PR1",NA,"P4HA1","EPHX2",NA,"EPB41L1",NA,NA,NA,NA,NA,NA,NA,NA,"CDC37L1",NA,NA
NA,"GTF3C6","SLC12A7",NA,"BRI3","AC022613.1",NA,"BRSK1","ZNF217",NA,"PDE1B",NA,NA,NA,NA,NA,NA,NA,NA,"CACUL1",NA,NA
NA,"EZH1","VAMP3",NA,"AL512625.1","ANKRD39",NA,"TXNDC12","ARPC2",NA,"CCDC88C",NA,NA,NA,NA,NA,NA,NA,NA,"SCRN1",NA,NA
NA,"ENAM","FYTTD1",NA,"VAMP7","RTEL1",NA,"MANF","C17orf75",NA,"ZG16",NA,NA,NA,NA,NA,NA,NA,NA,"SWI5",NA,NA
NA,"UGT2A1","CEP41",NA,"SIRT1","TNKS",NA,"CLTCL1","CD9",NA,"TRIM25",NA,NA,NA,NA,NA,NA,NA,NA,"HSBP1L1",NA,NA
NA,"ZNF721","PIAS2",NA,"ARID1B","XRCC1",NA,"AL162411.1","RNF25",NA,"TMEM106B",NA,NA,NA,NA,NA,NA,NA,NA,"RPP30",NA,NA
NA,"ARSK","NDOR1",NA,"TNKS2","ATAD1",NA,"GASK1B","LMNB2",NA,"SMAP1",NA,NA,NA,NA,NA,NA,NA,NA,"CDK5RAP1",NA,NA
NA,"RPUSD4","AIFM1",NA,"AC023024.1","RYR3",NA,"NKTR","COL6A3",NA,"AC092198.1",NA,NA,NA,NA,NA,NA,NA,NA,"DCTN5",NA,NA
NA,"NIPSNAP3B","C14orf119",NA,"RALGPS2","TMEM164",NA,"MLXIPL","IDUA",NA,"FBXW11",NA,NA,NA,NA,NA,NA,NA,NA,"AC073111.4",NA,NA
NA,"AC133785.1","PTBP3",NA,"TRAK2","DNASE1",NA,"SLC25A32","FAM153CP",NA,"TWISTNB",NA,NA,NA,NA,NA,NA,NA,NA,"KCTD13",NA,NA
NA,"YLPM1","PGP",NA,"SMUG1","ADGRF5",NA,"RANBP2","SMARCC2",NA,"IFRD1",NA,NA,NA,NA,NA,NA,NA,NA,"GABPA",NA,NA
NA,"ZNF48","IGSF3",NA,"VAT1L","AL137077.2",NA,"ERAP1","FAM76B",NA,"TRIO",NA,NA,NA,NA,NA,NA,NA,NA,"MYO10",NA,NA
NA,"PRICKLE2","FHOD1",NA,"ATOX1","DDX11",NA,"CAPN7","VPS37A",NA,"PLG",NA,NA,NA,NA,NA,NA,NA,NA,"DNAJC30",NA,NA
NA,"CCAR1","CDCP1",NA,"LDLRAD3","ZNF564",NA,"MGLL","ITGB2-AS1",NA,"PIAS4",NA,NA,NA,NA,NA,NA,NA,NA,"EZH2",NA,NA
NA,"PCDHGA7","HJURP",NA,"COL6A3","ELFN2",NA,"TMEM168","GLS",NA,"SBDS",NA,NA,NA,NA,NA,NA,NA,NA,"AP3S1",NA,NA
NA,"SFT2D2","IL7R",NA,"MON1B","NNT",NA,"AC090948.4","KRR1",NA,"AC015871.4",NA,NA,NA,NA,NA,NA,NA,NA,"NAA25",NA,NA
NA,"HDAC4","DUSP23",NA,"ABCA9","AC004918.1",NA,"AGMAT","PVR",NA,"MYO1E",NA,NA,NA,NA,NA,NA,NA,NA,"TTC12",NA,NA
NA,"TBCD","AL513477.2",NA,"ASB8","NELFCD",NA,"AC012615.2","SIRT5",NA,"RECQL4",NA,NA,NA,NA,NA,NA,NA,NA,"ARL13B",NA,NA
NA,"KLHL18","ZNF845",NA,"GPR137","SLC25A32",NA,"VGLL4","PCSK4",NA,"ZNF593",NA,NA,NA,NA,NA,NA,NA,NA,"KCNJ8",NA,NA
NA,"AC015726.2","FRMD4A",NA,"MNX1","RBM23",NA,"EEF2KMT","ACBD5",NA,"TBC1D31",NA,NA,NA,NA,NA,NA,NA,NA,"MAPK8IP3",NA,NA
NA,"CLN8","GTPBP2",NA,"CNNM3","OGFOD2",NA,"BRPF3","LTA4H",NA,"PIK3CA",NA,NA,NA,NA,NA,NA,NA,NA,"TAF2",NA,NA
NA,"MTAP","LETM1",NA,"DHX29","WDR75",NA,"IKBKB","PLEKHA6",NA,"B9D1",NA,NA,NA,NA,NA,NA,NA,NA,"LINC02802",NA,NA
NA,"KRIT1","ERAP1",NA,"REEP3","MOSPD2",NA,"DEDD","AC087392.3",NA,"GDA",NA,NA,NA,NA,NA,NA,NA,NA,"PXDN",NA,NA
NA,"ITFG1","PRDM16",NA,"RCAN2","ARG1",NA,"PPP4R3A","TIMM10B",NA,"C5orf24",NA,NA,NA,NA,NA,NA,NA,NA,"HNRNPM",NA,NA
NA,"DVL3","SMARCA1",NA,"RNASEK","ACAP2",NA,"RASSF7","GNAI1",NA,"ST18",NA,NA,NA,NA,NA,NA,NA,NA,"E2F5",NA,NA
NA,"LZIC","AC034229.4",NA,"AP000320.1","SNHG15",NA,"IREB2","ZBED3-AS1",NA,"KLHDC4",NA,NA,NA,NA,NA,NA,NA,NA,"MYORG",NA,NA
NA,"PCGF5","RYR3",NA,"PRELID1","EID1",NA,"TAF12","P3H2",NA,"CCDC106",NA,NA,NA,NA,NA,NA,NA,NA,"CIT",NA,NA
NA,"ERCC6L2","AC104958.2",NA,"GAMT","EEF1AKNMT",NA,"SARS","ATP13A3",NA,"UHRF2",NA,NA,NA,NA,NA,NA,NA,NA,"AL117336.1",NA,NA
NA,"FUT2","SRPX2",NA,"AC119427.1","CRTC2",NA,"AP001059.2","MYH9",NA,"DYNC1LI1",NA,NA,NA,NA,NA,NA,NA,NA,"PAPSS1",NA,NA
NA,"CTSL","SLC39A5",NA,"AP002387.2","CHCHD7",NA,"NTMT1","ROM1",NA,"KLF3",NA,NA,NA,NA,NA,NA,NA,NA,"POLDIP3",NA,NA
NA,"MLX","CENPP",NA,"C12orf57","FAM210A",NA,"AF129075.2","VTI1B",NA,"DPCD",NA,NA,NA,NA,NA,NA,NA,NA,"AC092428.1",NA,NA
NA,"TBCC","ARHGAP18",NA,"DTYMK","C5orf30",NA,"LZTS2","AC107214.1",NA,"GPD2",NA,NA,NA,NA,NA,NA,NA,NA,"LIME1",NA,NA
NA,"GNG12","STS",NA,"CAND1","TYMSOS",NA,"SMC5","MED27",NA,"APBB1IP",NA,NA,NA,NA,NA,NA,NA,NA,"KHDC4",NA,NA
NA,"MIA2","GXYLT2",NA,"UNC5B","CDKN3",NA,"ADAM21","CRBN",NA,"AXDND1",NA,NA,NA,NA,NA,NA,NA,NA,"CCL25",NA,NA
NA,"GDI2","AC011611.4",NA,"SLC41A2","DENND10",NA,"MSANTD3","TBC1D5",NA,"ELAVL1",NA,NA,NA,NA,NA,NA,NA,NA,"PARD6B",NA,NA
NA,"PDP2","DIPK2A",NA,"SPAST","GYPC",NA,"PTPN18","AC064836.2",NA,"N4BP2",NA,NA,NA,NA,NA,NA,NA,NA,"SPOUT1",NA,NA
NA,"SMARCA2","SLC38A10",NA,"OGFRL1","AC084757.4",NA,"UNC50","PDE8A",NA,"RNF185",NA,NA,NA,NA,NA,NA,NA,NA,"MIOS",NA,NA
NA,"ERC1","GRINA",NA,"POLK","ADIPOR1",NA,"SGSM1","CHD3",NA,"BICDL1",NA,NA,NA,NA,NA,NA,NA,NA,"CADM4",NA,NA
NA,"NPSR1-AS1","CCNJ",NA,"DPYS","SEMA6C",NA,"AC007098.1","TFAP4",NA,"LAD1",NA,NA,NA,NA,NA,NA,NA,NA,"ATXN7L3",NA,NA
NA,"ZC3H14","DALRD3",NA,"CXCL11","ACOX1",NA,"TMEM132A","SOX21-AS1",NA,"SLC35E1",NA,NA,NA,NA,NA,NA,NA,NA,"RINL",NA,NA
NA,"INPP5A","LSM10",NA,"DCUN1D1","AC004797.1",NA,"CROT","GPR155",NA,"SYCE3",NA,NA,NA,NA,NA,NA,NA,NA,"TLK2",NA,NA
NA,"RBMX","PPM1M",NA,"NDUFB7","TOM1",NA,"LELP1","CTNND2",NA,"TDP1",NA,NA,NA,NA,NA,NA,NA,NA,"ABHD8",NA,NA
NA,"ATP2C1","PRPF6",NA,"CASP2","SRF",NA,"TMEM25","AMT",NA,"RAD18",NA,NA,NA,NA,NA,NA,NA,NA,"COG5",NA,NA
NA,"LINC00973","DPM3",NA,"USH1G","RPUSD3",NA,"DUOXA1","C15orf39",NA,"C12orf43",NA,NA,NA,NA,NA,NA,NA,NA,"AGPAT1",NA,NA
NA,"ZNF28","MKKS",NA,"KLHDC3","PRRC2C",NA,"AC092910.3","FAIM",NA,"PRKD2",NA,NA,NA,NA,NA,NA,NA,NA,"ARL6IP5",NA,NA
NA,"TAF12","SMC1B",NA,"BABAM1","CIAO2A",NA,"LENG9","DHFR",NA,"RELA",NA,NA,NA,NA,NA,NA,NA,NA,"FBXO34",NA,NA
NA,"LAMTOR3","PPARA",NA,"TSPAN4","BZW1",NA,"DPY19L1","ZNF682",NA,"BORCS6",NA,NA,NA,NA,NA,NA,NA,NA,"C2orf68",NA,NA
NA,"ATRNL1","ACADS",NA,"MIOS","VSNL1",NA,"GXYLT2","RAB3GAP2",NA,"CHMP5",NA,NA,NA,NA,NA,NA,NA,NA,"CLDN4",NA,NA
NA,"RAB31","SMCO1",NA,"SDF2","RTRAF",NA,"SURF6","ARGLU1",NA,"ADAM15",NA,NA,NA,NA,NA,NA,NA,NA,"AC099684.1",NA,NA
NA,"LINC02381","AQP6",NA,"GCC2","MAPK12",NA,"UBR2","SYP",NA,"ZNF75D",NA,NA,NA,NA,NA,NA,NA,NA,"GCFC2",NA,NA
NA,"ASCC3","PRMT3",NA,"ZNF322","IQGAP3",NA,"PARVA","AL162411.1",NA,"KIF3A",NA,NA,NA,NA,NA,NA,NA,NA,"C16orf74",NA,NA
NA,"ZNF133","TIMM8A",NA,"ERGIC3","SCAMP4",NA,"ARL14","RTN4RL1",NA,"LSM10",NA,NA,NA,NA,NA,NA,NA,NA,"LRPPRC",NA,NA
NA,"DTD2","GATD1",NA,"GZMM","C5AR2",NA,"PARD3B","FSTL3",NA,"KLHL9",NA,NA,NA,NA,NA,NA,NA,NA,"TRIM58",NA,NA
NA,"TSTD3","NAPG",NA,"PLGRKT","CDC42EP1",NA,"KIF22","PRKAR2B",NA,"AC068888.1",NA,NA,NA,NA,NA,NA,NA,NA,"ESM1",NA,NA
NA,"SNX1","ATPAF2",NA,"STARD3NL","DTX4",NA,"LINC01578","CDHR5",NA,"HNRNPA1L2",NA,NA,NA,NA,NA,NA,NA,NA,"CNPPD1",NA,NA
NA,"LARP1","CXCR4",NA,"MLH1","ZNF16",NA,"ADCK2","SEMA6A",NA,"MFN1",NA,NA,NA,NA,NA,NA,NA,NA,"RBM12",NA,NA
NA,"THAP11","IFIT3",NA,"RPN2","IPO5",NA,"SMS","DHX37",NA,"CFH",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF639",NA,NA
NA,"AZIN1","TWISTNB",NA,"RMI2","SMURF1",NA,"TEDC1","SLC8A2",NA,"PRPF38A",NA,NA,NA,NA,NA,NA,NA,NA,"C16orf91",NA,NA
NA,"TMBIM1","RAD1",NA,"TMEM123","AL391497.1",NA,"FAAH","RTN2",NA,"LINC01521",NA,NA,NA,NA,NA,NA,NA,NA,"FLAD1",NA,NA
NA,"RERG","SEC24D",NA,"ZNF454","VBP1",NA,"SPECC1","CHD2",NA,"UBQLN2",NA,NA,NA,NA,NA,NA,NA,NA,"BAG2",NA,NA
NA,"VPS11","CCDC50",NA,"NUDT4","KIAA0232",NA,"CCNJ","TMEM94",NA,"WHAMM",NA,NA,NA,NA,NA,NA,NA,NA,"PCDH17",NA,NA
NA,"ODF2","USP21",NA,"ANAPC11","VPS11",NA,"COQ8B","GTF2E2",NA,"PYGO2",NA,NA,NA,NA,NA,NA,NA,NA,"PXYLP1",NA,NA
NA,"AC099518.4","TNKS",NA,"AL662797.1","AC026979.4",NA,"SERTAD4-AS1","S100A11",NA,"RAI14",NA,NA,NA,NA,NA,NA,NA,NA,"RFX3",NA,NA
NA,"KLHDC10","RBM26",NA,"PASK","BCKDHB",NA,"KCNH3","ODF2L",NA,"B3GALT6",NA,NA,NA,NA,NA,NA,NA,NA,"NUSAP1",NA,NA
NA,"MINPP1","LLGL2",NA,"LSM8","AC016596.1",NA,"KDM1B","NUBP1",NA,"AC107068.1",NA,NA,NA,NA,NA,NA,NA,NA,"B4GALNT4",NA,NA
NA,"PLPBP","ZBTB17",NA,"ID1","HPS1",NA,"IGHV1-24","NOS2",NA,"SHISA2",NA,NA,NA,NA,NA,NA,NA,NA,"NUP54",NA,NA
NA,"TTC21B","SPTSSA",NA,"SF3B6","CRAT",NA,"SUPV3L1","VCPIP1",NA,"UXT-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"AC004908.1",NA,NA
NA,"GALNT16","CHAC1",NA,"GABPB1","PRPSAP2",NA,"SLC23A2","ST14",NA,"CLMN",NA,NA,NA,NA,NA,NA,NA,NA,"HOXD-AS2",NA,NA
NA,"RAB24","LRRFIP2",NA,"SELENOW","WDR1",NA,"GGA1","AP003120.1",NA,"MAPRE2",NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A17",NA,NA
NA,"UBE3C","AC026471.3",NA,"ARPC3","TMEM251",NA,"YOD1","PEAK1",NA,"NOS3",NA,NA,NA,NA,NA,NA,NA,NA,"ADD3",NA,NA
NA,"PRKACA","USF3",NA,"SPRYD3","RSPH10B",NA,"HSF1","TARBP2",NA,"SP2",NA,NA,NA,NA,NA,NA,NA,NA,"KLF15",NA,NA
NA,"RTL8C","RND3",NA,"LINC01146","LINC00671",NA,"ZMAT3","LRRC37A3",NA,"RNASEH1",NA,NA,NA,NA,NA,NA,NA,NA,"PCDHA7",NA,NA
NA,"MAN2A2","FAM27E3",NA,"SNF8","AL133243.1",NA,"CHRDL2","ANAPC4",NA,"INTS14",NA,NA,NA,NA,NA,NA,NA,NA,"SNHG11",NA,NA
NA,"GPM6A","DVL3",NA,"COMT","AKAP9",NA,"CCT8","SIPA1",NA,"CD14",NA,NA,NA,NA,NA,NA,NA,NA,"TTC39C",NA,NA
NA,"AC005339.1","RCOR1",NA,"TMPRSS2","NKD2",NA,"HAGHL","ZZEF1",NA,"YTHDF3",NA,NA,NA,NA,NA,NA,NA,NA,"NDUFB5",NA,NA
NA,"RPA1","EDA",NA,"POLRMT","CCDC28A",NA,"RIC1","DHDDS",NA,"AC110285.2",NA,NA,NA,NA,NA,NA,NA,NA,"NCAPD2",NA,NA
NA,"TYMS","CRYZ",NA,"ZBTB26","ESAM",NA,"SLC41A1","WARS2",NA,"CISD2",NA,NA,NA,NA,NA,NA,NA,NA,"RWDD1",NA,NA
NA,"SLC25A12","NAXD",NA,"POLI","RNF19A",NA,"BMI1","ZC3H18",NA,"NBPF9",NA,NA,NA,NA,NA,NA,NA,NA,"COX17",NA,NA
NA,"TRIM4","BTBD10",NA,"HOXD4","RAP1GAP2",NA,"ITPRIPL2","ZNF875",NA,"DINOL",NA,NA,NA,NA,NA,NA,NA,NA,"PKD1",NA,NA
NA,"AL133410.2","NSF",NA,"PRKAG2","PON2",NA,"GLYCTK","SFXN4",NA,"SYNE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HYAL2","DOCK8",NA,"AC138696.2","PEX10",NA,"NCOA7","BANP",NA,"KLHL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SIRT7","AL022322.1",NA,"C1orf210","PPP1R3G",NA,"IFIH1","BAG6",NA,"SERINC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZNF488","FTX",NA,"AC087392.3","GPR160",NA,"ATP8B2","CCDC85C",NA,"NR0B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"GCDH","TALDO1",NA,"PRNP","NSMCE2",NA,"ACTR6","ZNF793-AS1",NA,"SEMA4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"FANCA","CNGA1",NA,"YWHAE","ZNF768",NA,"ZNF609","ACKR4",NA,"GPATCH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ALG5","LRRC56",NA,"YKT6","ENC1",NA,"SHMT2","AC002401.3",NA,"MND1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PTRH2","CAPN2",NA,"FUT10","SERPIND1",NA,"IL15RA","CACNA2D1",NA,"CCNY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"FBXO45","CAP2",NA,"BORCS6","AC048382.5",NA,"GPR35","SMPD4",NA,"UAP1L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RCAN3AS","TTC39C",NA,"RNF114","PNLIPRP1",NA,"PACS2","PDAP1",NA,"PLD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AIDA","AC009118.2",NA,"AL033527.3","TIMM50",NA,"CPQ","AC093512.1",NA,"ICE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PLXNA3","HSPA12A",NA,"SLC29A4","AC116158.1",NA,"RELL2","RPF2",NA,"LRCH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TSC22D2","FRY",NA,"LINC00654","TRPM4",NA,"PRR36","EPB41L4A-AS1",NA,"GCDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RMND5B","RAP2A",NA,"WDR83OS","CDC23",NA,"FUT11","PKD1",NA,"TMEM9B-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TUT7","OCIAD1",NA,"LINC01829","ARL5B",NA,"GLRX","ANGEL1",NA,"ITGAV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AL358472.4","F10",NA,"WDR83","TCEAL8",NA,"ELMOD2","ENPP2",NA,"CD34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
