"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"NBAS","LINC01004","NEURL3","LTK","FMOD","KANSL1L","AL671710.1","AC027601.1",NA,"LINC02814","HIST1H3D","LINC00476"
"FAM49A","FOXP2","AC159540.2","AC093515.1","PRELP","SPEGNB","XAGE3","PLEKHH2",NA,"CCR6","GABBR1","INVS"
"FEZ2","SMKR1","AC092667.1","AC022167.2","AL359921.2","TMEM198","GRIA3","BCL2L10",NA,"AL137003.2","TRIM10","KIAA1958"
"PRKD3","MKLN1-AS","CYP27C1","AC099518.4","GREM2","INPP5D","C12orf60","AL451085.2",NA,"NOTUM","LRRC73","ZNF883"
"ASB3","GIMAP8","MAP3K2-DT","SDR42E2","PXDN","AGAP1","LINC02012","AL136169.1",NA,"AP001059.1","LINC01564","CNTRL"
"FAM161A","AC004908.2","MGAT5","NKD1","AC108488.3","PASK","TMEM200B","BX890604.2",NA,"AOAH","RNGTT","ZBTB26"
"AC107081.2","EYA1","CCNT2-AS1","C16orf86","EMILIN1","SETD5","BEND3","ZNF653",NA,"PCDH17","MTFR2","ZNF79"
"PPP3R1","CASC19","ZRANB3","ZNF469","MEMO1","CCDC174","AC121761.2","USP43",NA,"AC083880.1","PRR18","DDX31"
"PCBP1-AS1","KCNK9","AC061961.1","LINC02193","LTBP1","CCRL2","AC124016.1","LINC01214",NA,"GPIHBP1","AL606970.1","SUV39H2"
"TGFA","ERCC6L2","CYTIP","AC005224.3","RASGRP3","HYAL3","PGM2L1","LINC01428",NA,"AL139099.1","AC091729.3","DLG5"
"CLEC4F","ZNF510","LINC01806","MFAP4","QPCT","PRKCD","ABI3","ZC3H11B",NA,"RHOJ","NFE2L3","GFRA1"
"EXOC6B","CTSV","STK39","CD300LG","CDC42EP3","ARL13B","NLRP1","ZNF775",NA,"HNRNPA1L2","HOXA4","EDRF1-DT"
"WDR54","AL390067.1","AC016737.1","AXIN2","EFEMP1","CMSS1","ZNF225","CYP26A1",NA,"ZNF117","MINDY4","AGBL2"
"LYG1","WDR31","DUSP19","AC145207.2","PAPOLG","ARHGAP31","AL355353.1","PLEKHA4",NA,"AC121761.2","C7orf25","CLP1"
"TMEM182","SCAI","AC009315.1","SPIRE1","REL","PLA1A","C2orf81","NR3C2",NA,"POC5","ASB4","FAM111B"
"AC012306.2","PRPF18","C2orf88","AC009704.2","PLEK","MCM2","ZNF415","AC129507.2",NA,"GJC3","GPR37","NAA40"
"C2orf27A","TRDMT1","AC108047.1","AC004221.1","ARHGAP25","AC010210.1","SLC25A19","AC108134.3",NA,"KANSL1-AS1","GIMAP2","BATF2"
"GPR39","WAC-AS1","KLF7","ATP8B3","ANTXR1","PXYLP1","AKAP6","CDC7",NA,"TMEM144","ADRA1A","AP000892.3"
"NEB","PPP3CB-AS1","PLEKHM3","FUT6","AAK1","TRPC1","CNPY4","C11orf80",NA,"GDF9","KCNU1","TLCD5"
"ACVR1","CPXM2","IDH1-AS1","AC008752.2","HK2","RFC4","AGAP5","FAM71F2",NA,"ME3","ZNF703","SPSB2"
"KLHL23","STK32C","AC012510.1","COL5A3","EIF2AK3-DT","LPP-AS2","ZNF436","BSPRY",NA,"ZC3H10","AC064807.4","DDX11"
"NUP35","LRRC56","AC009955.4","FXYD3","ANKRD36C","LMLN","FUT1","KLF8",NA,"UBR5-AS1","TRIM55","AMN1"
"ANKRD44","MRPL23-AS1","AC010735.2","AC245884.8","ANKRD36","SLC2A9","STARD7-AS1","KANK4",NA,"AC091729.3","HEY1","DDN-AS1"
"CASP8","AC116534.1","SLC19A3","GALP","KIAA1211L","ZCCHC4","PXN-AS1","WDFY4",NA,"GPR183","POP1","SOAT2"
"METTL21A","RSF1-IT1","TIGD1","LINC01270","CREG2","ANAPC4","C16orf74","ARSG",NA,"SPACA9","GDA","FAM216A"
"SPAG16","TTC36","HJURP","AL121845.4","MIR4435-2HG","RUFY3","AL162413.1","AC012603.1",NA,"ERVK13-1","AL590705.1","RFC5"
"SLC4A3","AC009318.3","AC005538.3","DGCR11","ZC3H6","SLC4A4","STX18-AS1","CD1C",NA,"USP53","ASTN2","CIT"
