"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"ZNF720",NA,"IFNGR1",NA,"BCL9","SELENOT",NA,NA,NA,NA,NA,NA
"AC024909.1",NA,"LDLRAD2",NA,"MNS1","ABCF3",NA,NA,NA,NA,NA,NA
"ARHGEF19",NA,"WASHC2C",NA,"ZSCAN30","TMC7",NA,NA,NA,NA,NA,NA
"AC011451.4",NA,"SRRT",NA,"ANAPC10","DEFB126",NA,NA,NA,NA,NA,NA
"CHURC1",NA,"USE1",NA,"AC090116.1","CRYM",NA,NA,NA,NA,NA,NA
"ZNF579",NA,"TAPT1",NA,"CSDE1","ENO2",NA,NA,NA,NA,NA,NA
"RHPN1-AS1",NA,"CCM2",NA,"C1GALT1","PPP3CB",NA,NA,NA,NA,NA,NA
"FBXL16",NA,"NKX2-2",NA,"ANKRD27","AC084809.2",NA,NA,NA,NA,NA,NA
"ACAP3",NA,"AC027796.4",NA,"AC239868.1","LAD1",NA,NA,NA,NA,NA,NA
"AL031848.1",NA,"TREM1",NA,"TSC22D2","GNPTAB",NA,NA,NA,NA,NA,NA
"ARFGAP3",NA,"NINJ1",NA,"AL390719.2","POLR2J2",NA,NA,NA,NA,NA,NA
"EGFL8",NA,"SPINK6",NA,"LINC01235","KLRC1",NA,NA,NA,NA,NA,NA
"LINC01441",NA,"PRTFDC1",NA,"CNTNAP3B","TBC1D22A",NA,NA,NA,NA,NA,NA
"CEP78",NA,"MBL2",NA,"SLC17A4","GTPBP10",NA,NA,NA,NA,NA,NA
"AL021707.7",NA,"SLBP",NA,"CD7","STOM",NA,NA,NA,NA,NA,NA
"UBE2B",NA,"CNTFR",NA,"GPIHBP1","CPEB1",NA,NA,NA,NA,NA,NA
"AL356481.1",NA,"RAC3",NA,"NEMF","PCNX1",NA,NA,NA,NA,NA,NA
"NEU4",NA,"RNF123",NA,"FRRS1L","MTMR4",NA,NA,NA,NA,NA,NA
"ANKRD10",NA,"ZFAND3",NA,"CCSER2","C15orf40",NA,NA,NA,NA,NA,NA
"PICK1",NA,"SLC25A38",NA,"HUNK","CLTA",NA,NA,NA,NA,NA,NA
"AL137002.2",NA,"VSIG2",NA,"SOWAHD","MAP1LC3B",NA,NA,NA,NA,NA,NA
"LINC02601",NA,"MORC3",NA,"APP","AC211476.6",NA,NA,NA,NA,NA,NA
"NDUFA10",NA,"AP2B1",NA,"AL031985.3","JUNB",NA,NA,NA,NA,NA,NA
"HSD17B8",NA,"NMD3",NA,"ERO1B","ARHGDIA",NA,NA,NA,NA,NA,NA
"SYNPO",NA,"SH2B2",NA,"KBTBD11","NFE2L1",NA,NA,NA,NA,NA,NA
"AC011468.5",NA,"AL158063.1",NA,"PKIB","SF3B1",NA,NA,NA,NA,NA,NA
"VAMP3",NA,"PMPCB",NA,"PARP16","NTNG2",NA,NA,NA,NA,NA,NA
"MTMR10",NA,"CYP27B1",NA,"SGMS2","SLC25A15",NA,NA,NA,NA,NA,NA
"EMC7",NA,"MRPS27",NA,"LINC00665","FAM160A1",NA,NA,NA,NA,NA,NA
"TBX21",NA,"ERLIN2",NA,"FBF1","KRTCAP2",NA,NA,NA,NA,NA,NA
"EDF1",NA,"MRPL32",NA,"C1QTNF3","RFXANK",NA,NA,NA,NA,NA,NA
"SLC39A7",NA,"IL17RC",NA,"HLA-A","AC188616.1",NA,NA,NA,NA,NA,NA
"POLE",NA,"PRKAG1",NA,"ZNF75A","RFK",NA,NA,NA,NA,NA,NA
"APPL1",NA,"MRPL40",NA,"CFB","RDH12",NA,NA,NA,NA,NA,NA
"AF131216.4",NA,"AC009118.3",NA,"GIPC1","GOLT1A",NA,NA,NA,NA,NA,NA
"AL138963.4",NA,"RRM2B",NA,"KCNK10","DHX36",NA,NA,NA,NA,NA,NA
"PTS",NA,"PCTP",NA,"AP000254.2","PARL",NA,NA,NA,NA,NA,NA
"TTC1",NA,"SFPQ",NA,"C1orf162","AL024507.2",NA,NA,NA,NA,NA,NA
"GLTPD2",NA,"HLX",NA,"MEF2C","AC132938.6",NA,NA,NA,NA,NA,NA
"TMEM248",NA,"CCN6",NA,"ADCY9","PCNA",NA,NA,NA,NA,NA,NA
"PDHA1",NA,"PDZD11",NA,"LIMK2","HNRNPA2B1",NA,NA,NA,NA,NA,NA
"ABHD14B",NA,"CASKIN2",NA,"MDP1","HPN",NA,NA,NA,NA,NA,NA
"SNX14",NA,"AL391832.4",NA,"TAZ","FAM245B",NA,NA,NA,NA,NA,NA
"KAT2A",NA,"AL135999.3",NA,"TMEM50A","MBL2",NA,NA,NA,NA,NA,NA
"GRB10",NA,"SFXN2",NA,"PCBD2","PRPF38A",NA,NA,NA,NA,NA,NA
"RPS19BP1",NA,"AKR1C2",NA,"AP000695.1","AC027688.1",NA,NA,NA,NA,NA,NA
"LINC00167",NA,"ETNPPL",NA,"AP4M1","CBX1",NA,NA,NA,NA,NA,NA
"FBRSL1",NA,"POLR1A",NA,"RASL12","UBXN4",NA,NA,NA,NA,NA,NA
"ATXN10",NA,"LINC00857",NA,"MAGEA1","AFG3L2",NA,NA,NA,NA,NA,NA
"CSRP1",NA,"GNA11",NA,"TOX2","SCARF1",NA,NA,NA,NA,NA,NA
"SPPL2A",NA,"CSNK1D",NA,"AC108488.1","MMP19",NA,NA,NA,NA,NA,NA
"UBP1",NA,"PREPL",NA,"ZNF446","EAF1-AS1",NA,NA,NA,NA,NA,NA
"SLC1A1",NA,"H2AFV",NA,"GNAQ","SRSF11",NA,NA,NA,NA,NA,NA
"EPM2AIP1",NA,"GPRIN2",NA,"CD300LF","SLC45A1",NA,NA,NA,NA,NA,NA
"UBC",NA,"BHMT",NA,"SLC30A7","FGF12-AS3",NA,NA,NA,NA,NA,NA
"TSPYL1",NA,"AGTRAP",NA,"PARP8","PRKAR2A",NA,NA,NA,NA,NA,NA
"TOLLIP",NA,"PSMD8",NA,"LINC00174","AC027117.2",NA,NA,NA,NA,NA,NA
"EPB41L3",NA,"ATP6V0A1",NA,"FTSJ1","AC106052.1",NA,NA,NA,NA,NA,NA
"AP006284.1",NA,"BANF1",NA,"BGLAP","SLC44A1",NA,NA,NA,NA,NA,NA
"SH3GLB1",NA,"FAM50A",NA,"PLXNA1","C5orf56",NA,NA,NA,NA,NA,NA
"GJC2",NA,"SURF4",NA,"TAOK3","NDUFAF3",NA,NA,NA,NA,NA,NA
"AC233992.3",NA,"CTAGE4",NA,"PECAM1","SLCO2A1",NA,NA,NA,NA,NA,NA
"AC147651.1",NA,"GIGYF1",NA,"AL354811.1","PCCA",NA,NA,NA,NA,NA,NA
"AJUBA",NA,"PDP2",NA,"DLGAP4","MECP2",NA,NA,NA,NA,NA,NA
"CDK3",NA,"PSMD12",NA,"TCTN1","HIST1H1C",NA,NA,NA,NA,NA,NA
"LRCH2",NA,"APOD",NA,"TMEM241","CXXC5",NA,NA,NA,NA,NA,NA
"YWHAB",NA,"HSPB2",NA,"TCTE3","SLC22A3",NA,NA,NA,NA,NA,NA
"DUBR",NA,"PDX1",NA,"NR4A2","LRRN2",NA,NA,NA,NA,NA,NA
"GPS2",NA,"SUOX",NA,"FAM221A","ZNF513",NA,NA,NA,NA,NA,NA
"RBM15B",NA,"BOLA3",NA,"LRRC29","LINC02749",NA,NA,NA,NA,NA,NA
"ATP7B",NA,"DNAJC9",NA,"DEPP1","OXSR1",NA,NA,NA,NA,NA,NA
"LINC02273",NA,"YPEL2",NA,"GALNT3","RALB",NA,NA,NA,NA,NA,NA
"PSMB2",NA,"AL357079.2",NA,"SCCPDH","FBLIM1",NA,NA,NA,NA,NA,NA
"PEX10",NA,"MED10",NA,"DAO","BCAP29",NA,NA,NA,NA,NA,NA
"POLR1A",NA,"TXNL1",NA,"SRP14-AS1","ZNF850",NA,NA,NA,NA,NA,NA
"DIPK1C",NA,"HHIP-AS1",NA,"HIP1","TNRC18",NA,NA,NA,NA,NA,NA
"AL360013.4",NA,"LINC01251",NA,"GBP3","MAP2K4",NA,NA,NA,NA,NA,NA
"FZR1",NA,"G3BP2",NA,"ZFHX3","INHBC",NA,NA,NA,NA,NA,NA
"TIAL1",NA,"ECHDC1",NA,"UGP2","RPL22L1",NA,NA,NA,NA,NA,NA
"ABCB8",NA,"CC2D1A",NA,"FAM151A","MAPK1IP1L",NA,NA,NA,NA,NA,NA
"FKBP1C",NA,"RIOK3",NA,"AP004608.1","AL160408.2",NA,NA,NA,NA,NA,NA
"TIMM8B",NA,"STK25",NA,"STXBP4","BNIP3L",NA,NA,NA,NA,NA,NA
"HTATIP2",NA,"PARP10",NA,"UHRF1BP1","GRSF1",NA,NA,NA,NA,NA,NA
"ITGB2",NA,"AC012074.1",NA,"ABHD1","TPT1-AS1",NA,NA,NA,NA,NA,NA
"MAB21L3",NA,"LRRC8D",NA,"PIM1","BRCA2",NA,NA,NA,NA,NA,NA
"LINC01929",NA,"STK16",NA,"CHD4","TYW5",NA,NA,NA,NA,NA,NA
"AL844908.1",NA,"ANAPC13",NA,"SSBP2","AC135050.3",NA,NA,NA,NA,NA,NA
"REXO1",NA,"AP2A2",NA,"LAT","DNAJC28",NA,NA,NA,NA,NA,NA
"AC007620.3",NA,"SIAH1",NA,"MIOS","C1RL",NA,NA,NA,NA,NA,NA
"PALM2-AKAP2",NA,"OTUD4",NA,"MTF1","ACAD10",NA,NA,NA,NA,NA,NA
"AL023581.2",NA,"AC090229.1",NA,"CCDC159","SORD",NA,NA,NA,NA,NA,NA
"TRIM7",NA,"NOL7",NA,"HAO1","NFS1",NA,NA,NA,NA,NA,NA
"TMEM185B",NA,"PHF23",NA,"HBB","GRB10",NA,NA,NA,NA,NA,NA
"SLC35B3",NA,"AC104532.2",NA,"CYP2A13","MRPS6",NA,NA,NA,NA,NA,NA
"GJB1",NA,"DNAH6",NA,"VWF","PI4K2B",NA,NA,NA,NA,NA,NA
"TP53INP2",NA,"AC097460.1",NA,"AGGF1","UBE2J1",NA,NA,NA,NA,NA,NA
"WIPF2",NA,"NID1",NA,"TTC13","LAMTOR2",NA,NA,NA,NA,NA,NA
"AC008060.1",NA,"RAP2C-AS1",NA,"PUF60","RPARP-AS1",NA,NA,NA,NA,NA,NA
"PDE4DIP",NA,"DENR",NA,"METAP2","TSPAN4",NA,NA,NA,NA,NA,NA
"SUPT5H",NA,"UGT2B7",NA,"SPDYA","AC018926.2",NA,NA,NA,NA,NA,NA
"PAFAH1B3",NA,"KIAA1324",NA,"LRRC75B","AC079328.2",NA,NA,NA,NA,NA,NA
"VPS72",NA,"NEMP2",NA,"ANKRD17","RELA",NA,NA,NA,NA,NA,NA
"SLC6A7",NA,"MOV10",NA,"DNAAF5","LINC01778",NA,NA,NA,NA,NA,NA
"SLC33A1",NA,"TRAF5",NA,"IL18R1","NPNT",NA,NA,NA,NA,NA,NA
"TRAPPC5",NA,"SAP18",NA,"PUS7L","ZNF549",NA,NA,NA,NA,NA,NA
"SHROOM4",NA,"BECN1",NA,"HPS6","NUF2",NA,NA,NA,NA,NA,NA
"AL390195.2",NA,"VAPB",NA,"BBS9","PILRB",NA,NA,NA,NA,NA,NA
"NDUFS6",NA,"DLG1-AS1",NA,"GOLM1","TMCO3",NA,NA,NA,NA,NA,NA
"LINC01579",NA,"COX11",NA,"NR2F1-AS1","AC068385.1",NA,NA,NA,NA,NA,NA
"L1TD1",NA,"KLC4",NA,"CLEC7A","NDUFB5",NA,NA,NA,NA,NA,NA
"AL161630.1",NA,"CCDC152",NA,"FBXL18","SCARB1",NA,NA,NA,NA,NA,NA
"SCAF1",NA,"NRBP2",NA,"TNPO3","PPP2R1A",NA,NA,NA,NA,NA,NA
"GALNT7",NA,"RIF1",NA,"FOXC1","RPL26L1",NA,NA,NA,NA,NA,NA
"HMG20B",NA,"MYH14",NA,"EFCAB7","DCPS",NA,NA,NA,NA,NA,NA
"AC104850.2",NA,"MYZAP",NA,"Z97832.2","PRSS45P",NA,NA,NA,NA,NA,NA
"NAGK",NA,"MTSS2",NA,"CAPN7","IL11RA",NA,NA,NA,NA,NA,NA
"KLRD1",NA,"RNH1",NA,"TFPT","MIOX",NA,NA,NA,NA,NA,NA
"EBAG9",NA,"TMEM44-AS1",NA,"CHST11","SUGP2",NA,NA,NA,NA,NA,NA
"PLRG1",NA,"AC025164.1",NA,"AL135999.1","ATRN",NA,NA,NA,NA,NA,NA
"LINC00996",NA,"TPBGL",NA,"FAM120B","ZFAND5",NA,NA,NA,NA,NA,NA
"SFXN1",NA,"LINC01732",NA,"MASTL","SNX18",NA,NA,NA,NA,NA,NA
"D2HGDH",NA,"AC023813.3",NA,"CUX1","DZIP1",NA,NA,NA,NA,NA,NA
"C1orf220",NA,"SRSF2",NA,"AC020656.1","FSTL3",NA,NA,NA,NA,NA,NA
"ELF1",NA,"SPDYA",NA,"CEP85L","PAICS",NA,NA,NA,NA,NA,NA
"OSTC",NA,"PON3",NA,"MDM2","AC011939.3",NA,NA,NA,NA,NA,NA
"LRP3",NA,"ATIC",NA,"AGFG2","FDPS",NA,NA,NA,NA,NA,NA
"AC107980.1",NA,"PLAC9",NA,"NFE2L2","AC053503.2",NA,NA,NA,NA,NA,NA
"DYNC2LI1",NA,"KMT2A",NA,"RPS9","SCIN",NA,NA,NA,NA,NA,NA
"AC074132.1",NA,"ZNF34",NA,"CALCOCO2","AC008655.1",NA,NA,NA,NA,NA,NA
"LBHD1",NA,"VCL",NA,"ANKRD26","SETDB1",NA,NA,NA,NA,NA,NA
"LSS",NA,"FASTKD2",NA,"APOA4","GNB2",NA,NA,NA,NA,NA,NA
"ZNF417",NA,"P4HA2",NA,"AC087239.1","U62317.1",NA,NA,NA,NA,NA,NA
"LRP5",NA,"SAR1A",NA,"GOPC","ZNF582",NA,NA,NA,NA,NA,NA
"TICAM1",NA,"MAP2K3",NA,"TTC23","MBD5",NA,NA,NA,NA,NA,NA
"KSR2",NA,"CDCA8",NA,"SOX2-OT","HELLS",NA,NA,NA,NA,NA,NA
"AF233439.1",NA,"NR2F6",NA,"POLA1","ARMC10",NA,NA,NA,NA,NA,NA
"ACAD10",NA,"UNC13B",NA,"ITGAE","RNLS",NA,NA,NA,NA,NA,NA
"ICAM4",NA,"RAB5IF",NA,"BMPR1A","NAPRT",NA,NA,NA,NA,NA,NA
"KMT2C",NA,"ZNF385B",NA,"TMEM169","AL162274.2",NA,NA,NA,NA,NA,NA
"AC021097.1",NA,"LIN28B",NA,"RPL21","LMF2",NA,NA,NA,NA,NA,NA
"HYOU1",NA,"GLYCTK",NA,"FSTL1","SS18",NA,NA,NA,NA,NA,NA
"AC018529.2",NA,"PDE12",NA,"TMEM251","WEE1",NA,NA,NA,NA,NA,NA
"FBXL5",NA,"DMAP1",NA,"IQCJ-SCHIP1","PLS3-AS1",NA,NA,NA,NA,NA,NA
"GRAMD1A",NA,"KLF6",NA,"NREP","LINC01132",NA,NA,NA,NA,NA,NA
"F13B",NA,"DANCR",NA,"ATP5F1E","RPL10L",NA,NA,NA,NA,NA,NA
"ALDH1A2",NA,"SRRM1",NA,"PSEN2","RTN3",NA,NA,NA,NA,NA,NA
"LINC00544",NA,"TRIM74",NA,"CAV1","CLEC4E",NA,NA,NA,NA,NA,NA
"CPEB4",NA,"ENOSF1",NA,"AATF","MBIP",NA,NA,NA,NA,NA,NA
"AC114757.1",NA,"ZMYND10",NA,"NR3C1","ZBTB44-DT",NA,NA,NA,NA,NA,NA
"ZFYVE16",NA,"MRPS34",NA,"PWWP2B","OXR1",NA,NA,NA,NA,NA,NA
"AC040934.1",NA,"AC027279.1",NA,"C4orf48","CENPF",NA,NA,NA,NA,NA,NA
"TEX261",NA,"RRM2",NA,"ZNF385B","RAB6A",NA,NA,NA,NA,NA,NA
"AL133153.2",NA,"CLUL1",NA,"CCR7","KPNA4",NA,NA,NA,NA,NA,NA
"ANTKMT",NA,"MTRNR2L10",NA,"TNFRSF1B","SLC39A1",NA,NA,NA,NA,NA,NA
"SLC44A1",NA,"RGL3",NA,"LHX6","NSMCE4A",NA,NA,NA,NA,NA,NA
"NEU1",NA,"EHBP1L1",NA,"SENP1","HUWE1",NA,NA,NA,NA,NA,NA
"PNLDC1",NA,"UBE3B",NA,"HINFP","TBC1D20",NA,NA,NA,NA,NA,NA
"SMIM10",NA,"TUBA4A",NA,"AL160272.1","AC107308.1",NA,NA,NA,NA,NA,NA
"HOXA13",NA,"AC009034.1",NA,"RRP15","KMT5B",NA,NA,NA,NA,NA,NA
"EPB42",NA,"TMEM9",NA,"GAB2","HRG",NA,NA,NA,NA,NA,NA
"ZNF572",NA,"MAN2A2",NA,"FCMR","MGAT1",NA,NA,NA,NA,NA,NA
"C1QL3",NA,"KCTD9",NA,"SORL1","Z98884.1",NA,NA,NA,NA,NA,NA
"AL137002.1",NA,"AGBL3",NA,"ALG5","TP53AIP1",NA,NA,NA,NA,NA,NA
"HES4",NA,"HNRNPDL",NA,"BUD31","AL022329.1",NA,NA,NA,NA,NA,NA
"IGSF8",NA,"EMX2",NA,"DPM2","LAMP1",NA,NA,NA,NA,NA,NA
"IFIT1B",NA,"CSE1L",NA,"SMG8","BCAR1",NA,NA,NA,NA,NA,NA
"AL137847.1",NA,"C14orf119",NA,"LAMA4","UROD",NA,NA,NA,NA,NA,NA
"LINC01578",NA,"NRSN2-AS1",NA,"CDC5L","PBRM1",NA,NA,NA,NA,NA,NA
"LUCAT1",NA,"AC027307.3",NA,"IFIT2","SEC23B",NA,NA,NA,NA,NA,NA
"FHDC1",NA,"MORN5",NA,"CLDN3","LSM4",NA,NA,NA,NA,NA,NA
"AC009090.1",NA,"ATP6V0C",NA,"FARSB","CDK4",NA,NA,NA,NA,NA,NA
"GPN1",NA,"MED24",NA,"ADAM22","CEP78",NA,NA,NA,NA,NA,NA
"KIAA0408",NA,"KHSRP",NA,"PALM2-AKAP2","AC027319.1",NA,NA,NA,NA,NA,NA
"AC097505.1",NA,"AC007861.1",NA,"GCC2","TXNDC11",NA,NA,NA,NA,NA,NA
"ERF",NA,"PRSS35",NA,"ZFP64","SMIM1",NA,NA,NA,NA,NA,NA
"AL008718.2",NA,"PTPA",NA,"PPFIA1","TLK1",NA,NA,NA,NA,NA,NA
"BTF3L4",NA,"ZFP28",NA,"RBP4","KTN1-AS1",NA,NA,NA,NA,NA,NA
"SEC63",NA,"RBPMS2",NA,"LINC02028","YTHDF1",NA,NA,NA,NA,NA,NA
"TMEM41A",NA,"NUDT16",NA,"ZBTB24","MTIF3",NA,NA,NA,NA,NA,NA
"NAGPA",NA,"FAM162A",NA,"SPRED2","ZNF252P-AS1",NA,NA,NA,NA,NA,NA
"AL450384.2",NA,"AL590235.2",NA,"PHF14","ZNF33A",NA,NA,NA,NA,NA,NA
"RABGAP1L-IT1",NA,"CASP3",NA,"SLFN12","TRAP1",NA,NA,NA,NA,NA,NA
"AL137100.3",NA,"GOT1",NA,"PSMC6","ESYT2",NA,NA,NA,NA,NA,NA
"BAALC",NA,"ST3GAL1",NA,"CEP83","TUBB1",NA,NA,NA,NA,NA,NA
"MROH6",NA,"GPR135",NA,"LMF1-AS1","HDGFL2",NA,NA,NA,NA,NA,NA
"REEP6",NA,"TNRC6B",NA,"ZNF200","PINK1",NA,NA,NA,NA,NA,NA
"AKT2",NA,"SOCS5",NA,"STXBP2","EIF2B4",NA,NA,NA,NA,NA,NA
"LBHD2",NA,"CNOT9",NA,"PDZD2","PCGF1",NA,NA,NA,NA,NA,NA
"ZNF674-AS1",NA,"SMARCA4",NA,"EDN2","MDM4",NA,NA,NA,NA,NA,NA
"AC068282.2",NA,"C20orf202",NA,"AC092164.1","ANAPC15",NA,NA,NA,NA,NA,NA
"BTG3-AS1",NA,"ZBTB7A",NA,"ZMYND15","FNDC3B",NA,NA,NA,NA,NA,NA
"C17orf99",NA,"RAPSN",NA,"B3GLCT","AC107214.2",NA,NA,NA,NA,NA,NA
"RSPH4A",NA,"AL035252.3",NA,"ZNF121","CCL16",NA,NA,NA,NA,NA,NA
"ATXN7L3B",NA,"REEP3",NA,"RAD54L2","AC092757.3",NA,NA,NA,NA,NA,NA
"AC007773.1",NA,"PFN1",NA,"MRTFA","CREB3L2",NA,NA,NA,NA,NA,NA
"BUD23",NA,"GRIN2A",NA,"TMTC1","DUSP12",NA,NA,NA,NA,NA,NA
"PLP2",NA,"AC092919.1",NA,"POMGNT1","AC007687.1",NA,NA,NA,NA,NA,NA
"ZNF692",NA,"RYBP",NA,"AC012073.1","C11orf95",NA,NA,NA,NA,NA,NA
"MOB4",NA,"SLC38A1",NA,"TERF2IP","AP002490.1",NA,NA,NA,NA,NA,NA
"AC106028.3",NA,"FAM200B",NA,"EIF1B-AS1","HBS1L",NA,NA,NA,NA,NA,NA
"SMARCA5",NA,"TRAPPC13",NA,"STIM2-AS1","AC022916.1",NA,NA,NA,NA,NA,NA
"CCDC73",NA,"RERE-AS1",NA,"MICU3","PNRC1",NA,NA,NA,NA,NA,NA
"IGFBP3",NA,"AL138828.1",NA,"ADPRH","FAM72B",NA,NA,NA,NA,NA,NA
"AP001432.1",NA,"NDUFB3",NA,"ADM","TP53I3",NA,NA,NA,NA,NA,NA
"SYTL3",NA,"SULT1A4",NA,"SYT15","ANXA3",NA,NA,NA,NA,NA,NA
"MAGEA12",NA,"AC005052.2",NA,"NBPF10","CATIP",NA,NA,NA,NA,NA,NA
"SCRN1",NA,"MTPN",NA,"YAF2","USP39",NA,NA,NA,NA,NA,NA
"STAB2",NA,"C9orf16",NA,"TMEM14B","FUT8",NA,NA,NA,NA,NA,NA
"NABP2",NA,"PMPCA",NA,"AL590133.2","MAP1S",NA,NA,NA,NA,NA,NA
"TMEM106C",NA,"ZNF189",NA,"CATSPERZ","AC104590.1",NA,NA,NA,NA,NA,NA
"ZC3H13",NA,"SLC16A5",NA,"SOAT2","SNHG6",NA,NA,NA,NA,NA,NA
"LINC01736",NA,"PSMD6",NA,"KLF10","WARS2-AS1",NA,NA,NA,NA,NA,NA
"ZFPM1",NA,"TXLNA",NA,"TM7SF3","NOL11",NA,NA,NA,NA,NA,NA
"ARRDC5",NA,"AJ003147.2",NA,"IMPAD1","AC004973.1",NA,NA,NA,NA,NA,NA
"LMF2",NA,"XRCC1",NA,"SLC39A10","ATP6AP2",NA,NA,NA,NA,NA,NA
"AGBL4-IT1",NA,"AC020594.1",NA,"ICAM1","CALCR",NA,NA,NA,NA,NA,NA
"ATP13A1",NA,"ETF1",NA,"POLG2","TMEM86A",NA,NA,NA,NA,NA,NA
"H6PD",NA,"AC022509.3",NA,"VPS53","IER2",NA,NA,NA,NA,NA,NA
"AFTPH",NA,"AC012467.1",NA,"LINC02694","KIF5B",NA,NA,NA,NA,NA,NA
"LRRC37A2",NA,"CHTOP",NA,"NUB1","PIF1",NA,NA,NA,NA,NA,NA
"WBP2",NA,"ERAP1",NA,"TTC7B","NACC2",NA,NA,NA,NA,NA,NA
"HCRT",NA,"TDP2",NA,"RPS2","PSME4",NA,NA,NA,NA,NA,NA
"AIP",NA,"CDK3",NA,"TRA2B","PALLD",NA,NA,NA,NA,NA,NA
"ZNF507",NA,"LAPTM4B",NA,"USHBP1","AC006141.1",NA,NA,NA,NA,NA,NA
"PPM1N",NA,"PTMS",NA,"PLEKHA7","HADH",NA,NA,NA,NA,NA,NA
"HCG27",NA,"ERC2",NA,"BPTF","TCF7L2",NA,NA,NA,NA,NA,NA
"DACT1",NA,"BRWD1-AS2",NA,"MFSD12","FAIM",NA,NA,NA,NA,NA,NA
"MCTS1",NA,"MICOS13",NA,"DST","HOTAIR",NA,NA,NA,NA,NA,NA
"LARP7",NA,"SELENOI",NA,"RBCK1","ASXL2",NA,NA,NA,NA,NA,NA
"MAN2B1",NA,"CLPX",NA,"ARMC8","TRAPPC12",NA,NA,NA,NA,NA,NA
"SFT2D2",NA,"DAZAP2",NA,"NCBP2","WWP2",NA,NA,NA,NA,NA,NA
"ARMC1",NA,"STIP1",NA,"IL1RAPL1","MYLK",NA,NA,NA,NA,NA,NA
"AC087292.1",NA,"EIF3E",NA,"TP53INP1","AC068234.2",NA,NA,NA,NA,NA,NA
"SELENON",NA,"Z99572.1",NA,"EXOSC2","AC027237.3",NA,NA,NA,NA,NA,NA
"SORBS2",NA,"ASGR2",NA,"SRSF3","LINC01358",NA,NA,NA,NA,NA,NA
"AFG3L2",NA,"GPN3",NA,"LTBP3","AC002116.2",NA,NA,NA,NA,NA,NA
"AP005432.1",NA,"SERPINA6",NA,"GRHL1","TBX3",NA,NA,NA,NA,NA,NA
"FKBP9",NA,"TPD52L2",NA,"JUN","AC010542.4",NA,NA,NA,NA,NA,NA
"AL158211.3",NA,"NAA30",NA,"RPS11","LINC01725",NA,NA,NA,NA,NA,NA
"ZNF446",NA,"TTC7A",NA,"SENP7","GOLIM4",NA,NA,NA,NA,NA,NA
"PCDHGA8",NA,"API5",NA,"MCC","CASC3",NA,NA,NA,NA,NA,NA
"FBXW2",NA,"AC092069.1",NA,"KIF5B","EPG5",NA,NA,NA,NA,NA,NA
"AC099791.2",NA,"NDUFS8",NA,"RPS24","AC022784.6",NA,NA,NA,NA,NA,NA
"FREM1",NA,"AL513548.4",NA,"RBM27","IFNAR2",NA,NA,NA,NA,NA,NA
"ITPA",NA,"CAD",NA,"IL2RG","ARHGAP8",NA,NA,NA,NA,NA,NA
"AL135786.2",NA,"RSRP1",NA,"DMTN","CASK",NA,NA,NA,NA,NA,NA
"RNF149",NA,"ANXA13",NA,"C7orf26","EPS8L1",NA,NA,NA,NA,NA,NA
"CCDC14",NA,"NR2F1-AS1",NA,"OGFR-AS1","NIPSNAP1",NA,NA,NA,NA,NA,NA
"KIFC2",NA,"AC087393.2",NA,"FAM3A","AC145285.6",NA,NA,NA,NA,NA,NA
"XRCC1",NA,"MRPL57",NA,"AC009318.1","OGT",NA,NA,NA,NA,NA,NA
"AC010494.1",NA,"DYNC1H1",NA,"DROSHA","ZNHIT3",NA,NA,NA,NA,NA,NA
"APCDD1",NA,"AC011450.1",NA,"AQP9","PACS1",NA,NA,NA,NA,NA,NA
"CROT",NA,"FUBP1",NA,"SSR1","FBXO17",NA,NA,NA,NA,NA,NA
"DMAP1",NA,"TRABD2A",NA,"LCORL","SLC25A25",NA,NA,NA,NA,NA,NA
"AC116563.1",NA,"DNAJC22",NA,"KCNC4","MARK1",NA,NA,NA,NA,NA,NA
"AC145285.2",NA,"CSNK1A1",NA,"RSKR","HAPLN3",NA,NA,NA,NA,NA,NA
"TLL1",NA,"UBE2L3",NA,"CFAP69","SH3GL2",NA,NA,NA,NA,NA,NA
"GABRR2",NA,"GPRC5C",NA,"H19","AC138904.1",NA,NA,NA,NA,NA,NA
"JAZF1",NA,"PTGFR",NA,"CIR1","MPPED1",NA,NA,NA,NA,NA,NA
"EDARADD",NA,"PTAR1",NA,"NF1","AC017074.1",NA,NA,NA,NA,NA,NA
"TMEM258",NA,"SAP30L",NA,"SMARCAL1","SLC38A2",NA,NA,NA,NA,NA,NA
"ACP4",NA,"MRPL33",NA,"WNK1","SREBF2-AS1",NA,NA,NA,NA,NA,NA
"PPIL2",NA,"DPP9",NA,"UBE2D3-AS1","AC005280.2",NA,NA,NA,NA,NA,NA
"AL606500.1",NA,"STRAP",NA,"FAM98A","DRAP1",NA,NA,NA,NA,NA,NA
"AC004846.2",NA,"GLIS2",NA,"TBL2","IRX6",NA,NA,NA,NA,NA,NA
"PSMB10",NA,"LINC02456",NA,"LSP1","LGALS14",NA,NA,NA,NA,NA,NA
"AL121652.1",NA,"VEGFA",NA,"Z93241.1","RNF19A",NA,NA,NA,NA,NA,NA
"AP001830.2",NA,"FAM83H",NA,"SSH1","AC233992.3",NA,NA,NA,NA,NA,NA
