"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
"AC108134.4","APOF","LRRC56","ADGRL1","DCLRE1B","AL132712.2","FAM225B","AC025171.4","U2AF1L5"
"CASZ1","C3","AP006284.1","ZNF493","AC012510.1","ILDR2","AL590226.1","ESM1","CYP3A43"
"PARPBP","HFE","MIR210HG","GABRD","AC156455.1","P2RY10","CCDC183","GAPT","MDM1"
"DHFR2","LPA","AC127526.5","TSTD3","ZNF500","COL9A2","SAPCD2","MAP1B","MIR17HG"
"AC009812.4","SPATA7","USH1C","AL096854.1","LINC01547","AL031666.1","SFTA1P","AC113383.1","MAGI3"
"AC008966.1","AL691432.2","SCGB2A1","ZNF185","LRP2BP","SLC7A11","NEBL","RFESD","ANKRD22"
"AL157871.1","AHI1","LINC02701","IPP","LZTS3","LINC02035","AL365203.2","AC104109.2","PHYHIPL"
"ANKRD26","SLC22A1","AP003498.2","MCMDC2","AGAP9","HELB","ITGB1-DT","SPOCK1","LINC01484"
"AC005538.3","SYT17","MMP10","TNFRSF19","AC008264.2","MND1","ZNF485","PCDHB16","AL117332.1"
"PCDHGA10","NR3C2","TMPRSS4","ZNF546","HJURP","FAM149A","AL139819.1","PCDHGA6","C20orf96"
"KCNF1","ORM2","BARX2","AL121944.1","TTBK2","TMPRSS13","AL138762.1","ARSI","RAB36"
"AC116025.1","SAA4","B4GALNT3","MAD2L1","TMCC3","U2AF1","AL355512.1","SAP30L-AS1","TMEM200A"
"TSPYL4","APOH","AC092111.1","AC015908.2","SHISA8","KLHL3","AL158212.3","ZNF354C","ZKSCAN2-DT"
"LINC00824","RBP4","MYO1A","IRAK2","LRRC73","STPG3-AS1","ATRNL1","FAM50B","FANCM"
"KCNMB2-AS1","ORM1","LINC01619","TYW1B","TENM1","SLC16A1-AS1","AL513190.1","HIST1H4C","AL353622.1"
"AC022966.2","VTN","CCDC38","TFAP2A-AS2","LINC02535","KLHDC7A","AL158835.2","AL513548.1","SPC25"
"SH3BGR","PGBD1","TMEM132C","HIC2","SLC29A2","FBXO48","AC136475.1","LINC00240","AC007405.3"
"ASB4","PCK1","SHISA2","BLM","KIAA1586","YJEFN3","MUC5AC","Z84484.1","BEAN1"
"AC005363.2","FGG","LINC00543","RNF227","DPH1","DCLRE1A","LDHC","MDGA1","FAM151A"
"AC098820.3","TF","OLFM4","PEX7","AURKC","C8orf37","SPTY2D1OS","TREM1","ESPNL"
"AC003965.1","FBF1","KLF5","CDADC1","RNASE2","PIGW","IGSF22","TRERF1","AC010894.2"
"MIR924HG","AZGP1","RBM26-AS1","AC243829.1","LINC02245","PDE6B","AP002358.1","PTCRA","CNKSR2"
"ZSCAN5A","C9orf43","CLDN10","AL021155.5","UBE2D3-AS1","DTNA","DLG2","AL035587.1","HIST1H2BC"
"TEDC2","BRMS1L","RDH12","RPGRIP1L","C9orf40","AL355353.1","TMPRSS5","AL096865.1","SRFBP1"
"ARHGAP8","ARHGEF37","CATSPERB","GINS3","USP2-AS1","COL23A1","SLC6A13","AL445250.1","RSPO3"
"GALNT6","MT2A","GABRA5","NUF2","ZSCAN9","IBA57-DT","CLEC4C","COL12A1","AC106897.1"
"AC068506.1","APOC2","PAK6","AL672310.1","SOX5","ZBP1","PTHLH","AL080250.1","RNF212"
"UGT1A8","FTL","PPP1R14D","CCT6B","ZNF90","C3orf18","AC087588.2","FILIP1","USP3-AS1"
"FAM13C","TTR","CKMT1B","FRMD3","ANGPTL7","CCNB2","TCP11L2","KPNA5","CETN3"
"AC090164.2","CES1","CKMT1A","AC009005.1","STON2","AC027020.2","AC131009.2","PLN","SLURP2"
"MELK","ZNF615","SLC28A2","FOXN3-AS1","AC120053.1","POLR2J3","RASL11A","L3MBTL3","WBP4"
"AC073389.1","SLC25A47","AC090527.3","ZNF174","HECW2","CTRC","LINC00426","MOXD1","TSGA10"
"PDE4C","MARS2","THAP10","ZCCHC12","VPS13B","ZNF599","FARP1-AS1","PDE7B","HDC"
"PIP5KL1","SLC38A4","AC027807.2","GORAB","MACC1","ZNF671","AL160153.1","SHPRH","ZNF138"
"HOXD9","CLRN3","MSLN","ZNF528","TMED2-DT","THRB","LINC00346","AL139393.3","AC004943.2"
"UBXN8","MT-ATP6","NPIPB2","C4orf46","B3GNT8","KIAA0355","AL139353.2","CCR6","CARMIL1"
"PRMT6","PAX5","TMC5","NBPF20","UGT1A6","RALGPS1","AC004816.1","AC092171.3","C14orf132"
"AC008771.1","PRRG4","ERN2","ZNF85","ZNF566","CD300LB","LINC02328","AC007009.1","TRPV6"
"ZBED2","WHRN","AC009133.4","ATP23","LONRF2","ALKBH4","GON7","IL6","PBX4"
"CRMP1","IGHG4","NETO2","WASF1","PCSK4","TUBD1","DIO3","TRGC1","CRNDE"
