"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
NA,"CTNS",NA,NA,NA,NA,NA,"MRGPRF",NA
NA,"AMDHD1",NA,NA,NA,NA,NA,"TNFRSF6B",NA
NA,"NSF",NA,NA,NA,NA,NA,"TFCP2L1",NA
NA,"AL645933.2",NA,NA,NA,NA,NA,"TRAT1",NA
NA,"CELF1",NA,NA,NA,NA,NA,"STAR",NA
NA,"MRPL28",NA,NA,NA,NA,NA,"KDM3A",NA
NA,"SIGMAR1",NA,NA,NA,NA,NA,"EVC2",NA
NA,"CHCHD10",NA,NA,NA,NA,NA,"UCKL1",NA
NA,"ATAD3B",NA,NA,NA,NA,NA,"ADGRL2",NA
NA,"KLHL15",NA,NA,NA,NA,NA,"FKBPL",NA
NA,"CHTF18",NA,NA,NA,NA,NA,"FBXO39",NA
NA,"MYLK",NA,NA,NA,NA,NA,"TSC22D3",NA
NA,"RTL6",NA,NA,NA,NA,NA,"NIPAL3",NA
NA,"CDH1",NA,NA,NA,NA,NA,"CAVIN3",NA
NA,"SOGA1",NA,NA,NA,NA,NA,"AP002852.1",NA
NA,"MAP4K2",NA,NA,NA,NA,NA,"PSMB8-AS1",NA
NA,"EXOSC2",NA,NA,NA,NA,NA,"HCLS1",NA
NA,"PITPNM2",NA,NA,NA,NA,NA,"HLA-DRB1",NA
NA,"TSPYL1",NA,NA,NA,NA,NA,"LINC00702",NA
NA,"CDH2",NA,NA,NA,NA,NA,"PLSCR3",NA
NA,"RBM12B",NA,NA,NA,NA,NA,"FXYD6",NA
NA,"MIA",NA,NA,NA,NA,NA,"ATM",NA
NA,"EPAS1",NA,NA,NA,NA,NA,"VAMP4",NA
NA,"KLHL8",NA,NA,NA,NA,NA,"FPR3",NA
NA,"PTPRF",NA,NA,NA,NA,NA,"TSPAN32",NA
NA,"ARHGAP21",NA,NA,NA,NA,NA,"PLEKHA2",NA
NA,"PACS2",NA,NA,NA,NA,NA,"ITPR1",NA
NA,"DCAF6",NA,NA,NA,NA,NA,"ZNF660",NA
NA,"UQCR10",NA,NA,NA,NA,NA,"PPP1R2",NA
NA,"QRICH2",NA,NA,NA,NA,NA,"ABCC10",NA
NA,"ABHD2",NA,NA,NA,NA,NA,"CIB2",NA
NA,"ZNF776",NA,NA,NA,NA,NA,"GNB2",NA
NA,"SLC39A5",NA,NA,NA,NA,NA,"GBP4",NA
NA,"HADHA",NA,NA,NA,NA,NA,"PRELID3A",NA
NA,"FAM71D",NA,NA,NA,NA,NA,"MIR3142HG",NA
NA,"PRR12",NA,NA,NA,NA,NA,"STRA6",NA
NA,"ABCC3",NA,NA,NA,NA,NA,"TRRAP",NA
NA,"MAD1L1",NA,NA,NA,NA,NA,"AC105446.1",NA
NA,"AC012236.1",NA,NA,NA,NA,NA,"THRA",NA
NA,"SLA2",NA,NA,NA,NA,NA,"TAL1",NA
NA,"INSR",NA,NA,NA,NA,NA,"VSIG1",NA
NA,"GADD45B",NA,NA,NA,NA,NA,"MYO5A",NA
NA,"YPEL3",NA,NA,NA,NA,NA,"SALRNA2",NA
NA,"QDPR",NA,NA,NA,NA,NA,"AC134312.1",NA
NA,"ZNF395",NA,NA,NA,NA,NA,"ACKR3",NA
NA,"CLCN4",NA,NA,NA,NA,NA,"LGI4",NA
NA,"PSMD10",NA,NA,NA,NA,NA,"AL021707.8",NA
NA,"POLD4",NA,NA,NA,NA,NA,"SEPTIN3",NA
NA,"ANKRD53",NA,NA,NA,NA,NA,"GSN",NA
NA,"PIP4K2A",NA,NA,NA,NA,NA,"VAV1",NA
NA,"AC009093.2",NA,NA,NA,NA,NA,"PARP15",NA
NA,"AC009318.4",NA,NA,NA,NA,NA,"COL1A1",NA
NA,"TIA1",NA,NA,NA,NA,NA,"SNAPC2",NA
NA,"ZNF592",NA,NA,NA,NA,NA,"ZNF608",NA
NA,"RHOC",NA,NA,NA,NA,NA,"POC1B-AS1",NA
NA,"TMEM37",NA,NA,NA,NA,NA,"MGP",NA
NA,"ANO7",NA,NA,NA,NA,NA,"ZNF557",NA
NA,"TRAP1",NA,NA,NA,NA,NA,"XAGE5",NA
NA,"ATPSCKMT",NA,NA,NA,NA,NA,"ARL4C",NA
NA,"PTOV1",NA,NA,NA,NA,NA,"PRR16",NA
NA,"BCKDHA",NA,NA,NA,NA,NA,"ZNF800",NA
NA,"KIF4A",NA,NA,NA,NA,NA,"AC090204.1",NA
NA,"MAP3K11",NA,NA,NA,NA,NA,"NCOA5",NA
NA,"IGKV1-5",NA,NA,NA,NA,NA,"TMEM255A",NA
NA,"HMGN5",NA,NA,NA,NA,NA,"AK5",NA
NA,"HHEX",NA,NA,NA,NA,NA,"MORC3",NA
NA,"CBR1",NA,NA,NA,NA,NA,"ST6GALNAC5",NA
NA,"CA12",NA,NA,NA,NA,NA,"SUSD1",NA
NA,"PDIA4",NA,NA,NA,NA,NA,"ADAP2",NA
NA,"ASB9",NA,NA,NA,NA,NA,"BCL2",NA
NA,"IGKV2D-29",NA,NA,NA,NA,NA,"STK38L",NA
NA,"BRD4",NA,NA,NA,NA,NA,"AL080248.1",NA
NA,"RNH1",NA,NA,NA,NA,NA,"DPF2",NA
NA,"CPEB4",NA,NA,NA,NA,NA,"AC012065.4",NA
NA,"DEPDC7",NA,NA,NA,NA,NA,"SLC24A3",NA
NA,"ETS2",NA,NA,NA,NA,NA,"CCN4",NA
NA,"DNAH10",NA,NA,NA,NA,NA,"SUFU",NA
NA,"PACSIN3",NA,NA,NA,NA,NA,"KCTD15",NA
NA,"ACADSB",NA,NA,NA,NA,NA,"SH2B2",NA
NA,"NUDCD3",NA,NA,NA,NA,NA,"AFF1",NA
NA,"ZBTB26",NA,NA,NA,NA,NA,"PDCD4",NA
NA,"RMDN3",NA,NA,NA,NA,NA,"PPP1R15A",NA
NA,"TRIT1",NA,NA,NA,NA,NA,"LINC00545",NA
NA,"BRWD1",NA,NA,NA,NA,NA,"AC139768.1",NA
NA,"UST",NA,NA,NA,NA,NA,"HLA-DMB",NA
NA,"RUSC2",NA,NA,NA,NA,NA,"RPS25",NA
NA,"REST",NA,NA,NA,NA,NA,"CD2",NA
NA,"DTX4",NA,NA,NA,NA,NA,"AC146944.4",NA
NA,"ERRFI1",NA,NA,NA,NA,NA,"HLA-F",NA
NA,"ANXA6",NA,NA,NA,NA,NA,"AC109446.3",NA
NA,"KRR1",NA,NA,NA,NA,NA,"GPRASP2",NA
NA,"SDHAF1",NA,NA,NA,NA,NA,"ZXDA",NA
NA,"LONP2",NA,NA,NA,NA,NA,"SASH1",NA
NA,"SGCD",NA,NA,NA,NA,NA,"AC091182.1",NA
NA,"ZNF783",NA,NA,NA,NA,NA,"CAV1",NA
NA,"BGN",NA,NA,NA,NA,NA,"NDST2",NA
NA,"FSTL3",NA,NA,NA,NA,NA,"SKAP2",NA
NA,"AL592494.1",NA,NA,NA,NA,NA,"AC005884.1",NA
NA,"CALD1",NA,NA,NA,NA,NA,"CTSS",NA
NA,"RILP",NA,NA,NA,NA,NA,"CHML",NA
NA,"IFITM2",NA,NA,NA,NA,NA,"RFX1",NA
NA,"VAV2",NA,NA,NA,NA,NA,"TNF",NA
NA,"MRPL12",NA,NA,NA,NA,NA,"KIF15",NA
NA,"HNF1B",NA,NA,NA,NA,NA,"AC021087.1",NA
NA,"SNPH",NA,NA,NA,NA,NA,"MIR663AHG",NA
NA,"LPP-AS2",NA,NA,NA,NA,NA,"PPP3CC",NA
NA,"GPR182",NA,NA,NA,NA,NA,"DOK3",NA
NA,"IGHA2",NA,NA,NA,NA,NA,"PRDM1",NA
NA,"WDR7",NA,NA,NA,NA,NA,"NFATC1",NA
NA,"ZNF37A",NA,NA,NA,NA,NA,"STAP1",NA
NA,"SF3A3",NA,NA,NA,NA,NA,"HS2ST1",NA
NA,"PPP2R1B",NA,NA,NA,NA,NA,"SKP2",NA
NA,"LINC01215",NA,NA,NA,NA,NA,"RAD17",NA
NA,"HCAR3",NA,NA,NA,NA,NA,"UEVLD",NA
NA,"COL4A2",NA,NA,NA,NA,NA,"C1orf21",NA
NA,"AC147651.4",NA,NA,NA,NA,NA,"CDC40",NA
NA,"AL627171.2",NA,NA,NA,NA,NA,"MSC",NA
NA,"MAST4",NA,NA,NA,NA,NA,"CD52",NA
NA,"USP10",NA,NA,NA,NA,NA,"TCL1A",NA
NA,"WNT4",NA,NA,NA,NA,NA,"MAFB",NA
NA,"LSS",NA,NA,NA,NA,NA,"AC084024.3",NA
NA,"NRG1",NA,NA,NA,NA,NA,"LINC01724",NA
NA,"ARRDC2",NA,NA,NA,NA,NA,"YBX1",NA
NA,"TNPO3",NA,NA,NA,NA,NA,"CEP57L1",NA
NA,"UBE2D3",NA,NA,NA,NA,NA,"SIRPD",NA
NA,"AC008543.1",NA,NA,NA,NA,NA,"IFNGR2",NA
NA,"SLC26A5",NA,NA,NA,NA,NA,"AL034417.4",NA
NA,"GMPPA",NA,NA,NA,NA,NA,"IFNAR2",NA
NA,"MINDY1",NA,NA,NA,NA,NA,"TMEM265",NA
NA,"MICOS13",NA,NA,NA,NA,NA,"ZNF28",NA
NA,"IGHG2",NA,NA,NA,NA,NA,"IFI44L",NA
NA,"RPL15",NA,NA,NA,NA,NA,"CCDC144A",NA
NA,"MOCS1",NA,NA,NA,NA,NA,"SPART",NA
NA,"EIF6",NA,NA,NA,NA,NA,"ACOT4",NA
NA,"GCC1",NA,NA,NA,NA,NA,"FERMT3",NA
NA,"AAMDC",NA,NA,NA,NA,NA,"ZFP36L1",NA
NA,"AL352979.4",NA,NA,NA,NA,NA,"TIE1",NA
NA,"ATP6AP1",NA,NA,NA,NA,NA,"ACAD8",NA
NA,"FMO5",NA,NA,NA,NA,NA,"ITGAD",NA
NA,"HSPB6",NA,NA,NA,NA,NA,"RAPGEF5",NA
NA,"COX7C",NA,NA,NA,NA,NA,"PLCB3",NA
NA,"CCL5",NA,NA,NA,NA,NA,"AC022098.4",NA
NA,"HEATR6",NA,NA,NA,NA,NA,"INAVA",NA
NA,"MCM7",NA,NA,NA,NA,NA,"TBXA2R",NA
NA,"FCMR",NA,NA,NA,NA,NA,"CAPG",NA
NA,"AC068205.2",NA,NA,NA,NA,NA,"MOB3C",NA
NA,"AUP1",NA,NA,NA,NA,NA,"HLA-DRA",NA
NA,"IRF7",NA,NA,NA,NA,NA,"TMCC3",NA
NA,"WARS2",NA,NA,NA,NA,NA,"PTPRO",NA
NA,"NCOA7",NA,NA,NA,NA,NA,"AL080317.1",NA
NA,"PRDM8",NA,NA,NA,NA,NA,"TMPO-AS1",NA
NA,"SFPQ",NA,NA,NA,NA,NA,"ARPC1B",NA
NA,"AC072054.1",NA,NA,NA,NA,NA,"CAB39",NA
NA,"PRKD2",NA,NA,NA,NA,NA,"SHE",NA
NA,"SAR1B",NA,NA,NA,NA,NA,"ABCD2",NA
NA,"GBA2",NA,NA,NA,NA,NA,"NFRKB",NA
NA,"ATP2A2",NA,NA,NA,NA,NA,"CBL",NA
NA,"TMEM161A",NA,NA,NA,NA,NA,"AC127521.1",NA
NA,"PLSCR4",NA,NA,NA,NA,NA,"ECSCR",NA
NA,"STXBP1",NA,NA,NA,NA,NA,"RAB35",NA
NA,"LRRC59",NA,NA,NA,NA,NA,"RGL1",NA
NA,"PHKA2",NA,NA,NA,NA,NA,"NNT-AS1",NA
NA,"TTC21B",NA,NA,NA,NA,NA,"TRIM52",NA
NA,"MMADHC",NA,NA,NA,NA,NA,"AC132872.5",NA
NA,"EFCAB13",NA,NA,NA,NA,NA,"SPARC",NA
NA,"GLRX5",NA,NA,NA,NA,NA,"RPS29",NA
NA,"YIPF3",NA,NA,NA,NA,NA,"LINC00639",NA
NA,"ANKMY1",NA,NA,NA,NA,NA,"SLC7A8",NA
NA,"SERINC1",NA,NA,NA,NA,NA,"ATP10A",NA
NA,"LINC02762",NA,NA,NA,NA,NA,"ZNF177",NA
NA,"PRKY",NA,NA,NA,NA,NA,"MTMR8",NA
NA,"RNASE1",NA,NA,NA,NA,NA,"ARID1B",NA
NA,"SHQ1",NA,NA,NA,NA,NA,"MCRS1",NA
NA,"AUTS2",NA,NA,NA,NA,NA,"N4BP2L2",NA
NA,"CDC34",NA,NA,NA,NA,NA,"GNPDA2",NA
NA,"GON4L",NA,NA,NA,NA,NA,"ZNF331",NA
NA,"MAGEF1",NA,NA,NA,NA,NA,"TMEM129",NA
NA,"MGAT1",NA,NA,NA,NA,NA,"AAK1",NA
NA,"RPAP2",NA,NA,NA,NA,NA,"NSMCE3",NA
NA,"DHRS11",NA,NA,NA,NA,NA,"CD27-AS1",NA
NA,"GUCD1",NA,NA,NA,NA,NA,"CKAP2L",NA
NA,"MAMLD1",NA,NA,NA,NA,NA,"ST8SIA4",NA
NA,"GCHFR",NA,NA,NA,NA,NA,"LRRC49",NA
NA,"COQ8A",NA,NA,NA,NA,NA,"SOCS3",NA
NA,"SMC4",NA,NA,NA,NA,NA,"CXorf21",NA
NA,"DAPK3",NA,NA,NA,NA,NA,"PDE4D",NA
NA,"DHX37",NA,NA,NA,NA,NA,"AC018653.3",NA
NA,"MRPS31",NA,NA,NA,NA,NA,"LYSMD3",NA
NA,"CYBC1",NA,NA,NA,NA,NA,"NRARP",NA
NA,"AHNAK2",NA,NA,NA,NA,NA,"MORC2",NA
NA,"RTF2",NA,NA,NA,NA,NA,"BTN2A2",NA
NA,"ZNF433-AS1",NA,NA,NA,NA,NA,"ID3",NA
NA,"SIPA1",NA,NA,NA,NA,NA,"ZNF124",NA
NA,"TMEM220",NA,NA,NA,NA,NA,"PYHIN1",NA
NA,"OTUB1",NA,NA,NA,NA,NA,"CSF2RA",NA
NA,"SUN2",NA,NA,NA,NA,NA,"LINC02099",NA
NA,"WDR83OS",NA,NA,NA,NA,NA,"PTGIR",NA
NA,"PSMD8",NA,NA,NA,NA,NA,"HLA-DOA",NA
NA,"MBIP",NA,NA,NA,NA,NA,"IQSEC2",NA
NA,"XBP1",NA,NA,NA,NA,NA,"TNFAIP8L3",NA
NA,"RGS18",NA,NA,NA,NA,NA,"AC013553.3",NA
NA,"LIG3",NA,NA,NA,NA,NA,"FRMD5",NA
NA,"KLF7",NA,NA,NA,NA,NA,"SLC4A7",NA
NA,"SRSF8",NA,NA,NA,NA,NA,"FITM1",NA
NA,"PRR22",NA,NA,NA,NA,NA,"NUTM2A",NA
NA,"BOK-AS1",NA,NA,NA,NA,NA,"TGM1",NA
NA,"POLL",NA,NA,NA,NA,NA,"EPHB6",NA
NA,"NOTCH3",NA,NA,NA,NA,NA,"AL118506.1",NA
NA,"MAGED2",NA,NA,NA,NA,NA,"AL160408.2",NA
NA,"GLG1",NA,NA,NA,NA,NA,"ZFYVE26",NA
NA,"FXYD5",NA,NA,NA,NA,NA,"CRIM1",NA
NA,"ZDHHC18",NA,NA,NA,NA,NA,"SCRN3",NA
NA,"PIK3AP1",NA,NA,NA,NA,NA,"KANK2",NA
NA,"MTERF2",NA,NA,NA,NA,NA,"TNFRSF13B",NA
NA,"DST",NA,NA,NA,NA,NA,"RXFP1",NA
NA,"CIAPIN1",NA,NA,NA,NA,NA,"C16orf87",NA
NA,"SHC2",NA,NA,NA,NA,NA,"MS4A6A",NA
NA,"HSPD1",NA,NA,NA,NA,NA,"FARP2",NA
NA,"ZNF765",NA,NA,NA,NA,NA,"MTERF1",NA
NA,"BNIP3",NA,NA,NA,NA,NA,"SEMA5B",NA
NA,"ZBED5",NA,NA,NA,NA,NA,"PPP1R3E",NA
NA,"NDUFA10",NA,NA,NA,NA,NA,"PTPN12",NA
NA,"EIF4B",NA,NA,NA,NA,NA,"CCDC81",NA
NA,"PTK7",NA,NA,NA,NA,NA,"AC015967.1",NA
NA,"C19orf25",NA,NA,NA,NA,NA,"ABITRAM",NA
NA,"GOSR1",NA,NA,NA,NA,NA,"FBLN5",NA
NA,"SCML2",NA,NA,NA,NA,NA,"AREG",NA
NA,"AMIGO1",NA,NA,NA,NA,NA,"FAM102A",NA
NA,"AC026471.1",NA,NA,NA,NA,NA,"NAIP",NA
NA,"PNMA8B",NA,NA,NA,NA,NA,"CHMP7",NA
NA,"TLE5",NA,NA,NA,NA,NA,"S100A13",NA
NA,"FLOT2",NA,NA,NA,NA,NA,"MFGE8",NA
NA,"MARK4",NA,NA,NA,NA,NA,"SPACA6",NA
NA,"TTLL12",NA,NA,NA,NA,NA,"MYL12A",NA
NA,"CALR",NA,NA,NA,NA,NA,"TNRC6C",NA
NA,"HCG11",NA,NA,NA,NA,NA,"DCUN1D2",NA
NA,"CCDC69",NA,NA,NA,NA,NA,"DIP2C",NA
NA,"ULK1",NA,NA,NA,NA,NA,"ZNF574",NA
NA,"AC062029.1",NA,NA,NA,NA,NA,"SLFN11",NA
NA,"SALL4",NA,NA,NA,NA,NA,"KCNA3",NA
NA,"RPL10A",NA,NA,NA,NA,NA,"FATE1",NA
NA,"SLF2",NA,NA,NA,NA,NA,"NKAP",NA
NA,"RPL31",NA,NA,NA,NA,NA,"THBS2",NA
NA,"NAA10",NA,NA,NA,NA,NA,"AC099343.4",NA
NA,"AC004832.6",NA,NA,NA,NA,NA,"TTYH2",NA
NA,"LIG1",NA,NA,NA,NA,NA,"ZNF317",NA
NA,"CWC22",NA,NA,NA,NA,NA,"AL139407.1",NA
NA,"EHD3",NA,NA,NA,NA,NA,"PROSER1",NA
NA,"TMC8",NA,NA,NA,NA,NA,"AC092118.2",NA
NA,"SHC3",NA,NA,NA,NA,NA,"EMB",NA
NA,"CLIP3",NA,NA,NA,NA,NA,"AC073896.2",NA
NA,"LINC01355",NA,NA,NA,NA,NA,"FBXW7",NA
NA,"SH3BGRL3",NA,NA,NA,NA,NA,"CNOT8",NA
NA,"ASB3",NA,NA,NA,NA,NA,"EXOG",NA
NA,"EDEM1",NA,NA,NA,NA,NA,"YTHDF3-AS1",NA
NA,"NR2C1",NA,NA,NA,NA,NA,"HASPIN",NA
NA,"CASP2",NA,NA,NA,NA,NA,"PRPF18",NA
NA,"DDX5",NA,NA,NA,NA,NA,"FBXO16",NA
NA,"LYRM4",NA,NA,NA,NA,NA,"LAT",NA
NA,"GPS1",NA,NA,NA,NA,NA,"GLIS1",NA
NA,"TRIM39",NA,NA,NA,NA,NA,"MGA",NA
NA,"POLRMT",NA,NA,NA,NA,NA,"ALLC",NA
NA,"APBA1",NA,NA,NA,NA,NA,"TESK2",NA
NA,"HSF1",NA,NA,NA,NA,NA,"PIK3R5",NA
NA,"VILL",NA,NA,NA,NA,NA,"NBR2",NA
NA,"IDH1",NA,NA,NA,NA,NA,"CELSR3",NA
NA,"FOXP3",NA,NA,NA,NA,NA,"AC092296.2",NA
NA,"XPNPEP2",NA,NA,NA,NA,NA,"AC245041.2",NA
NA,"AL353796.1",NA,NA,NA,NA,NA,"RAD18",NA
NA,"TCF25",NA,NA,NA,NA,NA,"SIGLEC9",NA
NA,"CYP7B1",NA,NA,NA,NA,NA,"PLAC9",NA
NA,"RAMP1",NA,NA,NA,NA,NA,"WFDC10B",NA
NA,"B4GAT1",NA,NA,NA,NA,NA,"ALDH3B1",NA
NA,"SLC30A1",NA,NA,NA,NA,NA,"DBN1",NA
NA,"NECTIN2",NA,NA,NA,NA,NA,"SYTL3",NA
NA,"CD300A",NA,NA,NA,NA,NA,"SPOCD1",NA
NA,"SLC16A2",NA,NA,NA,NA,NA,"PTPN9",NA
NA,"DGCR6L",NA,NA,NA,NA,NA,"FCRLA",NA
NA,"MSRB1",NA,NA,NA,NA,NA,"AC025171.5",NA
NA,"PHETA2",NA,NA,NA,NA,NA,"AC026471.2",NA
NA,"ZNF219",NA,NA,NA,NA,NA,"ASB6",NA
NA,"AC091563.1",NA,NA,NA,NA,NA,"FGFBP3",NA
NA,"PTGR1",NA,NA,NA,NA,NA,"HEPH",NA
NA,"TM4SF5",NA,NA,NA,NA,NA,"RGL2",NA
NA,"FBXO38",NA,NA,NA,NA,NA,"Z83745.1",NA
NA,"LSR",NA,NA,NA,NA,NA,"CNRIP1",NA
NA,"TBX1",NA,NA,NA,NA,NA,"HAT1",NA
NA,"AC093297.2",NA,NA,NA,NA,NA,"GNA12",NA
NA,"MADCAM1",NA,NA,NA,NA,NA,"PXK",NA
NA,"KIR2DL4",NA,NA,NA,NA,NA,"CRTAP",NA
NA,"PPP5C",NA,NA,NA,NA,NA,"ITGB2",NA
NA,"ASPSCR1",NA,NA,NA,NA,NA,"ANO9",NA
NA,"TRPV1",NA,NA,NA,NA,NA,"MIR99AHG",NA
NA,"MTERF4",NA,NA,NA,NA,NA,"MYL10",NA
NA,"SERTAD1",NA,NA,NA,NA,NA,"RBPMS",NA
NA,"SLC25A16",NA,NA,NA,NA,NA,"RAC2",NA
NA,"NR1H3",NA,NA,NA,NA,NA,"AXL",NA
NA,"AKR1C3",NA,NA,NA,NA,NA,"FGD4",NA
NA,"UNC93B1",NA,NA,NA,NA,NA,"PHLDB1",NA
NA,"KIAA0319L",NA,NA,NA,NA,NA,"FMN1",NA
NA,"AC131902.1",NA,NA,NA,NA,NA,"VPS33B-DT",NA
NA,"ATP5MF",NA,NA,NA,NA,NA,"SHISA6",NA
NA,"RGS3",NA,NA,NA,NA,NA,"TTBK2",NA
NA,"COL6A1",NA,NA,NA,NA,NA,"FANCF",NA
NA,"CD82",NA,NA,NA,NA,NA,"AC025569.1",NA
NA,"TPM1",NA,NA,NA,NA,NA,"LINC01750",NA
NA,"FAM185A",NA,NA,NA,NA,NA,"CBX2",NA
NA,"CCR10",NA,NA,NA,NA,NA,"TNFAIP8",NA
NA,"SLC20A1",NA,NA,NA,NA,NA,"MAX",NA
NA,"FAM43A",NA,NA,NA,NA,NA,"MEIS2",NA
NA,"SCML1",NA,NA,NA,NA,NA,"CREB1",NA
NA,"EI24",NA,NA,NA,NA,NA,"WNT2B",NA
NA,"RPL9",NA,NA,NA,NA,NA,"OXGR1",NA
NA,"PSMB3",NA,NA,NA,NA,NA,"WASF3",NA
NA,"MGP",NA,NA,NA,NA,NA,"LINC02516",NA
NA,"AC096992.2",NA,NA,NA,NA,NA,"PMP2",NA
NA,"IMPAD1",NA,NA,NA,NA,NA,"AL513320.1",NA
NA,"EMILIN1",NA,NA,NA,NA,NA,"EIF1B-AS1",NA
NA,"INAFM1",NA,NA,NA,NA,NA,"ADGRL4",NA
NA,"GLRB",NA,NA,NA,NA,NA,"C16orf89",NA
NA,"ALKAL2",NA,NA,NA,NA,NA,"ZNF226",NA
NA,"IGDCC4",NA,NA,NA,NA,NA,"BAHD1",NA
NA,"CRYZL1",NA,NA,NA,NA,NA,"TMSB10",NA
NA,"TTC31",NA,NA,NA,NA,NA,"CCNG2",NA
NA,"ZNF655",NA,NA,NA,NA,NA,"CYTH2",NA
NA,"CRIM1",NA,NA,NA,NA,NA,"RPS3",NA
NA,"RRAGC",NA,NA,NA,NA,NA,"AL031985.3",NA
NA,"TBC1D8",NA,NA,NA,NA,NA,"INTS9",NA
NA,"KLHL25",NA,NA,NA,NA,NA,"IRF5",NA
NA,"WDR91",NA,NA,NA,NA,NA,"AC107081.2",NA
NA,"MAPK6",NA,NA,NA,NA,NA,"NKG7",NA
NA,"LTBP4",NA,NA,NA,NA,NA,"WASHC2C",NA
NA,"SULF2",NA,NA,NA,NA,NA,"Z98257.1",NA
NA,"RABAC1",NA,NA,NA,NA,NA,"PCDH7",NA
NA,"FCER1G",NA,NA,NA,NA,NA,"B3GALT4",NA
NA,"RPP40",NA,NA,NA,NA,NA,"TRPT1",NA
NA,"ICA1",NA,NA,NA,NA,NA,"HSCB",NA
NA,"ARGLU1",NA,NA,NA,NA,NA,"PNMA8B",NA
NA,"LINC00885",NA,NA,NA,NA,NA,"C16orf72",NA
NA,"MOAP1",NA,NA,NA,NA,NA,"LYPD5",NA
NA,"IRGQ",NA,NA,NA,NA,NA,"FUZ",NA
NA,"ADRM1",NA,NA,NA,NA,NA,"LST1",NA
NA,"FGD2",NA,NA,NA,NA,NA,"AL021368.3",NA
NA,"PPP1R12C",NA,NA,NA,NA,NA,"PCOLCE",NA
NA,"ILRUN",NA,NA,NA,NA,NA,"CENPL",NA
NA,"PRKRA",NA,NA,NA,NA,NA,"NR4A2",NA
NA,"ACOT8",NA,NA,NA,NA,NA,"MYLPF",NA
NA,"SLC25A18",NA,NA,NA,NA,NA,"CLEC4F",NA
NA,"RPS3",NA,NA,NA,NA,NA,"F2R",NA
NA,"RNF152",NA,NA,NA,NA,NA,"RAB34",NA
NA,"SMIM2-AS1",NA,NA,NA,NA,NA,"LINC01357",NA
NA,"MIRLET7BHG",NA,NA,NA,NA,NA,"CUZD1",NA
NA,"FAM234A",NA,NA,NA,NA,NA,"Z97192.3",NA
NA,"EFNB2",NA,NA,NA,NA,NA,"EPHX4",NA
NA,"CLCN6",NA,NA,NA,NA,NA,"VASN",NA
NA,"CPD",NA,NA,NA,NA,NA,"ZNF16",NA
NA,"SBF1",NA,NA,NA,NA,NA,"CLEC11A",NA
NA,"PLPP3",NA,NA,NA,NA,NA,"EFCAB11",NA
NA,"RBM24",NA,NA,NA,NA,NA,"ZNF433-AS1",NA
NA,"ZMIZ2",NA,NA,NA,NA,NA,"ADCY4",NA
NA,"CSK",NA,NA,NA,NA,NA,"CLIP2",NA
NA,"PTEN",NA,NA,NA,NA,NA,"TBX21",NA
NA,"ARL6IP4",NA,NA,NA,NA,NA,"LRP11",NA
NA,"RDH11",NA,NA,NA,NA,NA,"UBE2I",NA
NA,"ATP5MPL",NA,NA,NA,NA,NA,"TMOD2",NA
NA,"ITPR2",NA,NA,NA,NA,NA,"ASH2L",NA
NA,"AC108488.1",NA,NA,NA,NA,NA,"AL162584.1",NA
NA,"PRELP",NA,NA,NA,NA,NA,"UPK3BL1",NA
NA,"BCL3",NA,NA,NA,NA,NA,"IL27",NA
NA,"HSD17B8",NA,NA,NA,NA,NA,"SMNDC1",NA
NA,"C6orf52",NA,NA,NA,NA,NA,"RYBP",NA
NA,"ANTKMT",NA,NA,NA,NA,NA,"FBXL7",NA
NA,"FAM229B",NA,NA,NA,NA,NA,"PRKCE",NA
NA,"PLXNB2",NA,NA,NA,NA,NA,"COG5",NA
NA,"SHFL",NA,NA,NA,NA,NA,"FXYD5",NA
NA,"DACT1",NA,NA,NA,NA,NA,"OXCT1",NA
NA,"PDIA5",NA,NA,NA,NA,NA,"ZEB1-AS1",NA
NA,"TRIM52-AS1",NA,NA,NA,NA,NA,"OBSL1",NA
NA,"CCDC124",NA,NA,NA,NA,NA,"DLST",NA
NA,"TESMIN",NA,NA,NA,NA,NA,"FAM193B",NA
NA,"TCF12",NA,NA,NA,NA,NA,"RBM12",NA
NA,"RAB3GAP2",NA,NA,NA,NA,NA,"MAPRE3",NA
NA,"LAMA2",NA,NA,NA,NA,NA,"TBCB",NA
NA,"GNA12",NA,NA,NA,NA,NA,"AC087203.3",NA
NA,"ERGIC3",NA,NA,NA,NA,NA,"TMEM171",NA
NA,"AURKAIP1",NA,NA,NA,NA,NA,"STARD13",NA
NA,"RDM1",NA,NA,NA,NA,NA,"PLVAP",NA
NA,"AKR1C2",NA,NA,NA,NA,NA,"SULF1",NA
NA,"SRSF2",NA,NA,NA,NA,NA,"LINC01960",NA
NA,"SNTG2-AS1",NA,NA,NA,NA,NA,"C1QC",NA
NA,"VPS26B",NA,NA,NA,NA,NA,"TTC39B",NA
NA,"RPS6",NA,NA,NA,NA,NA,"MPP7",NA
NA,"TNFRSF1B",NA,NA,NA,NA,NA,"TYROBP",NA
NA,"TRMT1",NA,NA,NA,NA,NA,"LAMB1",NA
NA,"SNAI1",NA,NA,NA,NA,NA,"RGMB",NA
NA,"RABL3",NA,NA,NA,NA,NA,"TTLL9",NA
