"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"UTP25","WARS2","VPS72","AC009961.1","SCMH1","SHE","RABGAP1L","CNST","ADAMTSL4-AS1","SLC16A4","SNX27","STON2","HAGHL","ZNF8","TAF1B","FGD6","MORC4","AC006213.1","WBP4","SLC39A13","AC006213.1","CBWD2","KDM5B","DESI2","THBS3"
"PACC1","LINC01780","SNX27","NOSTRIN","ST3GAL3","TRIM46","KIAA0040","EIPR1","THEM4","LRIF1","S100A11","AC068446.2","ASPHD1","AL161645.1","ADAT2","PLA2G1B","COQ3","ENTPD2","LST1","AC009113.1","GLIPR1","AIF1L","DYRK3","COLEC11","IFI16"
"ANGEL2","NOTCH2","RORC","AC013264.1","ZSWIM5","BLZF1","AL136454.1","AC108488.1","S100A13","C1orf162","S100A12","HBM","ADGRG3","TTC32","NR4A1","VASH1-AS1","CYTH3","AL162253.2","AL163051.1","AC104794.3","XXYLT1","AL162253.2","PLXNA2","NBAS","LY9"
"BPNT1","AL592494.1","THEM4","TYW5","TESK2","RC3H1","DDX59","HPCAL1","DENND4B","PPM1J","S100A8","AL022341.1","SLC7A5","CPS1","SGCB","BCL11B","NMNAT1","SPNS3","ZSWIM1","MS4A6A","ZNF697","TTC5","UTP25","VSNL1","CD247"
"FBXO28","LIX1L","SNAPIN","FZD7","MAST2","TSEN15","SOX13","LDAH","RIT1","PHTF1","EFNA4","GINS3","ALOX15B","ICOSLG","GZMH","SCG3","FAM71D","NAA40","AMMECR1","RAB8B","FZD4-DT","GP2","HLX","DTNB","METTL18"
"C1orf35","NOTCH2NLA","AL358472.2","ACADL","TSPAN1","KDM5B","PLEKHA6","TP53I3","TOMM40L","TRIM33","SLAMF7","RTN4RL1","PIK3R6","JAK2","AL021026.1","APH1B","CACNA1H","NRXN3","AC138696.2","HIST2H2AC","CDCA8","AXL","AL392172.1","SLC4A1AP","QSOX1"
"RNASEH1-AS1","CIART","CKS1B","MREG","MKNK1","RABIF","MFSD4A","FNDC4","TADA1","VANGL1","FCER1G","AC127024.5","SARM1","GNPTAB","CD27-AS1","GP2","SLC22A5","AC139100.2","ZNF260","PIK3C2B","ATR","SLC39A13","DNAH14","EHD3","TSEN15"
"ASAP2","ADAMTSL4","GON4L","AC098820.1","KTI12","EIF2D","CNIH3","GPN1","TBX19","AC239800.2","POU2F1","C1QL1","AC244100.3","C2orf49","RNF146","SLC5A2","NCAPD2","SUCNR1","ARHGEF6","C10orf88","CASP4","XXYLT1","C1orf35","GEMIN6","C1orf53"
"ITSN2","GABPB2","PAQR6","AGAP1","TTC22","CD55","ACTN2","WDR43","ACBD6","LINC02802","ADCY10","ARID3A","SLC4A1","ATP7B","PGBD2","ADGRG1","LINC01355","C2orf76","ZMYM5","HCST","CXorf40B","ADIRF-AS1","TRIM11","CAMKMT","PTPRC"
"NCOA1","CRTC2","TSACC","PDCD1","DHCR24","GPATCH2","ZNF670","MORN2","TPR","NBPF11","KIFAP3","ATP8B3","AC124283.1","TASOR","MCPH1","CCDC113","USP2","MPPED2","RNF34","FRMD4B","DCK","CIITA","TAF5L","ATP6V1E2","AL513217.1"
