"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"MRPL34","EEF1AKMT3","RGS12",NA,"ZNF74","MBD6","ATOH8","DHRS4L2","RAPGEF2","MOB2","ZFP36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC093382.1","SNW1","COPS9"
"FOXRED2","ZYX","MRPL9",NA,"CDYL","SEL1L","RETREG2","RCE1","GOLGB1","NIFK-AS1","TM2D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RFC1","FBXO16","HELLPAR"
"NECTIN3-AS1","TOMM6","APOF",NA,"SLC15A3","FEZ1","RNF40","HIP1R","TRNP1","STARD5","TMEM192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RING1","AIP","MBP"
"PREPL","DEF8","ATF5",NA,"TOP3B","FKBP4","PCTP","SNHG7","GFRA1","RFXAP","AP2B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCGRT","SLC30A1","CIC"
"RADX","AMT","TMED6",NA,"PLEKHN1","CHMP1B","SCML4","DAO","TANGO6","UBE2Q1","MARS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIPK3","LPGAT1","FH"
"FAM210B","UBE2L3","MAP1S",NA,"SLC19A1","ZNF358","DINOL","MTRNR2L12","SEC31A","ZMYND19","LRRC41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF525","MGAT4B","GADD45A"
"AC009974.1","ERG28","SENP6",NA,"FAM118A","CTTN","PEX6","CMTM6","C2orf72","ZNF146","GMCL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FBXL19","LINC00167","LTBP3"
"IL1RAP","ANP32A","NMRK1",NA,"AC007686.3","PA2G4","LEPROTL1","SLCO1B3","SH3GLB2","NFIB","TCAF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FZD4","GNB2","SLC38A4"
"MED14OS","ETF1","MED28",NA,"GEMIN5","ATP5MC3","STYXL1","FAM104A","FAM120A","RASGEF1B","TOM1L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HNRNPA3","CEP83","FOXL2"
"SAFB","HAGH","METAP2",NA,"AC099343.2","EDC4","CERS4","MRPL4","CES3","DNAJC9","VPS35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COMMD1","AP2S1","BCR"
"PADI2","PSG9","JAGN1",NA,"CD8B","TNS3","ESYT2","ACTN4","IVNS1ABP","OCLN","AP3B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDX6","CHPT1","HLA-DRA"
"AKAP10","FILIP1L","GID8",NA,"AL031123.5","RABL6","NUP50","POLR1D","AIDA","CLIC4","FGF21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD3G","SULT1A1","NT5C3B"
"ZNF490","DNAJB12","GADD45A",NA,"ZNRD1","AC099066.2","ZBTB18","NID1","ASMTL-AS1","MLX","PRMT7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C3orf62","SMIM29","COBLL1"
"PLBD1","CRKL","LDLR",NA,"SAA4","CS","MPV17L","HSPB6","ZNF836","GMFB","ANKFY1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHRSX","MET","ATF2"
"PMPCA","SRSF5","TYMS",NA,"AC093249.6","PLXNB2","PDZK1","CMC1","TSR3","AC008738.2","TEX264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEX3A","CALR3","TSG101"
"AC110792.3","GMPR2","MYLK",NA,"CLDN14","SLC2A2","HDHD2","GLRX5","IGF2BP2","RRP1","ATP5F1D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RABAC1","TMX4","ENPP1"
"WDR13","IMPAD1","MED15",NA,"RTKN","BRD7","ECM2","SSB","ANKRD36C","MAGI1","RCC1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNHG11","UROD","SMAD4"
"TLCD2","NDFIP1","AK1",NA,"SPRED1","SERP1","CTNNB1","KCNK1","AL033527.4","MTMR4","OTUB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSMD12","TEN1","CHPF"
"TPT1-AS1","RAB18","BCL7C",NA,"OTUB2","OTUD5","SLC25A25","NCOA2","RAB24","TYSND1","MOSPD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STX16","UHMK1","BET1L"
"GHITM","SPATS2L","DYNC1LI1",NA,"ZRANB3","UTP11","ABCB8","FKBP3","CTLA4","FAHD2A","DMD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHCTF1","AL139384.1","C11orf86"
"MRTO4","ELOVL5","FAM83G",NA,"C12orf43","NIPSNAP3B","RAP2C","RAD23A","RMND5A","MYH9","GEMIN7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHLDA3","SLC6A12","DBT"
"COL9A2","PTRH2","CSDE1",NA,"GJC3","SLC25A42","KIAA1191","UBE2H","MAST4","PAXX","CRIPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDC26","RRAGC","OLA1"
"PTK6","SLC26A11","C18orf32",NA,"MAP4K3","HYAL1","PPP4R3A","HBA1","CCDC152","SDHAF1","AC009812.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLHDC3","ELOVL6","MPHOSPH9"
"ABCC3","TMTC1","MOSPD3",NA,"SDAD1","KLLN","INTS3","DDX23","GTF2B","ESF1","PSENEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIAA0232","PROS1","STYX"
"SRP9","MVP","PEX11B",NA,"SLC26A3","AL080317.2","CTBP1","P4HA1","SLC26A11","TOMM5","FLNB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCG2","THBS3","CUEDC2"
"LEAP2","EIF4EBP3","ASCC1",NA,"Z95115.1","SLC3A1","EIF3L","PPA1","SCRN2","DCXR-DT","FAHD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA6","ANAPC16","TOP1MT"
"ZCCHC10","SLC25A5","ATF7IP2",NA,"PRXL2B","ACO2","RSL24D1","AL645939.4","EIF3D","PDCD5","C16orf58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRIPT","RGS18","CHST13"
"NSUN6","CORO1B","AL008582.1",NA,"METTL6","G3BP1","KLHDC3","ZNF462","MSRB1","SEC63","SRPRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHKB","AC023024.1","NDUFC2"
"PPP2CB","AIMP1","LMF1",NA,"STOML1","IBTK","RNF130","ATL3","LINC00671","PSMB9","HMGA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLR2L","PLGLB2","LEMD2"
"MRPL44","NR1H4","RABL6",NA,"NUP35","INTS11","EIF3B","AATF","PPM1L","SLC35D1","THUMPD3-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CTNND1","BCL2L1","GRAMD2B"
"DPM2","RNF114","RTCB",NA,"LINC00476","HSD17B11","SEZ6L2","PDIA6","FDX1","GLTPD2","PPP1R37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSIG10","KTN1","WDR5"
"MRFAP1","GBP1","CHCHD1",NA,"PDGFD","BTF3L4","UBE2J2","RRBP1","MIR4458HG","IFNGR2","SPSB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHPS","C3orf18","TSPAN3"
"TAF13","AC016355.1","MMADHC",NA,"LINC01146","MGAT4B","PPP4R2","LYRM1","LSM7","STX17","UFD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTUM","CSAD","DDX18"
"GRID1","RNF4","NDUFB6",NA,"AC022784.1","GNG10","MYBBP1A","HNRNPH3","RIPK2","EXOC3L4","UBD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUCLG1","AC009318.1","ARHGEF12"
"COA4","SCP2","DIAPH2",NA,"ALG5","TIMM9","KCNE4","ZNF217","AL117336.2","DENND10","PWP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CALR","AC079148.1","LRRC28"
"ALDH1L1-AS2","PPP1R16B","YIF1B",NA,"PCSK7","IRF6","SMIM12","AC022784.1","DNAJC11","FCGR3A","HAUS4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIT3","DAD1","SCOC"
"LRRC8C-DT","ILK","BCAT2",NA,"BCDIN3D-AS1","FBRSL1","BBOX1","SOX17","PMM1","VPS41","NR3C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERF","RAB32","COX6A1"
"COLQ","RNPEP","SUPT7L",NA,"POMGNT1","ATP5PO","AL355916.1","AGAP3","GLYATL1","VAMP3","PITPNM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFN1","UBXN1","ZNF761"
"HIPK2","MRPL19","CYB5D2",NA,"HDAC4","C11orf68","POLR2K","COX7A2","PDK1","ARL2BP","HLA-DPB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSD17B2","NGRN","CCL5"
"EIF3L","PSMB1","NIT1",NA,"ALG14","FAM214A","RBM8A","FAM210B","FNDC10","NDUFAF6","RMND5B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP6V1F","HIST1H2BD","NSFL1C"
"BAZ1B","CAMLG","PRKCA",NA,"RPTOR","THUMPD3-AS1","TRIM28","RBKS","PARP12","PSMC2","RNASEH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLDN12","PSMA7","ROM1"
"MRPS35","RHOD","BECN1",NA,"SRGAP2C","IFI6","ABHD16A","HCG11","CCND3","TBC1D20","TTC13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DSTN","ABHD16A","TAF6"
"MCEMP1","MAZ","TSPAN17",NA,"PRKCI","GFRA1","TSN","ADAM15","PLIN2","TDO2","ISCA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFIB","SERPINA9","LAMTOR4"
"FAM117B","YY1","SBDS",NA,"TSPAN31","CUEDC2","HSPA14","MTIF3","CEP192","ORMDL2","SEPTIN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LARP4","RNF19A","EDEM3"
"JAK1","DIAPH1","CANT1",NA,"CLDN23","CPNE8-AS1","HSPA14","CDKN1C","RBM17","SLC16A11","ARL6IP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIAH2","COL6A1","TMEM254"
"ZNF354B","ENY2","ZMAT3",NA,"TTYH2","XRCC5","TIAL1","KDM5C","TBC1D17","TEPSIN","MAT2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNAJC17","CFAP20","TLN1"
"ATP1A1","CPPED1","ABCE1",NA,"SCAMP1","HADHB","RPA1","OAZ2","SFMBT2","CDK4","DEGS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAE1","MTSS1","MAGOH"
"TPRKB","AP3D1","UBAP1",NA,"SLC5A3","DPAGT1","ERGIC1","AC000068.3","FBXO36","RALBP1","TSG101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPEL5","PCBD1","AP004609.3"
"TOMM22","ZFAND3","AC004477.1",NA,"TOM1L1","ELK4","ABI1","FKBP2","BOP1","TRUB2","BPHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENOSF1","UBE2M","TBC1D17"
"DLX2-DT","FOXP3","TADA1",NA,"PREX2","ERF","GNAI3","SLC9A3R1","CCDC88A","TMEM183A","AMT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNP","THNSL2","PTPN11"
"AL031673.1","SDHB","MYC",NA,"FRAT2","MBNL2","RBBP5","KIDINS220","S100A4","SRGN","CYB561A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLR1D","NOL11","TTC37"
"ATAD2","CSF3R","IP6K2",NA,"SORBS2","CD14","UPF1","MRPL48","SHLD2","JPX","ILKAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPRY4","AL121603.2","NR5A2"
"ZNF726","AC009962.1","VSIR",NA,"TNFRSF10B","XRCC6","AL445423.1","LRP10","MAP2","PPIL2","TMEM220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPR68","GSTA4","HGH1"
"ZSCAN29","AC027279.1","GGA1",NA,"NAPA-AS1","PNKP","SRRT","ARPC1A","LGR4","NUMB","LYZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBXN2B","CPQ","HSD17B7"
"MRPL10","SLC16A14","PSMD1",NA,"CTSW","PRKX","CHMP1A","PITPNB","CSNK1E","RGL2","ARPIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EIF2AK1","AC103691.1","AP2B1"
"HNRNPA2B1","MAPK3","LRRC41",NA,"IGFBP2","FAM160A2","TRIP12","PRELID2","CLCN7","PDLIM1","POLD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNX18","OSGIN2","SMS"
"PCDH17","INO80E","ARFIP2",NA,"TBXA2R","CTR9","EHBP1L1","ANGPTL2","AMBRA1","BCAM","CLK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EBP","SERINC3","SNHG16"
"SLC9A3","NAA20","SYMPK",NA,"CYTH2","EDEM1","ROBO1","TMEM236","NORAD","LNPK","EPS8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MSC","AL512506.1","CYP17A1"
"CMC2","MYO1C","TXN2",NA,"TCAF2","MRPL34","NR5A2","CDK20","EDEM1","KMT5A","HSP90AB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HHEX","CYTH1","PSMB9"
"FBRSL1","AC009309.1","GNB5",NA,"ZBTB16","HBB","KIAA0930","RBIS","GYG1","CASK","BABAM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AP006284.1","TRMT112","DHRS1"
"FAM222A","SPARCL1","SLC66A2",NA,"FAM47E","TMEM115","STRN","EEF1AKNMT","RRP8","BID","MAP3K7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM254","ELK4","CPEB4"
"TUBG2","GOT2","FKBP15",NA,"PDCD1","MRTO4","MBNL2","SH3BP5","PDGFC","KLKB1","EDEM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTC3","SFXN2","DNAJB2"
"DHCR7","SEC61B","IPO4",NA,"GTF2F1","CXADR","DYNC1I2","ASGR1","TIMM8A","CSNK1A1","SLC12A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NTPCR","ZNF205","GABARAPL1"
"GPC3","PNLIP","PEX2",NA,"RPUSD2","VKORC1","LPP","STEAP3","PAICS","DHRS4","PDAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC073073.2","TMEM53","PZP"
"MTMR10","MRPL10","ARMC10",NA,"CDC20","ETFDH","FAM99A","PCF11","PSD4","SLC2A10","TP73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAM89B","JPT1","WDR45B"
"SPCS1","ODR4","DOP1A",NA,"HMG20B","ZDHHC9","GHDC","AP003086.1","RHOG","APOOL","UBIAD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGF2R","PILRB","AC024075.2"
"PTGDR","ZNF280D","FKBP3",NA,"C12orf60","ABI1","FANCG","TP53I13","CIRBP","ITIH5","SF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEC24A","HARBI1","PDIA5"
"HLF","TRAPPC12","ENPEP",NA,"TERB2","DHRS7","CLRN3","LAMP2","DAZAP1","ZNF783","ADSL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNF149","PKP2","ZRANB1"
"LINC01624","CYSTM1","MED24",NA,"FAM118B","DDX54","SFXN5","CSKMT","NEK3","CDC42BPA","GAS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERPINB1","FGFR2","WNT3"
"AL162258.2","AC105285.1","PPAN",NA,"AC106820.4","LINC01943","A1CF","POLR2A","BSCL2","DHRSX","TRAPPC12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGBL3","CMAS","HOMER2"
"PPP1R15B","GPR18","UNC93B1",NA,"ACTB","PSMD1","CENPW","NDUFB9","SRP54","NGEF","BCAS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTGES2","TGFA","VPS37A"
"BUB3","RAB17","PKN1",NA,"USP37","CMTM6","AL139383.1","TM2D3","BAG5","ZFP91","GPR137B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5orf15","RAB17","RRAGC"
"FYB2","ENTPD6","TMEM134",NA,"NFAT5","AC010864.1","ADAM10","ZNF253","MTIF2","SNAPC3","POLRMT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOXA2","PPP1R12C","PRRC1"
"GUCY1B1","AC023632.2","TNFAIP1",NA,"UBE2T","LAMTOR4","WDR13","ARL2BP","LOH12CR2","SLAIN2","PITPNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPS15","PRKAG1","CYP4V2"
"PDE6D","TPRG1L","PHC3",NA,"KDM2A","TUBA1C","NSDHL","YARS","SPCS2","RAB6A","MRPL22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMDT1","LRRFIP2","VPS33A"
"HNRNPA0","FZD5","ACAD9",NA,"SAP130","NCAPH","SYTL4","ICAM1","RAB11B","AFMID","TCIRG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CMAS","NAT2","TPP1"
"LGALS1","ATRX","DOLK",NA,"BDNF-AS","TSPAN9","LAMC1","PDE4DIP","KCTD1","RAB32","MICAL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TNIP1","CGGBP1","SLC16A12"
"CYP2C19","TMEM192","MALAT1",NA,"DIRAS2","CBX3","SLC25A18","NSUN6","PTK2","MFAP3L","ERVK3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEC31A","SEC23A","CD276"
"SS18","ITPRID2","FOXN3",NA,"CD180","SLC38A4","RPL34","CSNK1E","COMMD6","ATG3","ZMPSTE24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC124016.1","C8orf82","SMOC1"
"DND1","HNRNPM","FBXL15",NA,"MTMR14","TBC1D17","RBM39","SYCE1L","WASHC4","ZNF451","ALPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFA4","AL159169.2","RBCK1"
"DKKL1","AL117336.2","SRD5A3",NA,"PAQR3","SEPTIN7","TMEM50A","SLC7A9","ZNF398","CABIN1","WDR74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL22L1","NUBP1","MKNK2"
"AP001107.2","MBNL1","FAM214A",NA,"INPP5B","SRD5A1","FAU","SOD2","WDR83OS","TNFRSF12A","PPP1CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL355303.2","USP10","LINC00467"
"LAPTM4A","KLHDC7B","JOSD1",NA,"PPP1R3B","MCCC2","CNNM3","SYPL1","ASXL1","SAR1A","PDE4DIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULK1","DYNLL2","TNFSF10"
"AK2","JUP","CCDC92",NA,"GPN2","SCPEP1","NCKAP1","GRN","UGGT2","RCAN1","NUTF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC40A1","IL7","TSFM"
"TRAF3IP2-AS1","CTDSP2","PCNP",NA,"BOD1L1","AKT3","ABHD10","LIF","CENPX","ZNF398","IMP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAF6L","CAPN2","NDEL1"
"DACT3","OPN3","DDX42",NA,"DBNDD2","NID1","ITGB1-DT","ITPR3","SLC25A22","BTF3L4","SEC24B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EIF2B5","AC141273.1","CNNM3"
"POLR2C","CCN3","MPI",NA,"CFHR1","EPB41L1","CREBBP","SLC2A4RG","ZNF281","ELOF1","RPL26L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATF5","WAPL","MICAL2"
"TRIP11","SLC25A4","KLHDC10",NA,"RPL13","PROX1","PPIA","SLC17A2","AC137056.1","LETM1","TP53INP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EXOC3","SLC11A1","SF3A3"
"MNDA","DNPEP","LETMD1",NA,"RAB11FIP4","PPA2","NAMPT","TSEN54","NHP2","PITPNM2","SLC25A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSMB6","PPA1","HM13"
"AC022364.1","WDR55","PPP2R2A",NA,"DHRS13","SYTL4","RAB18","FAM8A1","ANXA10","MRPS18A","CNOT7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARK3","SORCS2","AC004593.3"
"ERP29","PIF1","AC018521.5",NA,"ZMYND8","TTC38","ZC3H12D","C6orf89","IFRD2","RALB","THRSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REPIN1","METTL9","ZFAND6"
"H1F0","C2CD4A","FDFT1",NA,"CCAR1","TIMM10","WDFY4","IGFBP1","HYAL2","ACVR1B","SCARB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALG2","ASB4","BABAM2"
"AC007773.1","SLC35C1","PDE8A",NA,"UBB","CUX1","RRP15","SUN2","WDR60","HLA-F","FGD5-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCF11","GTF3C2","CYTH1"
"ARSK","YTHDF2","CSTB",NA,"GLOD4","NME4","HIBCH","HAUS7","FAM32A","GIPC1","APLP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC104971.1","C11orf1","HNF1A"
"VPS29","ARSD","NIFK-AS1",NA,"RNF152","NUBP1","OPLAH","TXNRD2","BAMBI","HTT","RALBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EIF3K","SLF2","PARP9"
"ZNF792","DPY19L4","LIN7A",NA,"HDAC2","SLC35A3","PMPCB","AP005136.4","MTHFS","SAP30BP","STMN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAIAP2L1","AC116913.1","HIP1"
"CTDSP2","AIFM1","RUSC1",NA,"CYP2E1","GLB1","UBAP2L","MYADM","PLEKHG2","RPS7","MAN2B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRADC1","TAF7","ARL5B"
"TMEM135","SAR1B","ZFP36L1",NA,"FNBP1","BLVRB","LNP1","MIIP","NGRN","BCAP29","TCP11L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBM10","TMEM159","PDLIM7"
"RNF130","KIAA0232","RNF121",NA,"AL157373.2","TMEM106C","PARP9","C16orf58","C3orf35","AC026462.3","TMEM138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUP50","RRP1B","PINK1-AS"
"SMIM26","PON3","R3HDM2",NA,"AC007364.1","DYNLRB1","PSMC3","UNC50","TM9SF3","LMNA","SHMT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EIF4EBP3","TRPC4AP","MPLKIP"
"AC009318.2","MED19","THEM6",NA,"PRDM10","ZNF649","STT3A","LSS","SPNS1","PTCD1","SPTAN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHCYL1","MYH9","LCN12"
"FAM162A","AC005329.1","CHST15",NA,"SERPIND1","DHX9","TERF2IP","CPEB4","CNP","TAF8","AC024560.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CSNK1D","ABLIM3","CSRP2"
"FAM174C","FBXW4","RMND5A",NA,"TSEN15","MOB2","RAB14","UTP18","ZC3H15","MRPL32","NR1H4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMO7","NELFB","HNRNPU"
"RNF5","CCZ1B","ATP6V1A",NA,"AP002748.4","ARL5B","TSPO","OTOA","CAB39","CREBZF","ZNF24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HYOU1","VSIR","HORMAD2"
"CPNE8-AS1","EBLN3P","TMEM181",NA,"RPL30","MED23","SIRT7","DAP","AL133367.1","PPP1R1A","NGRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNAP47","DPEP2","TAF13"
"EIF2B5","HSPG2","PIP4K2B",NA,"AKR1B10","PPP1R7","CAPRIN1","ARHGEF12","CPD","LMBRD2","DARS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYH9","MAP3K11","PEA15"
"LINC00861","ZFP14","MAP3K13",NA,"LINC01116","TAF15","APBB3","CDV3","ALG2","PLA2G2A","CHMP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAP1LC3B","STEAP1","KISS1"
"ITFG1","CYP27C1","SYNJ2",NA,"ITGA7","NCAM2","AL356218.2","LINC02028","APOL1","SDHD","CYB5B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INSIG2","AC093788.1","CALR"
"MRO","MCM5","AL627171.2",NA,"FAM76B","MSN","DBF4","AC018521.5","FBP1","STAG2","LGALS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STK25","COBLL1","TMEM138"
"SRI","TBL3","RRP15",NA,"CAP1","MAP4K3-DT","DCPS","TMEM17","L2HGDH","CUEDC2","MOCS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TIMM17B","STYXL1","DNAJC30"
"PTEN","SH3BP5","PSMC3",NA,"TMED1","TMEM259","HOXB3","FKBP10","MTMR6","KTN1","PRKAG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COPS9","FOXK1","GALM"
"SERGEF","SLC25A22","VDAC3",NA,"MUSTN1","STOML2","ADAM15","AL353803.5","GNG12","VPS16","DNAJB12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF761","AGAP3","NUP98"
"DLEU2","DMGDH","RAMAC",NA,"AC090517.5","ATG101","NDUFAF1","MROH8","RPP25L","ESRRA","FBXW5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNX33","HULC","MACROD1"
"CAHM","TARDBP","NR2F2",NA,"TFDP1","SDHB","ADCY1","C1orf43","HMGA1","TCAF1","SND1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A18","COX6B1","ERICH2"
"PTMA","ECSIT","PNPLA3",NA,"SERPINA6","IMPAD1","ZNF444","ARL8B","NUDT21","USP6NL","ZGPAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYORG","ALDOC","FZD4"
"TBX3","BICC1","SHROOM1",NA,"SH3D21","CDK18","ENTR1","KCNN1","ZNF20","NR2F2","BAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNM1","TIMP4","NRP1"
