"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25","Pattern_26","Pattern_27","Pattern_28"
NA,"DDX59",NA,"KCTD21-AS1","AL133342.1","URB1","CRLF3",NA,NA,NA,"NANOS1","AL359643.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC105094.2",NA,"MARK2",NA
NA,"ZNF557",NA,"SYNJ2BP","ATP8B1","ABHD13","AP1AR",NA,NA,NA,"GLIS1","C1orf74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDT",NA,"RAB11B-AS1",NA
NA,"SF3B4",NA,"GRB14","STXBP2","CCDC188","AL133467.2",NA,NA,NA,"RANGAP1","ANKRD33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BACE1",NA,"PPP1R35",NA
NA,"CDYL2",NA,"AC239799.2","HGH1","SPRED2","GLT8D1",NA,NA,NA,"NRDE2","AC087289.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC003102.1",NA,"ZCCHC9",NA
NA,"ASCL2",NA,"HYKK","PPM1K","MOCS1","RUNX1",NA,NA,NA,"AC010615.2","FGD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CORO1C",NA,"PRKAR2A",NA
NA,"TACC3",NA,"CBLN1","RSBN1L","POMGNT2","ELMO2",NA,NA,NA,"CETN3","RINT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRDM15",NA,"PDLIM2",NA
NA,"AL450313.1",NA,"MYH10","HLA-DOB","VPS16","PLK3",NA,NA,NA,"NAXD","PREX2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL160237.1",NA,"ZNF214",NA
NA,"HS6ST1",NA,"FILIP1L","ENDOV","DPT","AC027796.4",NA,NA,NA,"TNFRSF11B","AC005682.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUTA",NA,"FXR2",NA
NA,"RPP14",NA,"AFTPH","SOD3","TMEM126B","ZNF235",NA,NA,NA,"KRT75","EIPR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RFX3",NA,"AL139161.1",NA
NA,"SLC25A42",NA,"SLC22A4","OPA3","SLC25A28","AC084036.1",NA,NA,NA,"MYCBPAP","TFB2M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC124798.1",NA,"BLK",NA
NA,"IMMP1L",NA,"DMXL1","LZTS1","SUFU","FBXO22",NA,NA,NA,"TVP23B","ZG16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DCXR",NA,"RAB40C",NA
NA,"TGS1",NA,"CCDC144NL","TRMT13","CLK4","PELI1",NA,NA,NA,"PLOD3","CD99L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFAF6",NA,"LINC02029",NA
NA,"PDLIM5",NA,"NOP14-AS1","ACTR8","ATP2B4","AL021392.1",NA,NA,NA,"TK1","PRPF38A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDO",NA,"THOC7",NA
NA,"FAM184B",NA,"ANXA2R","GPRASP2","HSD3B1","HIF1A",NA,NA,NA,"PDGFC","AC017071.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOSPD1",NA,"AL132712.2",NA
NA,"RBM19",NA,"AC244090.1","PGM2","C6","POLI",NA,NA,NA,"ZNF398","IGLL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC010735.2",NA,"MARK1",NA
NA,"PIM1",NA,"SCML2","NR6A1","SIM1","ZKSCAN5",NA,NA,NA,"AL592402.1","LINC01521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM209",NA,"SAMD3",NA
NA,"AC007535.1",NA,"PTCH2","TEX15","MCEMP1","AC116407.1",NA,NA,NA,"AC244090.1","TRIP13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A15",NA,"GAS2",NA
NA,"ARHGAP33",NA,"CSTB","GAS2L3","COL14A1","AF127577.1",NA,NA,NA,"AC010969.2","LYPLAL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC02037",NA,"ZNF385C",NA
NA,"CHMP4C",NA,"AC020978.7","TTC32","VMAC","ELL",NA,NA,NA,"AC009283.1","VHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC007611.1",NA,"BANF2",NA
NA,"PPP1R3C",NA,"NR1H2","GHR","LRCH1","NFATC2",NA,NA,NA,"MSANTD4","SRP72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICAM1",NA,"ZNF670",NA
NA,"RACGAP1",NA,"AC025034.1","AC012511.1","NUDCD1","ARHGEF40",NA,NA,NA,"OXER1","AC009032.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL135999.1",NA,"LINC02476",NA
NA,"TBC1D24",NA,"AL355096.1","ZNF491","MYO1B","ADSSL1",NA,NA,NA,"RN7SL832P","OTUD7B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RGL1",NA,"RBMXL1",NA
NA,"ANKRD52",NA,"KRT37","RBM47","DNAH11","FAR1",NA,NA,NA,"GPC1","FAM76B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYLK2",NA,"TTLL12",NA
NA,"LINC01692",NA,"PPP1R35","TMEM182","PDIK1L","ACAD9",NA,NA,NA,"FRMD6-AS1","GEN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYRIP",NA,"DROSHA",NA
NA,"ZNF644",NA,"SMIM11B","UPK3BL2","AL136090.2","UBR5-AS1",NA,NA,NA,"MYEF2","SH2B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLLN",NA,"CD3EAP",NA
NA,"UVSSA",NA,"MUS81","SP5","REXO5","MTMR3",NA,NA,NA,"GPN2","IKBIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADH4",NA,"VAMP8",NA
NA,"ZBTB7A",NA,"BORCS6","POLD2","AL080276.2","SMIM2",NA,NA,NA,"RASAL2","C11orf74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USP54",NA,"AC007485.1",NA
NA,"VASH1",NA,"BLOC1S3","NME4","HSPA2","CPTP",NA,NA,NA,"FRS2","OSTM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EEF1AKMT3",NA,"PIK3R2",NA
NA,"PPP1R12B",NA,"CDIPT","LINC02625","PUS10","AC022217.3",NA,NA,NA,"PINCR","DHRS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HINFP",NA,"KDM1B",NA
NA,"AC010894.3",NA,"ADGRF5","CHM","CD4","CLDN3",NA,NA,NA,"LAPTM4A-DT","AC023796.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HLCS",NA,"DOCK9",NA
NA,"POGK",NA,"TFDP3","ASB1","SLC26A9","AKT3",NA,NA,NA,"AC115522.1","GRK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM116",NA,"WDR75",NA
NA,"KIF2C",NA,"TRERF1","SPA17","B9D2","PAPSS2",NA,NA,NA,"LINC01405","EMC8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INHBB",NA,"PRR11",NA
NA,"FPR1",NA,"PLXDC1","COX10","KLHL7","STMN3",NA,NA,NA,"POP1","CCDC125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R3HDM4",NA,"TMEM187",NA
NA,"RXFP1",NA,"ESD","MMACHC","DIO1","LY6G5C",NA,NA,NA,"PHLPP2","MBNL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIM24",NA,"LINC01358",NA
NA,"CAMTA1-IT1",NA,"FLNB","CDCA2","ATP6V1FNB","KPNA6",NA,NA,NA,"DESI2","SYNDIG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THNSL2",NA,"THAP2",NA
NA,"AQR",NA,"HTRA3","FANCL","NRTN","SNRPF",NA,NA,NA,"ELOVL5","C9orf152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLAGL1",NA,"TMEM17",NA
NA,"ZNF205",NA,"CCDC112","EZH1","AC009312.1","TBPL1",NA,NA,NA,"ASB7","PRKACB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SULT4A1",NA,"ADCY1",NA
NA,"CAV2",NA,"PCBD1","CXorf40A","BAIAP2-DT","BPNT1",NA,NA,NA,"RABGEF1","CACNA1D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPLANE1",NA,"ITPA",NA
NA,"AFAP1L1",NA,"ACOT13","ANAPC1","LRP3","TMEM234",NA,NA,NA,"ZNF275","IQCG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DENND4A",NA,"RCOR1",NA
NA,"ASAH2B",NA,"GTPBP10","AC012409.3","CFAP73","USP31",NA,NA,NA,"CEP152","PCDHB8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGPTL2",NA,"ASAP2",NA
NA,"MMP3",NA,"COA8","KBTBD11","SFMBT1","CENPQ",NA,NA,NA,"ZNF700","AC005209.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MFSD5",NA,"IL31RA",NA
NA,"ZSCAN21",NA,"ANO1",NA,"SPIRE1","VPS35L",NA,NA,NA,"INPP1","ZNF518A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL031651.2",NA,"TMEM62",NA
NA,"STRN4",NA,"GCSH",NA,"RALGAPA1","MBLAC1",NA,NA,NA,"MYCN","ATL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC104472.4",NA,"C1orf159",NA
NA,"KLF5",NA,"SERPINB1",NA,"AC084125.1","OGFOD3",NA,NA,NA,"STRC","SPC25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC139099.2",NA,"PRKAG2-AS1",NA
NA,"BRIP1",NA,"MED20",NA,"TICAM2","PKNOX1",NA,NA,NA,"NELL1","BTNL9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GIGYF2",NA,"CDH23",NA
NA,"LIN37",NA,"GLYAT",NA,"HNRNPUL2","MYNN",NA,NA,NA,"TBCCD1","AL162458.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHF1",NA,"POFUT1",NA
NA,"LINC00842",NA,"AC008443.6",NA,"METRNL","LINC00648",NA,NA,NA,"RABL3","TMEM178B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPALPP1",NA,"GNA13",NA
NA,"AMBRA1",NA,"CBX7",NA,"BOD1","SRARP",NA,NA,NA,"CHD1L","AL358472.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD54",NA,"MMP9",NA
NA,"ERF",NA,"PTPN4",NA,"FLG-AS1","AC007749.2",NA,NA,NA,"KCNA4","AC007368.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FBN1",NA,"FAM193B",NA
NA,"SLC2A4",NA,"LINC02846",NA,"ANKS3","USP6NL",NA,NA,NA,"AFMID","AP4B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ETFB",NA,"FRMD3",NA
NA,"MOB3C",NA,"UXT",NA,"HECW2-AS1","TIMM17B",NA,NA,NA,"AC069234.4","PLCB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC087501.4",NA,"FANCA",NA
NA,"ELOA",NA,"ACOX1",NA,"SYT2","RSAD1",NA,NA,NA,"MCU","AL133325.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UAP1L1",NA,"BAMBI",NA
NA,"AC067930.1",NA,"IL6R-AS1",NA,"CAMTA2","TMCO3",NA,NA,NA,"ARL5A","MICU3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LCMT2",NA,"ZNF341",NA
NA,"NCBP2AS2",NA,"HACD3",NA,"FLNC","DCAF4",NA,NA,NA,"ARPP19","RO60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGPP1",NA,"TMEM37",NA
NA,"NUP205",NA,"DTNA",NA,"AGPAT5","TLCD3A",NA,NA,NA,"AL158055.1","METTL25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYP27A1",NA,"DPAGT1",NA
NA,"KIF23",NA,"LAGE3",NA,"KDM5D","XAB2",NA,NA,NA,"ARL14EP","NKAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PMS2",NA,"AC079922.2",NA
NA,"CCDC148-AS1",NA,"SORL1",NA,"SBF1","CASP9",NA,NA,NA,"METTL5","TESC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL354872.2",NA,"RNGTT",NA
NA,"ZNF785",NA,"LRRC17",NA,"FLAD1","MFSD9",NA,NA,NA,"C12orf75","NSUN6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC5A4-AS1",NA,"TMEM132B",NA
NA,"HNRNPA1L2",NA,"GDNF",NA,"USP35","KIAA0825",NA,NA,NA,"HYLS1","PIGBOS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MFSD10",NA,"FBRS",NA
NA,"AC010136.1",NA,"AC007663.2",NA,"RAPGEF2","LONP2",NA,NA,NA,"AC092803.4","LINC00471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P2RY6",NA,"RRM1",NA
NA,"ABL2",NA,"MOB3B",NA,"BSCL2","AL355916.2",NA,NA,NA,"DNAJC12","EPB41L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC007448.5",NA,"MRPL17",NA
NA,"ZNF320",NA,"AC008592.4",NA,"NSUN4","HDDC3",NA,NA,NA,"FYTTD1","RBX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CFAP157",NA,"AC009961.4",NA
NA,"PSD2",NA,"CD3E",NA,"SHB","BCLAF3",NA,NA,NA,"TFEB","TMEM135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERP2",NA,"CALM2",NA
NA,"UBA6",NA,"HMGCR",NA,"CENPC","CTSL",NA,NA,NA,"GSTCD","TGFB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC116651.1",NA,"UTY",NA
NA,"LINC01527",NA,"AVIL",NA,"SARM1","MDM2",NA,NA,NA,"TARSL2","ACTL10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLEKHF1",NA,"PET117",NA
NA,"OTUD6B",NA,"ATXN2",NA,"CHPF2","DRAM1",NA,NA,NA,"LINC02593","RSPO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF426",NA,"UBE2J2",NA
NA,"SLC7A1",NA,"ZNF121",NA,"MAPRE2","BTBD19",NA,NA,NA,"C5orf66","POLR2J2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAM242A",NA,"PARP11",NA
NA,"AC137630.3",NA,"GGTLC2",NA,"LINC01277","AL021368.3",NA,NA,NA,"CFAP44","MAB21L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCHSD1",NA,"TTC7B",NA
NA,"RRN3",NA,"CDC23",NA,"PRPF6","RNF121",NA,NA,NA,"CREB3L4","TBC1D30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRAPPC6B",NA,"RNPS1",NA
NA,"USP37",NA,"SLC7A2",NA,"SENP5","ACVR2B",NA,NA,NA,"OSGEPL1","KLRC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTOV1-AS1",NA,"CMKLR1",NA
NA,"NHLRC2",NA,"CEP72",NA,"TSPAN18","SLC30A1",NA,NA,NA,"ALOX12-AS1","NR1D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOXN2",NA,"NR1H4",NA
NA,"SULT1A2",NA,"DYNLRB1",NA,"ZNF383","AC107071.1",NA,NA,NA,"DOT1L","LAGE3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR1H3",NA,"MT1A",NA
NA,"NOP14-AS1",NA,"ZNF607",NA,"ATXN7L2","POLD2",NA,NA,NA,"NCSTN","AC093330.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCNX3",NA,NA,NA
NA,"CLEC2B",NA,"LIMK2",NA,"PPIC","ADO",NA,NA,NA,"TMLHE","C12orf76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAT6",NA,NA,NA
NA,"HIST1H3I",NA,"DDAH1",NA,"CPOX","SNORC",NA,NA,NA,"RNF183","DNMBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBE2J2",NA,NA,NA
NA,"LINC02208",NA,"AC124016.1",NA,"PATL1","GLRX3",NA,NA,NA,"MICAL1","C1QBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC113361.1",NA,NA,NA
NA,"TRIM66",NA,"RHOU",NA,"OCLN","GSK3A",NA,NA,NA,"AKAP17A","AC131238.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC00479",NA,NA,NA
NA,"YBEY",NA,"RASAL2-AS1",NA,"LINC02428","TFAP2A-AS1",NA,NA,NA,"SMCO4","SLCO1B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CACNA1A",NA,NA,NA
NA,"RNF149",NA,"DENND6B",NA,"STK25","FUOM",NA,NA,NA,"SMYD2","JCAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIM37",NA,NA,NA
NA,"SH3GL3",NA,"GULP1",NA,"AC006511.6","PARP14",NA,NA,NA,"LINC00926","CAMKMT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NKAIN3-IT1",NA,NA,NA
NA,"KAT6A",NA,"PEX1",NA,"JRK","CAPN7",NA,NA,NA,"OXR1","BRF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPP1R36",NA,NA,NA
NA,"AL160408.1",NA,"TP53TG1",NA,"PDX1","PGF",NA,NA,NA,"FOXN2","SMAD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RRS1",NA,NA,NA
NA,"NDUFAB1",NA,"WNT2B",NA,"APPL1","RENBP",NA,NA,NA,"NT5C3A","OVGP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METTL7A",NA,NA,NA
NA,"TMEM86B",NA,"TTC38",NA,"HIST1H3E","PPP1R11",NA,NA,NA,"AP003068.1","AC104129.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH2",NA,NA,NA
NA,"DNASE1L3",NA,"RMI1",NA,"POMGNT1","F3",NA,NA,NA,"XXYLT1","TULP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLP1",NA,NA,NA
NA,"CPPED1",NA,"TAT",NA,"SMPD4","MOGAT1",NA,NA,NA,"AC008875.1","LINC00667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYP2D6",NA,NA,NA
NA,"CACNB1",NA,"CREBZF",NA,"AC087636.1","DNAJC13",NA,NA,NA,"MIS12","FOXK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NSL1",NA,NA,NA
NA,"FER",NA,"C5orf56",NA,"SPRY2","PTCHD4",NA,NA,NA,"CARD6","AC008892.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLLT6",NA,NA,NA
NA,"AC010201.1",NA,"EXOC8",NA,"SERTAD4","BLMH",NA,NA,NA,"AC098679.5","ARGLU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACADVL",NA,NA,NA
NA,"MFSD14A",NA,"GUCD1",NA,"SNHG14","C11orf80",NA,NA,NA,"CWF19L2","PGAP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EHD1",NA,NA,NA
NA,"EXOC1",NA,"LINC01309",NA,"KIFAP3","FAM3B",NA,NA,NA,"HIST1H4E","NOSTRIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CTNNB1",NA,NA,NA
NA,"AC025048.4",NA,"COP1",NA,"RAD18","ARHGEF6",NA,NA,NA,"FAM163B","XPO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP2B2",NA,NA,NA
NA,"SLC9A3-AS1",NA,"PDE6G",NA,"TOR3A","LURAP1L",NA,NA,NA,"MTMR10","AC124045.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LGR4",NA,NA,NA
NA,"MOCS3",NA,"C1QBP",NA,"SPRY1","ZNF616",NA,NA,NA,"PCCB","TMF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM74",NA,NA,NA
NA,"AC024451.4",NA,"RPTOR",NA,"SLC17A1","RAMAC",NA,NA,NA,"AP000254.2","AC016596.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCD",NA,NA,NA
NA,"CCL23",NA,"ZNF639",NA,"MZF1","APOLD1",NA,NA,NA,"YIPF1","SCN9A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P3H1",NA,NA,NA
NA,"PUS7",NA,"ZW10",NA,"C1orf198","UBR4",NA,NA,NA,"TBPL1","CAB39L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNA12",NA,NA,NA
NA,"ITGB1-DT",NA,"SIKE1",NA,"SLC37A3","ANKRD9",NA,NA,NA,"AFM","TVP23B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM273",NA,NA,NA
NA,"PHF13",NA,"HPRT1",NA,"EIF1B-AS1","SLC22A12",NA,NA,NA,"PDCD6IP","EDRF1-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MICALL2",NA,NA,NA
NA,"LINC02657",NA,"QDPR",NA,"AC008686.1","ZFYVE27",NA,NA,NA,"ENTPD2","ATG12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEP83-DT",NA,NA,NA
NA,"PFN2",NA,"ZNF618",NA,"SLFN11","TMEM120B",NA,NA,NA,"AC092802.1","MRPS31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMT",NA,NA,NA
NA,"MARCH7",NA,"POLR1E",NA,"TMEM100","PPP1R27",NA,NA,NA,"IFT122","ELK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPP1R12A-AS1",NA,NA,NA
NA,"TRIM2",NA,"WDTC1",NA,"ZNF791","MSN",NA,NA,NA,"SLC25A10","CCNT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SSR2",NA,NA,NA
NA,"LINC01807",NA,"AC015983.2",NA,"FAM104B","TCEA2",NA,NA,NA,"CST7","TMA16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDIA3",NA,NA,NA
NA,"MAMDC4",NA,"CDK11B",NA,"UCN","PODXL",NA,NA,NA,"MYBL1","ERLIN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AP005233.2",NA,NA,NA
NA,"TCEAL1",NA,"JAM2",NA,"CCDC22","AP4M1",NA,NA,NA,"TANC2","RIOX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOXF1",NA,NA,NA
NA,"TFIP11",NA,"PSMB8",NA,"ARHGEF40","ZNF566",NA,NA,NA,"SEC23IP","MAGEA12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GHRL",NA,NA,NA
NA,"AC090181.2",NA,"PROCA1",NA,"NHLRC1","AHI1",NA,NA,NA,"LRRC14","GNAI3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPEB2",NA,NA,NA
NA,"MPHOSPH6",NA,"VWA8",NA,"PLPPR2","SPDYE1",NA,NA,NA,"MELK","PPIL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH2D1B",NA,NA,NA
NA,"PPP2R1A",NA,"AC023794.1",NA,"ZBTB14","SIKE1",NA,NA,NA,"TAS2R10","HIST1H2BD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARHGAP9",NA,NA,NA
NA,"AC124290.2",NA,"AC011484.1",NA,"AC073878.2","KRAS",NA,NA,NA,"ARFGEF3","AMD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF99",NA,NA,NA
NA,"BOD1L1",NA,"PARM1",NA,"RGS12","CSAG1",NA,NA,NA,"HMGN4","AC135050.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNMT3B",NA,NA,NA
NA,"SIK1B",NA,"NFE2",NA,"MYL5","FAM170A",NA,NA,NA,"RASA1","ANKS1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TDGF1",NA,NA,NA
NA,"GRB14",NA,"IQGAP2",NA,"AC113383.1","TEFM",NA,NA,NA,"HMGCR","FAM83H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH8A1",NA,NA,NA
NA,"TOP2B",NA,"DIAPH2",NA,"ZNF121","UROD",NA,NA,NA,"ATP8B1","HNRNPUL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENPC",NA,NA,NA
NA,"ZNF410",NA,"WBP4",NA,"DIPK2B","TBC1D30",NA,NA,NA,"CCAR2","CCDC126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC01003",NA,NA,NA
NA,"AL590617.2",NA,"AC083843.3",NA,"LIFR","SEC14L5",NA,NA,NA,"VBP1","SRF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEC14L1",NA,NA,NA
NA,"HSPA4",NA,"ACYP2",NA,"CASKIN2","AC026462.3",NA,NA,NA,"GINM1","NSMAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLLP",NA,NA,NA
NA,"SLAIN2",NA,"HSD3B1",NA,"GOLGA8A","MAP7D1",NA,NA,NA,"HILPDA","CCDC40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GGCX",NA,NA,NA
NA,"FAM110C",NA,"GGCX",NA,"TMEM144","HCN3",NA,NA,NA,"ZNF217","NCEH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC02313",NA,NA,NA
