"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25","Pattern_26","Pattern_27","Pattern_28"
"FGA","RAB3B","AL353708.1","AL162258.2","DCST1-AS1","AC245100.6","LINC01693","DCDC2C","FCRL5","AC093635.1","HSD3B2","AL713852.1","AC007391.3","PRUNE2","AC006435.3","AC097634.1","AL365295.1","AC007684.2","GCOM1","TSPY3","ADORA3","LINC00885","CCDC110","CCER2","MARK1","AC138932.5","C1orf61","EFCAB13"
"FGG","AL445183.1","LHX4","AL162591.2","EFNA3","NOTCH2NLC","TGFB2-AS1","ADGRF3","FCRL3","LINC01122","LIX1L-AS1","AL096803.2","SLC3A1","AL122020.2","AC008676.1","RFPL3S","AC021504.1","AC010680.1","LINC02253","AC159540.2","LINC01357","AC092535.5","PDZD2","LINC02804","ACTA1","SLX1B","KIRREL1","SOHLH1"
"AF250324.1","LRP8","RGSL1","AL606500.1","TMEM79","HIST2H2BF","HLX-AS1","OTOF","FCRL2","CLEC4F","AC239799.2","AL390957.1","LINC01121","CLCNKB","FFAR3","AC090517.2","POU3F1","LINC00867","AC099518.6","BX255923.2","NGF","HGFAC","SERF1A","CEP55","FMN2","LINC00920","LY9","AC010618.3"
"RPL37","LDLRAD1","AL445493.2","NOS1AP","CD244","AC243772.2","AC138393.3","CDKL4","FCRL1","ATP6V1B1","HIST2H2AA3","CACNA1S","AC008280.3","LINC02487","LINC02709","PCDHGB6","AL356019.2","AC093677.2","AC109460.1","AC092384.1","CASQ2","ZNF518B","AC008972.2","AC104964.1","AC114810.1","AC087294.1","ZNF648","AC102953.2"
"SELENOP","AC119800.1","MIR29B2CHG","FMO4","AL359541.1","AC239868.1","CNIH3","AC009236.1","CD1C","AC073046.4","HIST2H2AC","AC099066.2","DGUOK-AS1","PHF24","CALML6","AC008467.1","ZFP57","WDR11-AS1","DOC2A","AL021707.5","VTCN1","SHISA3","AC113361.1","DDX59-AS1","MBOAT2","AC005726.1","GPR37L1","DCX"
"RPS23","WDR78","LYPLAL1-DT","Z99127.4","DNM3OS","C1orf189","OBSCN","PROKR1","CD1B","BOLA3-AS1","FALEC","AC064875.1","AC019069.1","AC016405.2","OTOS","LINC01962","AC002059.1","STMN4","AC027682.1","MED12L","FCGR1A","CNGA1","ZNF346-IT1","AP000439.2","LINC00570","AC132938.2","MYBPH","EYA4"
"SLF1","LINC01702","AL359704.3","LINC02803","TNN","LINC02772","HIST3H2BB","LRRTM1","CD1E","REG1B","TRIM46","AC013400.1","AC009237.14","ECRG4","AP000322.1","AC005532.1","PKNOX2","AL354760.1","AC027279.2","CEBPB-AS1","CTSK","JCHAIN","HUS1B","ZBTB12","AC018467.1","AC123912.4","AC096642.1","LDB3"
"PROB1","DEPDC1-AS1","CATSPERE","AL449106.1","CACNA1E","CD1E","CHRM3-AS1","REEP1","PYHIN1","SFTPB","AL365181.2","FAM228A","ADRA2B","S100A12","AC021218.1","DNAH9","LINC02515","SV2B","AC009063.3","KRBA2","S100A8","HSD17B13","AL008729.1","KCNA2","MFSD2B","AC092306.1","CATSPERE","AC109347.1"
"RPS14","AL033530.1","AL356512.1","KIAA1614-AS1","AL355999.1","AL356441.1","AC108488.3","RGPD2","AIM2","ADRA2B","FCRL2","C2orf16","SLC9A2","FFAR3","AC021723.2","LINC01733","AC005037.1","AL022345.4","LINC00304","MYOCD","S100A4","HHIP-AS1","HIST1H2BK","ADGRG7","AL133243.2","ZNF677","AC097724.1","AC008897.3"
"HULC","AL031429.2","LINC01808","AL355482.1","ADORA1","AL021940.1","GRHL1","TRIM43","CADM3","AC112229.2","LINC02819","ALK","TMEM182","C9orf43","AC036214.1","AC026741.1","SRGAP3-AS4","AC034243.1","ST6GALNAC1","SH2D1B","RAB25","TDO2","LINC02569","ESRP1","AC092155.1","AL133520.1","LINC01936","AC116036.2"
"HIST1H4C","AL513166.1","EFR3B","B3GALT2","SLC45A3","ZC3H11A","AC010880.1","AC092667.1","ATP1A4","AC017002.3","AL138930.1","TMEM178A","RGPD4","AC007250.1","CASC16","C3orf67","SYNGR3","TSKS","AC127496.5","MAGI1-IT1","SEMA4A","NPY1R","Z97832.2","AC012636.1","AC008074.2","LINC01666","EPCAM-DT","PROKR1"
"HIST1H1E","AC135803.1","KIF3C","CFHR4","AL591846.2","AL356310.1","AC079148.1","AC073987.1","SLAMF6","AC010976.2","HSPA6","CLHC1","TNFAIP6","AC011370.1","FRRS1","KLHDC7A","AC009318.2","AF064858.1","AP005482.1","AC107081.2","MNDA","HAND2","AL136304.1","LINC01483","AC017083.1","FAM227A","REL","AL583827.1"
"HIST1H1D","SLC44A5","CENPA","LHX9","AC092803.1","PROX1-AS1","AC010883.3","RGPD3","SLAMF1","AC019186.1","AL451050.2","C2orf81","ACVR1C","AC012409.3","OPRPN","LINC02434","CCL25","AL356356.1","AC010326.3","MIR181A2HG","ACKR1","HPGD","ITGB8","AL050343.3","ASPRV1","TRIM29","KIAA1841","AC012640.4"
"HIST1H1B","PTGFR","CCDC121","LGR6","SPATA17","CAPN8","AC007743.1","CD8B2","LY9","KLHL41","LINC01681","LOXL3","AC009299.3","AP005482.1","AL158071.4","AC123768.3","WBP2NL","ERAS","Z69733.1","LINC00867","FCER1A","GPM6A","AC072061.1","AC003992.1","LINC01876","FHOD3","LINC01888","AC018638.6"
"HLA-A","IFI44L","WDPCP","FCAMR","AL356364.1","IBA57-DT","AC016747.3","LINC01191","FCGR2B","DLX2","BX284613.2","SEMA4F","MYO3B","AL731566.3","BVES","AC097382.2","AC090877.2","KRT27","AC007613.1","AL160408.2","LINC01133","LINC01093","FSCN3","LRP4","ZNF804A","SHOX2","AC010913.1","AC022144.1"
"HLA-B","PKN2-AS1","SLC4A5","LINC02767","AL512343.2","LINC02814","AC007389.1","LINC01823","FCRLA","AC079305.3","AL136114.1","CD8B","DLX2-DT","MORN3","AC021148.2","LINC02763","LINC01473","DNAH7","AL596202.1","AC092306.1","CD48","AC114291.1","AC007938.3","AC011447.3","AC009315.1","PCDHGC3","AC062029.1","TM4SF19-AS1"
"CFB","GFI1","DOK1","LINC02608","LINC01703","MAP10","AC007389.5","NCKAP5","XCL2","AC011997.1","AL136454.1","AC009237.15","GULP1","LINC01952","AC090527.3","JPH2","CAMK2B","AC098820.3","BX005266.2","LDLRAD2","FCGR3B","RETREG1","AC073140.2","CCL27","AC108047.1","AC116025.1","AC009237.14","CBS"
"RPS18","F3","AC233263.6","RNU6ATAC35P","C1orf229","SLC35F3","AC092653.1","AC013731.1","FMO1","AC064836.3","LINC00862","STARD7-AS1","OSGEPL1-AS1","STARD4-AS1","LINC02605","AL021978.1","AP001412.1","TRIM72","CST5","SOHLH1","RGS4","UGT3A1","AP006248.6","LINC00845","AC079354.2","AL645728.1","NCAPH","LINC00545"
"RPS10","S1PR1","AC233266.2","CNIH3","AC108488.3","AL355472.3","AC010975.1","AC009299.3","PTPN7","ZDBF2","C1orf116","ITPRIPL1","AC098617.1","PIGY-DT","GAL","AC016723.1","LINC01837","AC018638.6","AC080129.2","AL603839.2","DPT","C9","AC107959.1","SPDYA","TUBA4B","ATP2A1","LINC01191","AC108488.3"
"EEF1A1","VAV3","AC012442.1","AL121990.1","AC012073.1","AL391832.3","DNAH6","AC104823.1","LAX1","MARCH4","SPATA17","TBC1D8","KIAA2012-AS1","AC026150.3","LINC02613","AL360270.2","JAKMIP2","AL358473.1","AC004832.5","AC004801.6","SELP","AC008937.3","AC138356.1","SLC26A10","B3GNT7","LINC00167","C2orf76","TSPAN2"
"ACTB","LINC01750","LYPD6","URB2","DRC1","AL357556.4","LINC01943","AC013264.1","AL512306.2","AC007749.2","AC099066.2","CREG2","ADAM23","AC093752.3","AC104187.1","AL031283.1","AC092839.1","HOMER3-AS1","AC093159.1","PAGE2B","DNM3OS","CRHBP","GINS4","INCA1","NMUR1","AL596442.2","GPR39","AC090617.10"
"SND1-IT1","PHTF1","AC091488.1","LINC01348","AC013403.2","RYR2","ANKRD23","CATIP","TMCC2","FBXO36","AL359704.3","RGPD8","DIRC3","LSMEM2","EVC","AC104162.2","AC026124.2","AC022148.2","AL355297.3","HCAR2","LAMC2","ACOT12","AC009686.2","AC006942.1","AC012063.1","AC079354.2","AC016710.1","AC006504.7"
"RARRES2","DENND2C","SCN7A","AL732292.2","AC104695.3","LINC01139","NPHP1","DNER","RHEX","IQCA1","DISC1-IT1","IL1B","CXCR1","IL23A","PCDHGA10","AL023803.3","CETN1","ANO2","AC079684.1","HIST1H2AM","AL354953.1","CXCL14","AC090579.1","AC108676.1","AC104667.2","MST1R","AC009951.6","HOXB-AS1"
"RPS20","TTF2","HAGLROS","GREM2","AL121652.1","AL390728.5","AC017002.3","PRSS56","FCMR","ACKR3","PCNX2","TFCP2L1","AC012510.1","KLRC3","TLR1","AP000880.1","CLEC4E","AC097652.1","AL451007.3","AC009065.8","PHLDA3","SH3TC2","AC016405.3","LINC01370","AC018809.2","AC027117.1","DHRS9","LINC02848"
"RPL7","REG4","AC017048.3","AL591848.4","AC007390.2","MYCNOS","AC068282.1","AC112715.1","CR2","CNTN4","LYST","AC110620.2","RBM44","INPP5J","DNASE2B","AL356652.1","PRKG2","SPTSSB","RGL4","AC005034.4","FMOD","CDHR2","AC091114.1","XK","CAND2","AC005224.2","AC093388.1","IQCJ-SCHIP1"
"RPL30","NBPF26","AC019080.1","LINC01814","AC009975.2","LAPTM4A-DT","MYO7B","AC112721.2","TRAF3IP3","OXTR","EDARADD","LRP1B","AC131097.2","HLX-AS1","FOXC2","GABRR3","GSTM5","KRT14","AC005911.1","MFSD4A","PRELP","SLC34A1","MSMP","AC009237.15","AC061958.1","AC073641.1","AC067945.3","LINC01793"
"PABPC1","FCGR1B","AC010680.3","RAD51AP2","AC017083.1","SLC30A3","RBM43","LINC02610","HIST3H2A","GHRL","KIF26B","AC012443.2","PDCD1","ZFP2","SNCAIP","AL022322.1","C11orf65","GADL1","SMIM17","FAIM2","LRRN2","IP6K3","AL354861.3","AL355096.1","GASK1A","AC073052.2","IKZF2","AL590483.2"
"RPL8","AL592494.2","AC017071.1","LINC01376","AC007099.1","AL121655.1","AC019197.1","CAND2","RGS7","AC093495.1","AL591848.3","AC019186.1","LMCD1-AS1","AC011816.2","LYZL1","AC006538.1","AC011700.1","HOXD8","LINC01649","MAK","NFASC","TRERF1","ZFP37","AL136295.6","MYL3","LRRC7","UGT1A4","CLEC4C"
"RPS6","FAM72D","ADAM23","POMC","ST3GAL5-AS1","ALMS1-IT1","NOSTRIN","LRRC3B","TRIM58","RBMS3-AS3","ZNF124","AC009506.1","AC112220.2","AC139769.2","HCG9","FCAMR","IL6","RAB33A","AC234582.2","PYCARD-AS1","CHRM3-AS2","PTCRA","MCM10","AC243829.1","ZMYND10","AL355303.2","ANO7","AC023781.1"
"RMRP","AC243772.2","AC007038.1","AL133243.3","CNNM3-DT","REEP1","DLX1","GADL1","AC104699.1","C3orf35","U91324.1","KLHL41","ACVR2B-AS1","LMO7-AS1","GAS6-DT","AC010136.1","PODNL1","PYGM","AC015660.3","AC016575.1","ALLC","SLC22A7","ANK3-DT","AL024507.2","GPR62","TIMM23B-AGAP6","LRRN1","AC021037.1"
"AMBP","HIST2H2AA3","AC012510.1","AC007378.1","ANKRD36B","PROM2","ITGA6-AS1","AC092053.2","AC006369.1","SLC22A14","AC093904.4","GAD1","ZNF852","TSC22D1-AS1","AC007938.3","AC007687.1","HCG9","AC068790.9","AL590714.1","AL023806.2","LINC01871","AL138826.1","AC021037.1","SIGLEC15","AC116036.2","AC105345.1","IL17RE","AC112907.3"
"AKR1C1","AL356356.1","AC104809.2","LINC01119","TBC1D8-AS1","FAHD2B","CHN1","ENTPD3","CCDC85A","CCDC13","KCNF1","CDCA7","ZNF502","AC008676.1","AC093575.1","MTRNR2L4","AP000845.1","AL162385.1","RETNLB","AL590068.4","MBOAT2","LINC02532","AC005383.1","AC004076.2","C3orf67","KLHL4","AC022007.1","AC093458.1"
"ITIH2","ADAMTSL4-AS1","EAF1-AS1","LINC01793","AC093894.2","IL18RAP","HAGLR","CCR3","AC008074.2","UCN2","PFN4","AC010894.4","AC012467.1","AL080313.2","LINC01715","LENG8-AS1","C11orf97","CUZD1","CDH10","CNTN5","CYS1","RSPO3","CALCB","AL031668.2","ADAMTS9-AS1","AC024941.2","HRH1","IGF2BP3"
"ANKRD26","AL590133.2","EFHB","AC092155.1","GCC2-AS1","CKAP2L","AC096667.1","CACNA2D3","CYP26B1","INKA1","AC104695.4","AC019080.1","CADPS","SLC51B","C5orf49","AC073140.1","ENTPD3","ITFG2-AS1","STK32A","LINC02232","KCNS3","KIAA0408","LRP4-AS1","CERS1","LINC00960","HIST1H2AG","EIF1B-AS1","AC092053.2"
"TET1","MLLT11","THRB-AS1","NAT8","SH3RF3-AS1","THORLNC","MSTN","GXYLT2","FBXO41","U73166.1","LINC01936","DUSP19","AC098969.2","AC025887.2","STK4-AS1","ATP1B2","CLEC18A","HIST1H2BL","LINC01933","LINC02128","EMILIN1","ARG1","AP003778.1","AL137798.1","ZBTB11-AS1","AC090578.1","KRBOX1","AC008264.2"
"RPS24","AL391069.3","AC097639.1","SLC4A5","AC012442.1","ZRANB3","AC104823.1","AC108749.1","AC073263.1","LINC02019","MEMO1","AC098617.1","MITF","AC120114.2","AL391001.1","AL021707.1","AC022893.1","A1BG-AS1","FAM83C-AS1","AL590822.1","NLRC4","VNN1","CNTN5","LINC02331","CFAP44","AC008894.2","PRKAR2A-AS1","ENPP3"
"RBP4","TDRKH-AS1","DLEC1","LBX2","PAX8","LINC02631","IHH","HTR1F","HK2","AC006252.1","AL121658.1","AC068544.2","HTR1F","PCDHGA7","AC124067.4","SMIM5","SLC35E4","C8orf49","LINC01315","AC106739.1","LTBP1","VNN3","LINC02732","MIR2052HG","GATA2","SOX2-OT","DOCK3","TMEM232"
"SCD","FLG-AS1","MST1R","AC005034.4","AC073257.2","AC013731.1","AP1S3","GAP43","TRABD2A","ZBED2","AL133243.3","FZD7","LINC00973","AC005476.2","AC012464.2","PRR27","AC024230.1","AC246817.2","AL157395.1","LINC01770","LINC01914","WAKMAR2","ITFG2-AS1","AL161663.2","KIAA1257","QPCTL","LINC00698","ZNF32-AS1"
"PRAP1","AL451085.2","AC115282.2","LRRTM4","NEB","LINC01117","DAW1","AC073352.1","AC133644.2","C3orf52","LINC02613","IDH1-AS1","COL6A6","AC018761.2","PYHIN1","HLA-G","LINC02139","AC005944.1","AL035701.1","AC013275.1","PLEKHH2","SLC22A1","AC005911.1","AC112250.2","ZIC4","AC253536.6","AC098969.2","LINC00870"
"CYP2E1","DCST2","AC025572.1","C2orf92","CACNB4","MPP4","OXTR","TRH","MAL","AC074044.1","SOS1-IT1","AC093382.1","RAB6B","TINAG","AC010336.1","AC023794.3","ANKRD55","AL133467.1","SPRED3","AC012360.2","EPCAM","LINC01558","FAM90A1","DNMT3L","ARHGEF26-AS1","CXCR3","AC114401.1","CDX2"
