"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"FLNB","BACE2",NA,NA,"RPUSD3","H2AFZ","MAD2L2",NA,NA,NA,NA,NA,NA,NA,NA,"MRPS10","TIFA",NA,"GARS",NA,"NR0B1","SLC35B1","PNKD","CNTNAP2"
"BOD1","DIDO1",NA,NA,"CIC","AF131216.4","AGPAT5",NA,NA,NA,NA,NA,NA,NA,NA,"AC062029.1","LINC01003",NA,"TMC8",NA,"GATB","POLR2I","TMED2","C5"
"DKK3","CFAP36",NA,NA,"IFT43","PCBP2","AP1M1",NA,NA,NA,NA,NA,NA,NA,NA,"RANBP3","FBP1",NA,"ANG",NA,"SLFN12L","PSMG4","ARSB","NNT-AS1"
"PRPF4B","KDM5C",NA,NA,"INTS3","TRMT2A","LRRC40",NA,NA,NA,NA,NA,NA,NA,NA,"MRPS23","MRPS11",NA,"GOLGA4",NA,"FNDC10","SUMO1","KIF13A","WDR60"
"SLC2A1","WWTR1",NA,NA,"ATL2","AL589843.1","CREM",NA,NA,NA,NA,NA,NA,NA,NA,"RPUSD3","FAM199X",NA,"VMO1",NA,"POLR2M","PIH1D1","ICE1","ZFYVE28"
"PCIF1","ADAMTS13",NA,NA,"GCKR","MAPKAPK5","ABLIM1",NA,NA,NA,NA,NA,NA,NA,NA,"AP002449.1","PRXL2C",NA,"WDR5",NA,"SEPTIN4","TAF15","WAKMAR2","COX15"
"GFM2","LPGAT1",NA,NA,"LCAT","TMEM183A","EBAG9",NA,NA,NA,NA,NA,NA,NA,NA,"IP6K2","ETFRF1",NA,"GPM6A",NA,"MPHOSPH6","PPP4C","RBPMS","KLHL18"
"STOML2","YTHDF3",NA,NA,"LAMB4","GPR137B","EXOC7",NA,NA,NA,NA,NA,NA,NA,NA,"PIGK","ZMIZ1",NA,"ETS2",NA,"ATXN1L","CREB3L3","EPB41L1","FBXL12"
"EPHX3","MAP3K13",NA,NA,"PPIA","AL138820.1","PREB",NA,NA,NA,NA,NA,NA,NA,NA,"DRAM1","ILF2",NA,"CTTNBP2",NA,"CD248","PPP5C","OSER1","AC244153.1"
"ARID4B","ZFAND6",NA,NA,"MAD2L2","MAT2B","DLGAP4",NA,NA,NA,NA,NA,NA,NA,NA,"GIPC3","MTRNR2L4",NA,"GNPAT",NA,"SNX27","AKT1","UPF3A","ZNF544"
"CD3E","PLXNB2",NA,NA,"SNHG32","U2SURP","CNIH4",NA,NA,NA,NA,NA,NA,NA,NA,"ADGRL2","C1RL",NA,"MPZL2",NA,"TMSB4X","PPP1R35","ZNF148","NOB1"
"DNAJA3","GJA4",NA,NA,"TRAK1","HARS","EP300",NA,NA,NA,NA,NA,NA,NA,NA,"SRPRB","ZNF816",NA,"PGS1",NA,"SPATC1L","ATP5PD","DONSON","NUDT7"
"PSMA1","ATP13A1",NA,NA,"UBE2O","RHPN2","MAP4K3",NA,NA,NA,NA,NA,NA,NA,NA,"COL8A2","GSDMB",NA,"NFATC2",NA,"RRAGC","SIGLEC1","PPP2R1B","PDSS2"
"TIMM44","ABCC6",NA,NA,"LINC00667","RBM22","IQGAP3",NA,NA,NA,NA,NA,NA,NA,NA,"AC092368.3","KLHL6-AS1",NA,"ZNHIT2",NA,"ZFYVE21","NUP42","DMD","SNX20"
"COTL1","TLN2",NA,NA,"PNKD","SAMHD1","CSAD",NA,NA,NA,NA,NA,NA,NA,NA,"RAB21","PDZD8",NA,"UBE3C",NA,"SIX1","OSBPL8","DHX29","C11orf54"
"ZRANB2","DIP2A",NA,NA,"ATIC","RGL2","NUDT4",NA,NA,NA,NA,NA,NA,NA,NA,"COPRS","BRPF3",NA,"STMP1",NA,"BLOC1S6","BRAT1","MED27","ATP2B2"
"AC012055.1","C1orf52",NA,NA,"FAM193B","HDAC2","SEPTIN7",NA,NA,NA,NA,NA,NA,NA,NA,"SMAD5-AS1","LTN1",NA,"TBC1D16",NA,"ARL6IP5","FLAD1","CNOT11","GPN3"
"TGFB1I1","AUTS2",NA,NA,"COLEC11","ACAD9","MIR4453HG",NA,NA,NA,NA,NA,NA,NA,NA,"TRIM55","ABCG2",NA,"LGR4",NA,"RFC4","RETREG2","SPTSSA","ACAA2"
"SMARCD2","RTN3",NA,NA,"ZC3H12D","SSU72","BPTF",NA,NA,NA,NA,NA,NA,NA,NA,"AL359697.1","TNS3",NA,"NWD2",NA,"DTNA","ALG1","GPR37","HSD17B6"
"POLE4","HPR",NA,NA,"ZNF652","PTOV1","ENC1",NA,NA,NA,NA,NA,NA,NA,NA,"PPP3CB","RNF130",NA,"PLEKHA1",NA,"LGALS1","SON","USP24","GNE"
"FBXO31","FOXK2",NA,NA,"CMIP","PSMD3","IQGAP2",NA,NA,NA,NA,NA,NA,NA,NA,"RRP8","LCAT",NA,"MMP15",NA,"AP2M1","LGALS8","PBDC1","AL358472.2"
"G3BP2","C1QTNF1",NA,NA,"RBMXL1","MAP3K12","KMT2B",NA,NA,NA,NA,NA,NA,NA,NA,"RARS2","POM121",NA,"FBXO21",NA,"ZBTB20","ELK1","KIAA0232","SLC9B1"
"EMC1","OPA1",NA,NA,"G3BP1","ZDHHC5","SOX7",NA,NA,NA,NA,NA,NA,NA,NA,"TRIM4","ZNF22",NA,"ETFRF1",NA,"STPG1","SHMT2","C11orf1","P2RY1"
"LINC02506","COBLL1",NA,NA,"VPS39","TRBV6-1","CNIH1",NA,NA,NA,NA,NA,NA,NA,NA,"FYB1","CCDC80",NA,"ARFGAP2",NA,"KLHL30","PSMB10","ATP10D","TMEM67"
"PARD6G-AS1","FBXO21",NA,NA,"NT5C2","SEC23IP","FAT1",NA,NA,NA,NA,NA,NA,NA,NA,"SMCHD1","DEPDC7",NA,"MAMSTR",NA,"ZNF518B","TRA2A","SNX2","ZNF235"
"PRR14","SSNA1",NA,NA,"GGH","RASAL1","PFKM",NA,NA,NA,NA,NA,NA,NA,NA,"C1QB","RAMP1",NA,"IGF1",NA,"TSGA10","YAF2","LSR","HSD17B11"
"UBLCP1","SRP68",NA,NA,"EHD1","ZNF888","C2orf72",NA,NA,NA,NA,NA,NA,NA,NA,"RRN3","SHMT2",NA,"AC090948.1",NA,"NDUFA1","CES2","STAB2","NFS1"
"LRRC41","MTRNR2L8",NA,NA,"NAA38","MVB12A","SNHG29",NA,NA,NA,NA,NA,NA,NA,NA,"GDE1","ATP2A2",NA,"MITD1",NA,"NEPRO","DRAP1","MCC","HFE"
"HNRNPR","ZNF768",NA,NA,"TRAC","CTSS","ELOF1",NA,NA,NA,NA,NA,NA,NA,NA,"GALK2","ELOB",NA,"CEP350",NA,"AFF2","PLXNB2","KIAA1671","VANGL1"
"SSB","GGNBP2",NA,NA,"TJP1","MEA1","ABCB11",NA,NA,NA,NA,NA,NA,NA,NA,"BABAM2","DIP2C",NA,"CTDSP1",NA,"ZBED3-AS1","UGP2","NFASC","AC091043.1"
"GLB1","LINC01016",NA,NA,"C1orf52","PDGFA","GPRC5B",NA,NA,NA,NA,NA,NA,NA,NA,"SPPL2A","VDAC3",NA,"PDE8A",NA,"CDC42EP5","NAT10","TASP1","MAFG"
"AMMECR1L","PPFIA4",NA,NA,"NAXD","MAPK1IP1L","VCL",NA,NA,NA,NA,NA,NA,NA,NA,"SLC27A5","RFTN1",NA,"COPS9",NA,"CLOCK","CDC42BPA","CRADD","CCDC171"
"PACS2","MED16",NA,NA,"GCAT","RPL12","COX7A1",NA,NA,NA,NA,NA,NA,NA,NA,"LRRK2","NPR1",NA,"ETF1",NA,"RNF11","MMP15","SSBP3","LINC02609"
"AKT1","TMEM176A",NA,NA,"TPK1","ZNF827","PPARG",NA,NA,NA,NA,NA,NA,NA,NA,"FAM200B","SRD5A1",NA,"CLCN3",NA,"KCNB1","DPY19L4","SLC38A9","TSHZ3"
"ANGPTL6","RASGEF1B",NA,NA,"MCUR1","MRPS27","LINC01018",NA,NA,NA,NA,NA,NA,NA,NA,"CDA","TNFRSF1A",NA,"ADSSL1",NA,"ARL15","HEXD","DOLPP1","GPN1"
"KLHDC2","MRPL48",NA,NA,"KLF11","CLSTN1","CEP70",NA,NA,NA,NA,NA,NA,NA,NA,"FANCC","LINC02027",NA,"RYBP",NA,"FAM81A","FARSB","PACSIN3","AC020763.1"
"TARDBP","CFHR5",NA,NA,"WHAMM","UXT","WDR18",NA,NA,NA,NA,NA,NA,NA,NA,"RANBP1","IGLC2",NA,"TNC",NA,"MED18","PCYT1A","INTS8","PCDH18"
"CPEB3","SPI1",NA,NA,"PZP","GOLGA6L6","LRRC42",NA,NA,NA,NA,NA,NA,NA,NA,"ERGIC1","ATP13A3",NA,"EMD",NA,"ADAM22","ARPP21","KIF12","SHMT1"
"CLIP1","EIF4EBP2",NA,NA,"GID8","GBF1","MAPKAP1",NA,NA,NA,NA,NA,NA,NA,NA,"GHDC","SH3BGRL",NA,"ARID5B",NA,"CDKN2C","DICER1","PSMB6","RIMS3"
"NOS3","SASH3",NA,NA,"SNORC","RPS19","IYD",NA,NA,NA,NA,NA,NA,NA,NA,"ADCY10","MRPL30",NA,"RDH16",NA,"AL117335.1","CDA","INTS10","ADRB2"
"TTPAL","AC093627.5",NA,NA,"CELF2","LMCD1","KIF13A",NA,NA,NA,NA,NA,NA,NA,NA,"NIPSNAP3A","MEF2C",NA,"IL13RA1",NA,"PLAAT2","SEC31A","ITIH3","PROC"
"NPW","RAB3GAP1",NA,NA,"RCN1","RFK","DENR",NA,NA,NA,NA,NA,NA,NA,NA,"N4BP1","PCYT2",NA,"ABAT",NA,"RPS6KA5","GASK1B","DDX60","AL121603.2"
"ARMH3","RNF111",NA,NA,"ABHD15","AC024361.1","YKT6",NA,NA,NA,NA,NA,NA,NA,NA,"RNF111","UBALD1",NA,"AC099568.1",NA,"GAPDH","CETN2","GOLM1","CFHR2"
"HSP90B1","AKTIP",NA,NA,"SH2D3A","AP2B1","EHBP1L1",NA,NA,NA,NA,NA,NA,NA,NA,"IWS1","ROGDI",NA,"FNIP1",NA,"EYA2","MRPS6","ELMOD2","AC139887.2"
"ZNF706","RBM27",NA,NA,"POLD2","RPL32","SLK",NA,NA,NA,NA,NA,NA,NA,NA,"PLXNA2","AC008549.1",NA,"HSPA4",NA,"DPF3","REV1","PPP2R5D","AC090150.1"
"KRT18","MORC2",NA,NA,"LYSMD2","USP7","SREBF1",NA,NA,NA,NA,NA,NA,NA,NA,"HMGN3","MRPL42",NA,"IGHG2",NA,"ANTXR2","ZCCHC2","ARL5A","CCDC40"
"NIBAN2","SLC33A1",NA,NA,"EIF3E","EVA1A","CNOT7",NA,NA,NA,NA,NA,NA,NA,NA,"HABP2","ODF3B",NA,"SUPT20H",NA,"DMTN","SPESP1","UBXN11","AC022101.1"
"TPRG1L","ESAM",NA,NA,"PMF1","AC005740.4","SEPTIN10",NA,NA,NA,NA,NA,NA,NA,NA,"TM7SF3","TFDP1",NA,"CFAP157",NA,"FAM214A","NUDT16","CCDC28A","LMNTD2"
"LINC00857","UBR4",NA,NA,"NUDCD3","GTPBP6","CALCOCO2",NA,NA,NA,NA,NA,NA,NA,NA,"PHF12","MPHOSPH6",NA,"YTHDF2",NA,"ARG2","LRP2BP","MAGEF1","ZCCHC9"
"AC087482.1","EIF4G1",NA,NA,"SYNPO","GNL1","FYN",NA,NA,NA,NA,NA,NA,NA,NA,"RHAG","CIPC",NA,"PRMT1",NA,"ARL6","TPGS2","WWP2","APH1B"
"ATP10D","ULK4",NA,NA,"PTBP1","IGHG1","MARCKS",NA,NA,NA,NA,NA,NA,NA,NA,"GRAMD1A","ABCB1",NA,"WWC2",NA,"INKA2","STX3","CALM2","S100PBP"
"MRPL24","GAS2L1",NA,NA,"TPM4",NA,"DNAJC10",NA,NA,NA,NA,NA,NA,NA,NA,"MID1IP1","MYO9B",NA,"GMPR2",NA,"LRP12","STYX","ACAP3","ZFP92"
"GALC","MIGA1",NA,NA,"LRRK2",NA,"ZNF268",NA,NA,NA,NA,NA,NA,NA,NA,"OXLD1","KRT7",NA,"CTSS",NA,"CCDC62","RBM5","ETNK1","SHLD3"
"SARDH","AC008703.1",NA,NA,"S100A9",NA,"OTUD5",NA,NA,NA,NA,NA,NA,NA,NA,"FAM83G","CZIB",NA,"NDUFA6-DT",NA,"MAPKAPK3","NIPSNAP3A","NECAB3","IKZF4"
"EIF3J","NOMO1",NA,NA,"PRPSAP2",NA,"IARS2",NA,NA,NA,NA,NA,NA,NA,NA,"LRRTM2","CHST12",NA,"AC010359.3",NA,"MYOF","CEP350","PPP1R1A","GCK"
"RPN1","FBXO7",NA,NA,"SLC44A2",NA,"MYO1E",NA,NA,NA,NA,NA,NA,NA,NA,"PRKAA1","RND1",NA,"CDC42SE1",NA,"DMXL2","RDH10","GNG5","PTER"
"AP2S1","DPM2",NA,NA,"MAP2K4",NA,"FAM162A",NA,NA,NA,NA,NA,NA,NA,NA,"NIBAN1","LINC00865",NA,"SCN8A",NA,"HTRA1","CSTF1","R3HDM4","NDFIP2"
"EZR","DENR",NA,NA,"EID2",NA,"CD164",NA,NA,NA,NA,NA,NA,NA,NA,"AC011840.1","EIF2B4",NA,"CTNND1",NA,"TMCC1","VPS26C","RALGDS","TRPV4"
"PIGS","SART1",NA,NA,"ROGDI",NA,"GNPNAT1",NA,NA,NA,NA,NA,NA,NA,NA,"ATP5PB","ENC1",NA,"TEX264",NA,"PSMD8","NFKBIB","SRSF10","RSF1"
"SNX20","MAOA",NA,NA,"CCL4",NA,"DMGDH",NA,NA,NA,NA,NA,NA,NA,NA,"ACOT4","CNST",NA,"CD3E",NA,"CENPM","HGH1","PLEKHA3","AC090617.10"
"TCERG1","SRP54",NA,NA,"RAD51AP1",NA,"ZDHHC14",NA,NA,NA,NA,NA,NA,NA,NA,"CRTAM","H2AFZ",NA,"LIPC",NA,"ZNF234","CHDH","HTRA1","CCDC66"
"PCDHGA11","AC010226.1",NA,NA,"C1D",NA,"LSM14A",NA,NA,NA,NA,NA,NA,NA,NA,"DNAJC10","MRPL57",NA,"FPGS",NA,"RRAD","DENND6A","MIB2","CYB5RL"
"TRIB3","NPL",NA,NA,"EIF3F",NA,"TUBE1",NA,NA,NA,NA,NA,NA,NA,NA,"GNAQ","PRPSAP2",NA,"IFNAR1",NA,"TMEM126B","STAM","EPB41L2","LIX1L"
"C19orf48","CYP2J2",NA,NA,"ZFR",NA,"SLC35A3",NA,NA,NA,NA,NA,NA,NA,NA,"UBR3","AP3S1",NA,"TTYH3",NA,"AL139022.2","ADGRL4","OAS1","SAA4"
"RAB8A","AL122125.1",NA,NA,"GALP",NA,"YIPF3",NA,NA,NA,NA,NA,NA,NA,NA,"AC020910.5","JTB",NA,"ZMYM4",NA,"GNS","PANK2","NAT2","SNIP1"
"SLC35F6","SH3TC1",NA,NA,"ATP6V1C1",NA,"HLA-F",NA,NA,NA,NA,NA,NA,NA,NA,"SNRPF","CDC42SE1",NA,"TJP1",NA,"CDK5","TIMM17A","ARID5B","LRRTM1"
"NEK3","AC078909.1",NA,NA,"STARD7",NA,"SCD",NA,NA,NA,NA,NA,NA,NA,NA,"GPR85","DHODH",NA,"AL390198.1",NA,"TMEM100","SLC41A2","MRPL33","FBXO22"
"SQLE","ELP6",NA,NA,"TAOK2",NA,"OTC",NA,NA,NA,NA,NA,NA,NA,NA,"ACOT12","GALK1",NA,"SCAMP4",NA,"TPCN1","OPLAH","CUEDC2","GALNT8"
"SYNRG","NT5DC1",NA,NA,"RPL22L1",NA,"SECISBP2L",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF814","WDR18",NA,"COMMD9",NA,"KLHL23","FSTL1","SCAMP4","C3orf62"
"ISLR","ZNF787",NA,NA,"FLT1",NA,"PEX13",NA,NA,NA,NA,NA,NA,NA,NA,"PSMD14","EPS15",NA,"LSM14A",NA,"AP001160.4","NPC1","AC015871.1","FABP1"
"ZNF770","RNMT",NA,NA,"MMADHC",NA,"EHD4",NA,NA,NA,NA,NA,NA,NA,NA,"ESS2","BOD1",NA,"GIT1",NA,"DEF8","CCL3","FAM200B","CFHR3"
"DUS1L","IDH3A",NA,NA,"NSA2",NA,"SEPHS2",NA,NA,NA,NA,NA,NA,NA,NA,"MED24","SSBP1",NA,"ARMC8",NA,"DTX3","LMBRD1","ZNF84","PUS3"
"SIRT6","NARF",NA,NA,"BLCAP",NA,"CCDC144A",NA,NA,NA,NA,NA,NA,NA,NA,"BAAT","MPRIP",NA,"FKBP8",NA,"HLA-DMA","COMMD1","TRPV1","FOLH1"
"NFKBIA","EIF3D",NA,NA,"DNAJB6",NA,"AAAS",NA,NA,NA,NA,NA,NA,NA,NA,"SNF8","CHMP5",NA,"C4BPB",NA,"PDE3B","OSTF1","HLA-DMB","GALNS"
"RASSF1-AS1","OGDH",NA,NA,"KANK2",NA,"TBL2",NA,NA,NA,NA,NA,NA,NA,NA,"WDR81","MFSD2A",NA,"DOCK8",NA,"AC092807.3","EMD","ZNF787","EVA1A"
"DERL1","IGHG2",NA,NA,"NDUFA8",NA,"GFPT1",NA,NA,NA,NA,NA,NA,NA,NA,"AC010618.3","SCAP",NA,"ATP6V1G1",NA,"ATP5F1E","UBE2I","CKAP4","LTB4R2"
"REPS1","LINC02197",NA,NA,"HDAC10",NA,"KIF1C",NA,NA,NA,NA,NA,NA,NA,NA,"CLEC4M","ACBD3",NA,"INTS11",NA,"SEPTIN8","RNF146","EMC6","ADPRM"
"PLK3","PWWP3A",NA,NA,"ETNK1",NA,"AGMAT",NA,NA,NA,NA,NA,NA,NA,NA,"AHSA1","CTBS",NA,"APRT",NA,"JAKMIP3","MTMR12","CNDP1","CYP4F2"
"FAM136A","OTUB1",NA,NA,"DCAF11",NA,"RERGL",NA,NA,NA,NA,NA,NA,NA,NA,"QTRT1","MSN",NA,"STK17B",NA,"CRTAC1","NT5C","IMPAD1","SERPINA11"
"CHI3L2","PHB",NA,NA,"TTC19",NA,"PPP1R3B",NA,NA,NA,NA,NA,NA,NA,NA,"XPNPEP1","GSK3B",NA,"NEU1",NA,NA,"PCGF5","MRPS17","TRIM10"
"AL591845.1","MTHFS",NA,NA,"TCAF1",NA,"TMEM189",NA,NA,NA,NA,NA,NA,NA,NA,"DPP7","CINP",NA,"LDLR",NA,NA,"STK24","CERKL","ARG1"
"LINC00525","FAT4",NA,NA,"PSME1",NA,"MFNG",NA,NA,NA,NA,NA,NA,NA,NA,"CASTOR3","FMO4",NA,"NCAPH2",NA,NA,"FAAP100","TTLL12","ZYG11A"
"WWC2","SLC39A5",NA,NA,"RAP2B",NA,"VDAC2",NA,NA,NA,NA,NA,NA,NA,NA,"HS3ST2","ANKRD40",NA,"SERP1",NA,NA,"HYI","MINDY3","AC007325.2"
"WARS2-AS1","PINK1",NA,NA,"PTAR1",NA,"MRPL37",NA,NA,NA,NA,NA,NA,NA,NA,"AC016044.1","PDCD4",NA,"LACTB",NA,NA,"ABCG8","GADD45A","C2"
"FAM199X","GLB1",NA,NA,"AL157395.1",NA,"SPPL2A",NA,NA,NA,NA,NA,NA,NA,NA,"EEA1","OAZ1",NA,"CLPX",NA,NA,"DHRS4-AS1","MEF2A","SLC26A10"
"SPON2","ZFAND2B",NA,NA,"PIPOX",NA,"C5orf63",NA,NA,NA,NA,NA,NA,NA,NA,"MSR1","ATP5F1D",NA,"ZFP37",NA,NA,"LMOD1","FEM1A","LINC00894"
"ATP6V1F","RNF123",NA,NA,"TP53I13",NA,"S100A4",NA,NA,NA,NA,NA,NA,NA,NA,"MPC2","CAST",NA,"HGSNAT",NA,NA,"TBC1D3L","WWOX","RPS20"
"AL844908.2","PSMC4",NA,NA,"DENND5B",NA,"GNL3",NA,NA,NA,NA,NA,NA,NA,NA,"EMC3","CHST4",NA,"CCDC198",NA,NA,"NCOA1","FADS1","CYP2B6"
"CCNT2","NIT1",NA,NA,"IQSEC1",NA,"CHD9",NA,NA,NA,NA,NA,NA,NA,NA,"TM2D3","PDE4B",NA,"SMARCA5",NA,NA,"SFXN5","SLC22A5","MEX3A"
"GMPR2","SLC25A10",NA,NA,"AP002840.2",NA,"CDC42EP1",NA,NA,NA,NA,NA,NA,NA,NA,"RNF152","GAS6-AS1",NA,"MDM4",NA,NA,"SLC43A1","GOLT1A","ZNF76"
"AP000880.1","PPP2R3C",NA,NA,"FAAH",NA,"MPLKIP",NA,NA,NA,NA,NA,NA,NA,NA,"EPB41L1","AC006115.2",NA,"DGLUCY",NA,NA,"GRINA","FKBP9","GSTO2"
"MIEF1","TRIM47",NA,NA,"EIF2AK1",NA,"CARD19",NA,NA,NA,NA,NA,NA,NA,NA,"AC009560.1","ARPC5",NA,"IRF2BPL",NA,NA,"RRAGD","NCLN","MUC12"
"DUSP5","ERAL1",NA,NA,"SUV39H2",NA,"NBPF1",NA,NA,NA,NA,NA,NA,NA,NA,"HNRNPC","TRAPPC6B",NA,"OSR2",NA,NA,"HSF1","LAMB2","FBP1"
"PURB","NCOA3",NA,NA,"RIOK3",NA,"RECQL",NA,NA,NA,NA,NA,NA,NA,NA,"ATAD3C","ZNF358",NA,"LAS1L",NA,NA,"OXT","TGFB1I1","KYAT3"
"LINC01554","HNRNPA2B1",NA,NA,"DLGAP5",NA,"NOTCH1",NA,NA,NA,NA,NA,NA,NA,NA,"CALM1","HTATIP2",NA,"DGKZ",NA,NA,"NCBP2","COX16","UNC5C"
"SRPRB","RNF11",NA,NA,"MAP11",NA,"GSKIP",NA,NA,NA,NA,NA,NA,NA,NA,"TGFB3","UBIAD1",NA,"VMA21",NA,NA,"COQ9","GNL1","ACSM2B"
"GSR","ACAD10",NA,NA,"MTREX",NA,"CPM",NA,NA,NA,NA,NA,NA,NA,NA,"AC090398.2","DHFR",NA,"PUM2",NA,NA,"PRKAA1","MAP2K4","AL161669.3"
"FOSB","DERA",NA,NA,"ASDURF",NA,"EMP1",NA,NA,NA,NA,NA,NA,NA,NA,"LGALS4","ARSD",NA,"VTCN1",NA,NA,"C1RL","PHKA2","ASIP"
"PAFAH2","SMIM4",NA,NA,"NINJ1",NA,"ZBTB25",NA,NA,NA,NA,NA,NA,NA,NA,"RANGRF","MAGEF1",NA,"NF1",NA,NA,"CYP2A7","HIP1","P3H2"
"PEPD","MTA1",NA,NA,"DNPEP",NA,"TMEM19",NA,NA,NA,NA,NA,NA,NA,NA,"AC008957.1","SMC5",NA,"SMIM7",NA,NA,"NOTCH1","TOMM20","SNX8"
"CDK9","FAM126B",NA,NA,"PCBP1-AS1",NA,"TXNDC17",NA,NA,NA,NA,NA,NA,NA,NA,"SIGLEC1","TGFB1I1",NA,"TRIM5",NA,NA,"SLC35A3","TWF1","KIAA1841"
"SPRED1","TTC31",NA,NA,"WDR18",NA,"ISG15",NA,NA,NA,NA,NA,NA,NA,NA,"DDIT4","ZDHHC9",NA,"DRG1",NA,NA,"ARSJ","CDK3","LIMK1"
"RNF41","ARRDC3",NA,NA,"RRP8",NA,"GCDH",NA,NA,NA,NA,NA,NA,NA,NA,"LINC002481","BMPR2",NA,"THNSL2",NA,NA,"ERAP1","TMED10","MT1M"
"LINC01238","APPL2",NA,NA,"KDM3A",NA,"DDX6",NA,NA,NA,NA,NA,NA,NA,NA,"SRD5A1","AC243964.3",NA,"ZCRB1",NA,NA,"TRAF4","TBXAS1","GLS2"
"LINC01238","HSPB2",NA,NA,"FMO4",NA,"SLC25A38",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC102A","ITGB5",NA,"TRIM41",NA,NA,"FBXW11","GMFB","TRIM52-AS1"
"GBA","PSMA7",NA,NA,"PON2",NA,"ATP6V1G1",NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A30","BRD4",NA,"TAF13",NA,NA,"FBXO28","GPRC5D-AS1","LMBR1"
"BAZ1B","UBAP2L",NA,NA,"PCSK1N",NA,"RAC1",NA,NA,NA,NA,NA,NA,NA,NA,"ELOVL6","CHURC1",NA,"CRYBG1",NA,NA,"NT5M","MTPN","AP002026.1"
"SPPL3","SLC1A1",NA,NA,"ADD1",NA,"P2RX5",NA,NA,NA,NA,NA,NA,NA,NA,"MRPL30","ZBTB11",NA,"ODAM",NA,NA,"RPS6KB1","LINC01474","AC009093.6"
"FAM32A","FILIP1L",NA,NA,"AGFG2",NA,"MFN2",NA,NA,NA,NA,NA,NA,NA,NA,"FAM41C","AFF1",NA,"FRY",NA,NA,"PHF20","PHF20","SNUPN"
"DRG2","ZRANB1",NA,NA,"PLIN5",NA,"OXSR1",NA,NA,NA,NA,NA,NA,NA,NA,"KAZN","PLEKHA5",NA,"EIF2B3",NA,NA,"NDUFS1","RUVBL1","GAS2"
"FAM174C","INPP5K",NA,NA,"DNAJC11",NA,"GGNBP2",NA,NA,NA,NA,NA,NA,NA,NA,"FAM162A","POLE4",NA,"DTX4",NA,NA,"ZFYVE21","POLD2","CCNT1"
"CMTM8","ZDHHC6",NA,NA,"SNAPC5",NA,"ATP9A",NA,NA,NA,NA,NA,NA,NA,NA,"RBBP9","TBC1D16",NA,"RGCC",NA,NA,"SDF2L1","GSDMB","MTMR2"
"AL590096.1","GALK2",NA,NA,"PYM1",NA,"CDK16",NA,NA,NA,NA,NA,NA,NA,NA,"THAP4","TSPAN6",NA,"HAR1B",NA,NA,"CLIC4","HABP4","MT1H"
"VEZT","SEC14L2",NA,NA,"AP1S1",NA,"RPL22L1",NA,NA,NA,NA,NA,NA,NA,NA,"AATF","PCP4L1",NA,"C1orf198",NA,NA,"NCBP1","TEK","SPTBN2"
"AK6","HSP90AB1",NA,NA,"UBAC2",NA,"ACSL5",NA,NA,NA,NA,NA,NA,NA,NA,"PLAC9","IL33",NA,"GLTPD2",NA,NA,"MBD4","CTDSP2","LINC02757"
"IDH1","TFAM",NA,NA,"GTF3A",NA,"PPP1R13B",NA,NA,NA,NA,NA,NA,NA,NA,"PREB","LATS1",NA,"HSPBP1",NA,NA,"BABAM2","NFIB","LINC00839"
"NECTIN2","MLXIPL",NA,NA,"POLR2I",NA,"NEU4",NA,NA,NA,NA,NA,NA,NA,NA,"FAM160B2","TCN2",NA,"GPATCH8",NA,NA,"GGA2","EVL","F2"
"TERF1","AC011840.1",NA,NA,"ANAPC7",NA,"TERB2",NA,NA,NA,NA,NA,NA,NA,NA,"VSIG4","FADS2",NA,"PSMD14",NA,NA,"KLHDC2","NDUFAF7","EPHX1"
"SNX9","RAB2B",NA,NA,"XRCC6",NA,"RITA1",NA,NA,NA,NA,NA,NA,NA,NA,"HSD17B2","RPP25L",NA,"TRPM8",NA,NA,"PRXL2C","ZNF267","USP13"
"TSTD1","SMOC1",NA,NA,"JAKMIP2",NA,"EIF2S1",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM192","BCL7B",NA,"CCNL1",NA,NA,"PSMG2","TRRAP","SBF1"
"S1PR1","TAX1BP3",NA,NA,"MED15",NA,"PDCD10",NA,NA,NA,NA,NA,NA,NA,NA,"AL513548.1","SMIM1",NA,"PEMT",NA,NA,"MSC","NOL7","ASNSD1"
"ABI3","FNDC4",NA,NA,"DDX24",NA,"BABAM2",NA,NA,NA,NA,NA,NA,NA,NA,"TRIM5","TSPAN31",NA,"SPCS1",NA,NA,"SNHG1","MARCH6","CD2BP2"
"CCNJ","CLN8",NA,NA,"AGTRAP",NA,"HSPB8",NA,NA,NA,NA,NA,NA,NA,NA,"CPNE3","DPP4",NA,"LYPLA1",NA,NA,"TMEM256","CYBB","AC016831.1"
