"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"ANGEL2","F3","IGSF10","LINC00884","NBPF19","SRGAP2C","ARHGEF11","AC104260.1","LIF","ZNF443","MUCL3","ACE","RAB33A","CD300LB","AC022075.1","ETV3","RGL1","VAX2","RIT1","PTPN14","Z99572.1","GPR89A","FMO1","LINC00853"
"RRP15","SNX7","JAKMIP1","ZNF718","HIST2H2AA4","C1orf54","USF1","AC024337.1","DNAJC6","ZBTB3","POU5F1","FBXL14","FREM1","AC090360.1","KRT6B","PIGM","RGS2","AC104211.2","SH2D2A","AL392172.1","CENPL","POLR3C","MR1","FOXD2"
"RAB3GAP2","AC093157.1","STIM2-AS1","ZBTB49","TNFAIP8L2","FAM189B","TOMM40L","AC009065.4","TRIM6","FAM182A","SLC44A4","AP001033.2","SRRM4","LINC01730","SIX4","CD244","KIF14","ZNF596","HSPA6","CCDC121","BRINP2","MTMR11","RGS16","AL050343.2"
"TAF1A","AL355488.1","AC021148.2","ALB","ZNF687","KIRREL1","NME7","NPIPB6","SLC5A1","ADGRG2","PNLDC1","ALG1L","TIGD1","CDC45","GPR68","DEDD","LGR6","LINC02762","FCGR3B","RASGRP3","AXDND1","OTUD7B","NPL","ZFYVE9"
"NVL","ST7L","RHOH","PTPN13","KHDC4","CD1C","GAS5-AS1","AC100793.4","MYBL1","MACROD2","AC092171.5","PHETA2","CRISPLD1","ITGB1BP2","AC099518.5","ATF6","SNRPE","GPM6B","POU2F1","DHX57","RGS13","GOLPH3L","LAMC2","TTC22"
"IBA57","AC239800.2","CXCL1","SPATA5","SEMA4A","SLAMF8","RC3H1","RAMP2-AS1","FAP","ZNF74","AGR2","ZNF251","SMPDL3B","PCDH19","AC106779.1","ILDR2","LRRN2","ADGRA1","XCL1","STON1","SYT2","LYSMD1","CFHR5","AC119674.1"
"C1orf131","MINDY1","CCNA2","HSPA4L","GLMP","SLAMF6","XPR1","ANKFN1","GPR173","ABCB9","AGR3","MUC6","FGF11","AC136616.1","AC018557.1","C1orf112","SRGAP2","ZNF423","METTL18","FAM161A","MARK1","RFX5","ZBTB41","WDR78"
"TARBP1","C1orf56","BBS12","SCLT1","SLAMF8","CD48","PTGS2","AC008991.1","ETV4","WNT5A","LINC01301","LRP2BP","CHN2","RORB","AC129507.1","SCYL3","RASSF5","ANKEF1","VAMP4","ANTXR1","CNIH3","CGN","LINC02608","DIRAS3"
"MBOAT2","SEMA6C","PDLIM4","EDNRA","CD244","CD247","RGS1","AC011462.4","CELSR2","AL023806.1","ANKRD18B","PACC1","ZNF529-AS1","TAGLN3","GGT6","FMO2","LAMB3","LINC01138","IGFN1","DUSP11","STUM","CRTC2","NVL","FPGT"
"GRHL1","CKS1B","AC113410.4","FGB","POU2F1","RCSD1","UBE2T","ZNF350","PLCH2","SPESP1","GALNT12","CRYBB3","KBTBD8","AC131097.2","TVP23C","RNF2","CENPF","CCDC122","KDM5B","C2orf81","PGBD5","FAM189B","SDE2","AC135803.1"
