"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"NPM2","PKLR","RAB28","AL356234.2","HTRA2","SLC30A6","AL441992.1","AC073332.1","PROSER3","AC048382.6","USP21"
"FGF17","RUSC1-AS1","RBPJ","UNC93A","GNLY","RMDN2","AL161785.1","TRIL","CKMT2-AS1","GPRC5A","PPOX"
"AC113143.3","IGSF9","CEP135","FRMD1","POLR1A","DYNC2LI1","AL358781.1","WIPF3","ZNF626","PRDM11","PBX1"
"CRISPLD1","PTGS2","ALB","AC147651.4","AC103563.7","ABCG5","NEBL","TRGC1","FBXO10","AP002381.2","SELP"
"RECQL4","KCNT2","LINC01094","AC019117.1","MITD1","SRBD1","ZEB1-AS1","ZNF736","HELLS","PAQR4","DNM3OS"
"VLDLR","SHISA4","SCD5","HDAC9","TXNDC9","FANCL","RTKN2","NPTX2","VHL","MISP3","ANGPTL1"
"CDC37L1-DT","ELF3-AS1","COQ2","ANLN","ACOXL-AS1","PAPOLG","KIF1BP","AC007032.1","CENPF","AL691432.2","RNASEL"
"AL158206.1","UBE2T","TBCK","ZCWPW1","TMEM177","WDR92","ZMIZ1-AS1","IMMP2L","TNFRSF10A","PGM5","TSEN15"
"CNTFR","AC119673.2","INPP4B","LRRC17","NIFK-AS1","FBXO48","NANOS1","AC016831.7","IRF2BP1","PDCL","KIF21B"
"MPP7","CTSE","TLR2","KMT2E-AS1","NIFK","MCEE","TACC2","VIPR2","PRKCQ-AS1","PTPRO","AC104463.2"
"USP54","DTL","SPEF2","EPHA1-AS1","KLHL41","DUSP11","LINC01001","AC022784.6","ZNF480","MGAT3","NFASC"
"SLC35G1","LINC02608","CPLANE1","AC021097.2","SLC25A12","TET3","OR52I1","BRF2","TRMT61B","BCL9","TMEM81"
"ENTPD1-AS1","PROX1","ITGA2","AC107952.2","ATF2","INO80B","ZDHHC13","SLCO5A1","ZBED5-AS1","EFCAB2","CAMK1G"
"HOGA1","ESRRG","GPX8","FABP4","RBM45","TMEM150A","LRRC10B","CA3","KIF9","WASF3","LINC00467"
"TAF5","GPATCH2","CWC27","UBR5-AS1","PGAP1","RMND5A","INCENP","TSPYL5","ZFPL1","DOP1A","TTC13"
"C10orf143","AL360013.3","HOMER1","ZFAT","CD28","PLGLB2","ZBTB3","SPAG1","TCL1A","RFXAP","FAM89A"
"AL162274.2","FAM177B","POU5F2","AC087045.2","STK36","STARD7-AS1","CDCA5","LRP12","USP35","PLAGL2","LINC00582"
"ASCL2","SUSD4","APC","CA9","SP140L","VWA3B","CABP4","ZNF250","NOP14-AS1","IPP","SIPA1L2"
"LYVE1","AL591895.1","PCDHGA6","RASEF","AC017104.1","IL1R2","TPBGL","ZNF782","ZNF215","NBR2","SMYD3"
"FJX1","SPRTN","ARAP3","AL499602.1","PDE6D","CBWD2","PIWIL4","PLPPR1","RERG","CCDC58","ZNF670"
"AP001783.1","AL445524.1","C5orf46","FRMD3","GPR35","ACMSD","COLCA1","BSPRY","PROCA1","AC005332.4","RNASEH1-AS1"
"AC005840.2","AL359921.2","PPARGC1B","SLC28A3","PASK","NR4A2","BACE1-AS","LINC02846","AL162274.2","ZDHHC11","LINC01871"
"CLEC4E","GREM2","HIST1H1E","ZNF484","PDCD1","METAP1D","AP002954.2","PRKCQ","NFYA","KLHL26","TAF1B"
"PIK3C2G","FH","HIST1H1D","TMOD1","GHRL","CHRNA1","KLRG1","MASTL","TXNDC16","CREB3L4","OSR1"
"ALG10","KIF26B","HSPA1B","WHRN","THRB","PMS1","PRH1","RET","TOX3","AL021707.6","UBXN2A"
"AC068888.1","FAM110C","LCA5","AL137186.2","OXSM","FZD7","ARNTL2","AL139243.1","ZNF564","BMP8B","GAREM2"
"AC022506.2","U91324.1","MMS22L","CFAP70","VILL","RPE","AC009318.2","TWNK","CACHD1","AL391056.1","CAD"
"AC020656.1","MBOAT2","FAM229B","MORN4","CSRNP1","SPAG16","AC121338.1","AL355512.1","RASEF","AL513534.2","AC074117.1"
"STAB2","CYS1","RSPO3","HPS6","ZNF35","BARD1","IFNG-AS1","LRRC56","C11orf49","RPS6KL1","PLB1"
"CIT","E2F6","KIAA0408","NEURL1","CLEC3B","CATIP-AS1","AC126178.1","AC107884.1","AC004241.1","LINC02609","AL133243.3"
"AL512652.1","VSNL1","MTHFD1L","MS4A4E","LTF","C2orf72","CLLU1OS","AC132192.2","LSM11","MTFMT","CRIM1-DT"
"SERP2","WDR35","PDE10A","AP003774.2","SETD2","DIS3L2","SPIC","RAPSN","QRSL1","AL162231.1","QPCT"
"RBM26-AS1","AC012065.3","BX322234.1","FAT3","ARIH2OS","MLPH","AC004812.2","FAM111A-DT","TTC27","PTPRD","PLEKHH2"
"AL158064.1","TDRD15","MACC1","ARHGAP20","NAA80","DUSP28","P2RX2","NRXN2","FBXO41","SOCS7","STON1"
"SALL2","POMC","CREB5","FEZ1","PPM1M","AC104809.1","CYSLTR2","XRRA1","ZNF181","COQ3","ACTG2"
"C14orf180","RAB10","PLEKHA8","DCP1B","DNAH1","AC133528.1","AL161421.1","AP002784.1","AP002784.1","ZNF100","WDR54"
"AL583722.2","AGBL5","INHBA","AC010175.1","NEK4","TRNT1","AL133371.2","HEPACAM",NA,"TMED2-DT","REG1A"
"PGBD4","AC092164.1","ZNF680","TMEM52B","PXK","CCDC174","CDH24","PKNOX2",NA,"SPNS2","TRABD2A"
"SRP14-AS1","GALNT14","ERV3-1","AC068792.1","AC135507.1","OXNAD1","STXBP6","GALNT8",NA,"TMEM163","IGKV3-15"
"DISP2","LINC01914","AC006480.2","C12orf81","ATXN7","PLCL2","DNAAF2","LPAR5",NA,"SUV39H1","IGKV1D-33"
