"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
NA,"AP001160.4","F2R",NA,"RMDN1","PCK2",NA,NA,NA,NA,"ZBED4"
NA,"HRH1","MPZL3",NA,"LINC01637","DNPH1",NA,NA,NA,NA,"AC010883.1"
NA,"ALG2","SON",NA,"PRPF8","PC",NA,NA,NA,NA,"DDX55"
NA,"UBFD1","PHLDB1",NA,"VSIR","HSD17B13",NA,NA,NA,NA,"GYPC"
NA,"RIDA","GLI4",NA,"DACH1","AP2B1",NA,NA,NA,NA,"TBC1D22A"
NA,"AC124045.1","AFAP1L2",NA,"UGDH","TMEM230",NA,NA,NA,NA,"CREB3L2"
NA,"DAND5","SAMD13",NA,"ZMAT2","UBA3",NA,NA,NA,NA,"MAP2"
NA,"SPIN3","KLHL8",NA,"GNPTAB","PKDCC",NA,NA,NA,NA,"SNRNP200"
NA,"POLN","RALGPS1",NA,"FXYD6","AFM",NA,NA,NA,NA,"MEF2D"
NA,"TAT","ALS2CL",NA,"CHD2","GPRIN3",NA,NA,NA,NA,"SFRP2"
NA,"AL392089.1","AP005482.3",NA,"SMTN","HMGCL",NA,NA,NA,NA,"C8orf58"
NA,"GTPBP1","CCN2",NA,"TMEM131","MRPL52",NA,NA,NA,NA,"ARF5"
NA,"SLC22A7","RNF121",NA,"RBX1","CARD16",NA,NA,NA,NA,"DDX56"
NA,"FAM214A","SLC1A3",NA,"TUBGCP6","HSD17B4",NA,NA,NA,NA,"NKAPD1"
NA,"DTWD2","FILIP1",NA,"PALLD","TAF9",NA,NA,NA,NA,"FYN"
NA,"MLF2","GNL3L",NA,"CCT5","NUB1",NA,NA,NA,NA,"LZTR1"
NA,"UBA6","C1QA",NA,"PSMB9","MRPS28",NA,NA,NA,NA,"HMCES"
NA,"ZNF527","TMEM229B",NA,"MBD6","TELO2",NA,NA,NA,NA,"WFS1"
NA,"AC126118.1","RASA4",NA,"PHLDA1","ABRACL",NA,NA,NA,NA,"GIMAP6"
NA,"RAB11FIP5","ST18",NA,"RTCB","DENND2D",NA,NA,NA,NA,"ZNF568"
NA,"RAD18","COL16A1",NA,"ANAPC5","MRPS7",NA,NA,NA,NA,"LRRN2"
NA,"SCAMP4","MED29",NA,"PRMT1","CNOT1",NA,NA,NA,NA,"C2orf68"
NA,"ORM2","GPR107",NA,"MLLT1","LDHD",NA,NA,NA,NA,"SCRN2"
NA,"IRF6","WDTC1",NA,"DELE1","HACD3",NA,NA,NA,NA,"WDR48"
NA,"AC027013.1","TSPAN3",NA,"PDPK1","GFER",NA,NA,NA,NA,"SPHK1"
NA,"DTD1","WDR70",NA,"CRYL1","ELAC2",NA,NA,NA,NA,"LAMC2"
NA,"EMC4","PSMD1",NA,"FGFR1OP2","PSMG2",NA,NA,NA,NA,"LINC02384"
NA,"HOXA4","TEKT4",NA,"PPM1B","CD5L",NA,NA,NA,NA,"CCNA2"
NA,"MAMDC2-AS1","LINC02605",NA,"DMAP1","CYP2A7",NA,NA,NA,NA,"FBXO28"
NA,"KIAA1549","C1orf21",NA,"ZBTB48","SNF8",NA,NA,NA,NA,"UTP4"
NA,"DBNDD2","USP28",NA,"TMX1","SKAP2",NA,NA,NA,NA,"AL035587.1"
NA,"HTATIP2","HLA-DMB",NA,"MTBP","AP1G2",NA,NA,NA,NA,"OTUD5"
NA,"GAS1RR","FTH1",NA,"CCNL1","EPRS",NA,NA,NA,NA,"PPP1R14A"
NA,"SLC48A1","KIF5B",NA,"TRIM27","APOL3",NA,NA,NA,NA,"C1orf52"
NA,"CEP120","HLA-DPB1",NA,"RAB34","GET3",NA,NA,NA,NA,"CFAP44"
NA,"SIAH2","C6orf89",NA,"PPM1A","PSEN2",NA,NA,NA,NA,"PELI1"
NA,"L3MBTL2","ARHGAP29",NA,"JUP","VAV1",NA,NA,NA,NA,"PEX2"
NA,"CENPN","INO80D",NA,"NRDC","GNG12",NA,NA,NA,NA,"PGP"
NA,"SYNJ2BP","ESCO2",NA,"KMT2A","SDHD",NA,NA,NA,NA,"ALKBH6"
NA,"MCRS1","COL13A1",NA,"F11R","HNRNPAB",NA,NA,NA,NA,"STRN4"
NA,"RPS6KA2","S100A11",NA,"NPTN-IT1","FDX1",NA,NA,NA,NA,"GNPDA2"
NA,"NUDC","ACP2",NA,"CTSL","ABCD4",NA,NA,NA,NA,"ASAP3"
NA,"HERC3","NPRL2",NA,"COG4","ERCC3",NA,NA,NA,NA,"HIST2H2AC"
NA,"OR56B1","ISYNA1",NA,"SSBP1","NUCB2",NA,NA,NA,NA,"FBRS"
NA,"OAF","ZNF284",NA,"GNL3","ATP1B1",NA,NA,NA,NA,"BEX2"
NA,"RPS6KB2","NMT2",NA,"NAGA","GOLIM4",NA,NA,NA,NA,"GLT8D2"
NA,"NSUN6","UHRF1BP1L",NA,"SH3BGRL","TMEM63A",NA,NA,NA,NA,"SPART"
NA,"RCOR3","RHOT2",NA,"SBNO2","PROC",NA,NA,NA,NA,"FBXO16"
NA,"DNAJB12","ZSWIM6",NA,"MEF2C","AC008760.2",NA,NA,NA,NA,"SLC35A1"
NA,"ZDHHC11B","RERGL",NA,"MEGF6","BTBD2",NA,NA,NA,NA,"CPLANE2"
NA,"SYNGR3","DYRK4",NA,"KDM5A","TM7SF2",NA,NA,NA,NA,"XPNPEP3"
NA,"STX6","AGAP3",NA,"ASXL1","SMURF1",NA,NA,NA,NA,"PFN2"
NA,"EBPL","DUSP6",NA,"UBA7","ALDH16A1",NA,NA,NA,NA,"AC009404.1"
NA,"LILRA2","RABEP2",NA,"MTHFR","SEH1L",NA,NA,NA,NA,"PDGFC"
NA,"CYP3A7","AEBP1",NA,"RPS19BP1","COA3",NA,NA,NA,NA,"SMIM6"
NA,"SLC12A2","AL662844.4",NA,"PCNX1","ANGPTL2",NA,NA,NA,NA,"FAN1"
NA,"AC025627.1","MBOAT7",NA,"CD27","PLEKHO2",NA,NA,NA,NA,"CLIC6"
NA,"SPR","SLC39A10",NA,"TSBP1-AS1","PDK2",NA,NA,NA,NA,"GZMM"
NA,"AP006216.2","ADAM10",NA,"RGL1","PRKAA1",NA,NA,NA,NA,"GSTM4"
NA,"ABLIM3","STRN3",NA,"INHBC","TAB2",NA,NA,NA,NA,"TXNDC5"
NA,"LYSMD2","FBXO32",NA,"FAM107B","APOL1",NA,NA,NA,NA,"NAPEPLD"
NA,"AC115619.1","FNDC3B",NA,"IFI30","ECI1",NA,NA,NA,NA,"NAIF1"
NA,"AC118549.1","SGSH",NA,"ZFYVE16","STEAP4",NA,NA,NA,NA,"RNF113A"
NA,"AL136531.1","ATXN7L2",NA,"KIF22","FAM32A",NA,NA,NA,NA,"L3MBTL1"
NA,"PMEL","TLN1",NA,"AC016737.1","NOMO1",NA,NA,NA,NA,"SF3A3"
NA,"CYP4A11","KTN1-AS1",NA,"PLAUR","MRPS15",NA,NA,NA,NA,"CCZ1"
NA,"USP38","CGGBP1",NA,"PDLIM1","SF3B3",NA,NA,NA,NA,"MED23"
NA,"ADGRG6","RHOBTB3",NA,"MARVELD1","PTPN3",NA,NA,NA,NA,"GLO1"
NA,"FABP2","ZNF829",NA,"IER2","EML3",NA,NA,NA,NA,"APTX"
NA,"HRC","RBM41",NA,"AC004816.2","MFSD2A",NA,NA,NA,NA,"GPR34"
NA,"ANKRD37","TNFRSF11A",NA,"MTCH1","SPATA13",NA,NA,NA,NA,"ZMYND11"
NA,"SNORC","CYB5B",NA,"PLVAP","PTGR1",NA,NA,NA,NA,"TCP10L"
NA,"RFESD","UBR2",NA,"GUCD1","FAM20C",NA,NA,NA,NA,"AC008771.1"
NA,"KIAA2013","ARHGEF10L",NA,"DARS","CAST",NA,NA,NA,NA,"CDK10"
NA,"IGFBP2","CNTNAP2",NA,"GNB2","AIF1",NA,NA,NA,NA,"ZNF18"
NA,"MDP1","ARHGAP1",NA,"PDCD6IP","USP12",NA,NA,NA,NA,"CEP95"
NA,"ZNF222","IRF2BPL",NA,"CACNA1C-AS2","SZRD1",NA,NA,NA,NA,"STMN3"
NA,"SHMT1","SNHG12",NA,"CNNM3","CAPN5",NA,NA,NA,NA,"ZMIZ1"
NA,"LRP11","TENT4B",NA,"STXBP2","ATP5ME",NA,NA,NA,NA,"GATA3"
NA,"TBC1D1","LRRC8A",NA,"TMEM37","CREBBP",NA,NA,NA,NA,"MAP7D1"
NA,"PHLDB2","GALNT17",NA,"TMEM129","NDUFB11",NA,NA,NA,NA,"SNAI1"
NA,"ABCA10","HMCN1",NA,"NOC4L","MED10",NA,NA,NA,NA,"ARMCX3"
NA,"CHDH","AC025171.2",NA,"PTEN","TAF13",NA,NA,NA,NA,"MARCH8"
NA,"DDO","MUL1",NA,"NFYB","AGMAT",NA,NA,NA,NA,"ISG20L2"
NA,"AL513550.1","BRSK1",NA,"C11orf96","SMOC1",NA,NA,NA,NA,"ECSIT"
NA,"DCTD","ARHGAP10",NA,"ZBTB7A","FAM3C",NA,NA,NA,NA,"CD209"
NA,"AMDHD1","UNC5A",NA,"CTSH","PPP1R1A",NA,NA,NA,NA,"PLEKHH3"
NA,"ZNF605","FAM198B-AS1",NA,"TMEM50A","UBXN4",NA,NA,NA,NA,"FBXO46"
NA,"UGT2B15","ADAM12",NA,"IFI27L2","RBBP7",NA,NA,NA,NA,"NKRF"
NA,"U62317.4","GPC2",NA,"MICOS10","CRBN",NA,NA,NA,NA,"SERTAD1"
NA,"CENPW","ZNF404",NA,"UBD","AK4",NA,NA,NA,NA,"GMDS-DT"
NA,"G6PC","SGO2",NA,"SRP54","FAM174C",NA,NA,NA,NA,"FBXL3"
NA,"ACAD9","MPRIP",NA,"PSMA3-AS1","TM7SF3",NA,NA,NA,NA,"AC007566.1"
NA,"JAZF1","BRD7",NA,"GPSM3","RCAN1",NA,NA,NA,NA,"HOXB-AS3"
NA,"ALDH6A1","USP13",NA,"RAB31","SH3GL1",NA,NA,NA,NA,"TTC1"
NA,"BHMT","AL358852.1",NA,"MTCH2","TMEM70",NA,NA,NA,NA,"SHKBP1"
NA,"PLA2G12A","RALB",NA,"MPPE1","DHX36",NA,NA,NA,NA,"ZNF419"
NA,"NT5C3B","TMEM241",NA,"TINAGL1","CYP3A7",NA,NA,NA,NA,"AC099343.3"
NA,"TMEM233","TBC1D22B",NA,"PSMA5","QPRT",NA,NA,NA,NA,"NUP43"
NA,"LINC01934","NTN1",NA,"PSMB2","PPIH",NA,NA,NA,NA,"R3HCC1L"
NA,"PLEKHH1","VMP1",NA,"ANXA1","SIRT2",NA,NA,NA,NA,"RPP25"
NA,"APOM","CD68",NA,"CCDC124","MAF1",NA,NA,NA,NA,"PALM"
NA,"MKNK1","ALMS1",NA,"GRB2","LSM7",NA,NA,NA,NA,"SHOC2"
NA,"NABP2","AIFM3",NA,"XRN1","MAP7D3",NA,NA,NA,NA,"UBAP2"
NA,"TST","AL139089.1",NA,"HMGN3","VWF",NA,NA,NA,NA,"AC104794.3"
NA,"BCO2","DOCK1",NA,"SEPTIN1","SMAD5",NA,NA,NA,NA,"FAM86B1"
NA,"ZNF138","CHCHD6",NA,"RND3","NEPRO",NA,NA,NA,NA,"BICC1"
NA,"TM4SF4","CACNB2",NA,"DGCR2","SDHC",NA,NA,NA,NA,"COPS7B"
NA,"LBP","LINC01303",NA,"USP47","NCBP2AS2",NA,NA,NA,NA,"TMEM54"
NA,"CFB","TBKBP1",NA,"USP14","SLC38A4",NA,NA,NA,NA,"CHI3L2"
NA,"ADH6","AIMP1",NA,"CRIP1","DHX40",NA,NA,NA,NA,"ANAPC10"
NA,"ATP8B1","CMYA5",NA,"CARS2","CYSTM1",NA,NA,NA,NA,"SLFN11"
NA,"AC099343.2","STMN1",NA,"SEPTIN9","WDR45",NA,NA,NA,NA,"ARRB1"
NA,"AL355816.2","TMEM198",NA,"TNRC6A","CEBPA",NA,NA,NA,NA,"CPED1"
NA,"LLPH","STK26",NA,"MRPS25","MRPS24",NA,NA,NA,NA,"FILIP1L"
NA,"KDF1","ZFPM2",NA,"THRAP3","SUPT4H1",NA,NA,NA,NA,"JHY"
NA,"F8A3","DMXL2",NA,"GNA13","OTC",NA,NA,NA,NA,"CEP164"
NA,"DIPK1A","UBQLN2",NA,"UQCRH","C1QBP",NA,NA,NA,NA,"MUC20"
NA,"CXADR","YEATS2",NA,"FAM71F2","MARC2",NA,NA,NA,NA,"ZNF335"
NA,"MRPS26","AC121761.1",NA,"PGGHG","CBR1",NA,NA,NA,NA,"COQ8A"
NA,"TTR","GTPBP8",NA,"ANXA11","PES1",NA,NA,NA,NA,"FMNL3"
NA,"PTPRB","SH3PXD2A",NA,"P2RX6","IKZF3",NA,NA,NA,NA,"ST6GALNAC4"
NA,"LPA","PTMS",NA,"TRABD","RTRAF",NA,NA,NA,NA,"TOGARAM1"
NA,"AC245140.2","KIF1B",NA,"MADD","DNAJC4",NA,NA,NA,NA,"SMG6"
NA,"DNLZ","SERPINB6",NA,"TRBC2","G6PC",NA,NA,NA,NA,"TWF2"
NA,"POLR2K","PLD6",NA,"SHARPIN","TPST2",NA,NA,NA,NA,"SLC37A2"
NA,"MOCS3","RNF20",NA,"BAP1","ZNF414",NA,NA,NA,NA,"SEC14L1"
NA,"TMEM38B","COL5A1",NA,"PLAAT3","SERPINA4",NA,NA,NA,NA,"ITGBL1"
NA,"SLC35A2","KIF26A",NA,"CIC","SHMT1",NA,NA,NA,NA,"EMD"
NA,"HMGCS1","PLA2G15",NA,"MACF1","PICK1",NA,NA,NA,NA,"ERMAP"
NA,"RNLS","RRAS",NA,"UBE2M","MARCH9",NA,NA,NA,NA,"IGKV1-5"
NA,"AP000696.2","NUPR1",NA,"FAM193B","UNK",NA,NA,NA,NA,"HDAC8"
NA,"TLE3","TTL",NA,"ATPAF1","CHI3L1",NA,NA,NA,NA,"TNN"
NA,"GPN3","ZBED1",NA,"HNRNPD","RAB12",NA,NA,NA,NA,"CCM2"
NA,"TGFBR3","RNF168",NA,"LINC00639","NFIL3",NA,NA,NA,NA,"PTDSS2"
NA,"RRP1B","CNKSR1",NA,"COX7A2L","MRPL57",NA,NA,NA,NA,"UBLCP1"
NA,"SAA4","AXIN2",NA,"WBP1","DCBLD2",NA,NA,NA,NA,"SOS1"
NA,"USP46","THBS1",NA,"DMXL2","YIPF2",NA,NA,NA,NA,"CYTH2"
NA,"AC012640.4","LINC00653",NA,"REM1","ADH6",NA,NA,NA,NA,"ZNF155"
NA,"SLC27A5","AASDH",NA,"PRKD2","SERPINA5",NA,NA,NA,NA,"COL15A1"
NA,"MCM6","TRPV3",NA,"ATP6V1G1","NRP1",NA,NA,NA,NA,"PDXP"
NA,"EPB41L3","APOC3",NA,"NUFIP2","MRPL15",NA,NA,NA,NA,"SNHG26"
NA,"SMIM24","EIF2AK4",NA,"COMMD3","ZDHHC14",NA,NA,NA,NA,"MMP16"
NA,"A1BG","PELI1",NA,"TBRG4","SUGP2",NA,NA,NA,NA,"KIAA0513"
NA,"MAST4","ACTN1",NA,"PLEC","DCPS",NA,NA,NA,NA,"RNF19A"
NA,"MOSPD2","PLXDC2",NA,"CLK1","BFAR",NA,NA,NA,NA,"TEFM"
NA,"P2RY14","CNTRL",NA,"BUD31","ABCG8",NA,NA,NA,NA,"JADE3"
NA,"UGT3A1","TNFAIP6",NA,"MTUS1","CHD6",NA,NA,NA,NA,"RBMX"
NA,"ACAT2","POLE3",NA,"HNRNPDL","RBPMS",NA,NA,NA,NA,"WDFY3"
NA,"AL391069.2","ZNF25",NA,"ZRANB2","IRS2",NA,NA,NA,NA,"TRIM65"
NA,"MYBBP1A","APPBP2",NA,"COX16","SAT2",NA,NA,NA,NA,"CERNA1"
NA,"SMOX","TTC25",NA,"COL16A1","FHL2",NA,NA,NA,NA,"DBN1"
NA,"NCKAP5","TGFBR1",NA,"CHMP1A","SLC11A1",NA,NA,NA,NA,"PPP4R1"
NA,"LINC02193","TIMP2",NA,"TOLLIP","ATF5",NA,NA,NA,NA,"TOE1"
NA,"TKT","MAPK3",NA,"TMEM160","MBL2",NA,NA,NA,NA,"TMEM42"
NA,"SMIM17","CDR2L",NA,"NUDT4","WDR6",NA,NA,NA,NA,"FOXN3-AS1"
NA,"OTULINL","CAPG",NA,"TSTD1","CYP8B1",NA,NA,NA,NA,"PEX11B"
NA,"CAMKK2","MAFB",NA,"CHMP2A","UGT2B15",NA,NA,NA,NA,"PKIB"
NA,"MCC","CSTA",NA,"FGD5-AS1","FLNB",NA,NA,NA,NA,"AC005332.4"
NA,"AC109454.3","HEXD-IT1",NA,"UTP18","ITGA9",NA,NA,NA,NA,"PPM1D"
NA,"Z99572.1","EXOC4",NA,"EPS8L2","TMEM184B",NA,NA,NA,NA,"DIS3"
NA,"SART3","ANXA5",NA,"CLSTN1","SEC24A",NA,NA,NA,NA,"GAB3"
NA,"AC083855.2","MIR600HG",NA,"VAPA","CERS5",NA,NA,NA,NA,"TRPM2"
NA,"MGST1","AC092807.3",NA,"AC253572.1","LPAR6",NA,NA,NA,NA,"TANGO2"
NA,"AC011337.1","AL391834.1",NA,"ODF2","SYAP1",NA,NA,NA,NA,"RYR2"
NA,"SUCLG2","NCKAP1",NA,"IPO7","CLCC1",NA,NA,NA,NA,"KITLG"
NA,"NT5C","CDK18",NA,"CDKN2D","TSR3",NA,NA,NA,NA,"CD27"
NA,"ILVBL","PDLIM7",NA,"XIAP","SAR1B",NA,NA,NA,NA,"USP1"
NA,"YY2","BCL7A",NA,"NUDC","HS3ST2",NA,NA,NA,NA,"MDFIC"
NA,"COMMD3","AGPAT5",NA,"IMMT","PPARGC1A",NA,NA,NA,NA,"ZNF597"
NA,"ANO7","COL5A2",NA,"ATP6V0A1","NAP1L4",NA,NA,NA,NA,"CDK9"
NA,"PAH","LINC00944",NA,"ADGRE5","PHB",NA,NA,NA,NA,"RECQL"
NA,"GNPTG","CUEDC1",NA,"UBE2L3","HEXA",NA,NA,NA,NA,"DENR"
NA,"ZNF808","FNDC1",NA,"FAM20B","IMPDH1",NA,NA,NA,NA,"ZNF138"
NA,"SEMA3G","SH2B2",NA,"SMAP2","SYNJ2BP",NA,NA,NA,NA,"JCHAIN"
NA,"HPX","AKAP11",NA,"MIDN","PIH1D1",NA,NA,NA,NA,"TDRD3"
NA,"PTCRA","AAK1",NA,"PCED1B-AS1","CERS2",NA,NA,NA,NA,"PATZ1"
NA,"DDTL","MEF2B",NA,"SUCLG1","FASTKD2",NA,NA,NA,NA,"AC147067.1"
NA,"SERPINA4","USP11",NA,"ELP2","RTF2",NA,NA,NA,NA,"OASL"
NA,"C3orf80","EIF2S2",NA,"REEP4","CPT1A",NA,NA,NA,NA,"PAN2"
NA,"BEX1","PHEX",NA,"UBE2I","NOP10",NA,NA,NA,NA,"SLC1A4"
NA,"PI4KB","RGS10",NA,"FLYWCH1","ARFGAP2",NA,NA,NA,NA,"DNASE1"
NA,"MT1X","MGP",NA,"SELENOO","HIPK3",NA,NA,NA,NA,"DSEL"
NA,"MC1R","TKT",NA,"EIF4EBP2","ENOPH1",NA,NA,NA,NA,"DAXX"
NA,"LINC02749","N4BP2",NA,"PARVG","C11orf24",NA,NA,NA,NA,"FZD1"
NA,"EXOSC10","CDC7",NA,"LINC01634","MMP15",NA,NA,NA,NA,"MZB1"
NA,"STARD4","AC010092.1",NA,"RPS6KB1","LRIG2",NA,NA,NA,NA,"WWTR1-AS1"
NA,"UBE3C","FAM91A1",NA,"INTS11","UTP18",NA,NA,NA,NA,"NAXE"
NA,"HCFC2","AKAP12",NA,"PTBP1","BCL3",NA,NA,NA,NA,"ZP3"
NA,"AHCYL1","SHISAL1",NA,"ZNF155","NFKBID",NA,NA,NA,NA,"DHPS"
NA,"SLCO1B1","FERMT1",NA,"SRPRB","FOXRED1",NA,NA,NA,NA,"GJD3"
NA,"LINC01232","FAM122C",NA,"SLC6A3","ACAT2",NA,NA,NA,NA,"GSTM3"
NA,"RPA3","CHD8",NA,"LAMC1","AHR",NA,NA,NA,NA,"MTPAP"
NA,"ULK4","BCAT2",NA,"HNRNPF","PHKB",NA,NA,NA,NA,"ZFAND1"
NA,"KCTD9","SATB1",NA,"D2HGDH","AKR1C4",NA,NA,NA,NA,"DHX8"
NA,"FUS","UBAP2",NA,"CTSK","RNASE4",NA,NA,NA,NA,"NFYA"
NA,"CYP2A7","GSK3A",NA,"EIF4G1","RNF130",NA,NA,NA,NA,"CENPP"
NA,"CYP2A6","SEPTIN7",NA,"RALY","ATP6V1B2",NA,NA,NA,NA,"SELENOS"
NA,"TRIM36","PCNX4",NA,"MMP24OS","CTNNA1",NA,NA,NA,NA,"AKAP5"
NA,"NETO2","AMBP",NA,"NUDCD3","HSD17B6",NA,NA,NA,NA,"KLHL22"
NA,"NR1D2","ZNF845",NA,"C5orf15","PLPP3",NA,NA,NA,NA,"HAUS1"
NA,"AC022075.1","PDE3B",NA,"BTG1","FTCD",NA,NA,NA,NA,"NAF1"
NA,"GLIS3","KBTBD6",NA,"AP000866.2","MTG1",NA,NA,NA,NA,"GLI4"
NA,"PCGF2","HLA-E",NA,"CYTOR","SLC25A28",NA,NA,NA,NA,"AL022162.1"
NA,"AFAP1L1","TMEM240",NA,"LUC7L","GGA1",NA,NA,NA,NA,"AL606760.2"
NA,"TMEM170B","GOLGA7B",NA,"NOP58","PRDX2",NA,NA,NA,NA,"SNHG32"
NA,"DNALI1","MAPKAPK3",NA,"SREK1","EMC3",NA,NA,NA,NA,"DGKD"
NA,"CRY2","BMX",NA,"CYBA","BLOC1S6",NA,NA,NA,NA,"TMC5"
NA,"LRG1","MPO",NA,"CISD1","HSD17B10",NA,NA,NA,NA,"AL390198.1"
NA,"ACAD10","GEMIN8",NA,"PPP1CA","SMPD4",NA,NA,NA,NA,"PUS7L"
NA,"HEG1","SUDS3",NA,"AC006942.1","PDLIM7",NA,NA,NA,NA,"KMT5B"
NA,"HAAO","NIN",NA,"TCIM","SMAD4",NA,NA,NA,NA,"AC027097.2"
NA,"OSCP1","TMEM170B",NA,"TGFB1","PLA2G2A",NA,NA,NA,NA,"CHORDC1"
NA,"SLC28A1","CD74",NA,"C4orf3","TBL2",NA,NA,NA,NA,"GARS"
NA,"RNF114","CXXC1",NA,"TMEM189","PRELID1",NA,NA,NA,NA,"MARS"
NA,"HIGD2A","RSAD1",NA,"RAD21","SPINT2",NA,NA,NA,NA,"MCM4"
NA,"RCAN1","AL139011.1",NA,"ERP27","RAB18",NA,NA,NA,NA,"CSNK2A1"
NA,"AFM","NKIRAS1",NA,"EIF3J","PDK4",NA,NA,NA,NA,"AL121845.1"
NA,"ERCC6","MOB3B",NA,"RETSAT","AMDHD2",NA,NA,NA,NA,"ZNF843"
NA,"SSC5D","PTGES2",NA,"SRSF6","CARD8",NA,NA,NA,NA,"AP001267.1"
NA,"POLR1B","SOCS3",NA,"SIRT3","IMP4",NA,NA,NA,NA,"SPICE1"
NA,"CCDC74A","RELA-DT",NA,"AL135818.1","SELENOW",NA,NA,NA,NA,"PWWP2A"
NA,"PANX1","MLLT10",NA,"TOP1","HABP2",NA,NA,NA,NA,"TACSTD2"
NA,"SCAF8","AC123768.2",NA,"TACC3","EBP",NA,NA,NA,NA,"ADGRA2"
NA,"POLR3H","CDS1",NA,"JUNB","ZSCAN18",NA,NA,NA,NA,"PRXL2C"
NA,"S100A14","GXYLT1",NA,"POLR2J","HTATSF1",NA,NA,NA,NA,"UBFD1"
NA,"WWC2","TRMT12",NA,"SNX17","EIF4E2",NA,NA,NA,NA,"KIRREL3"
NA,"LINC02609","DAB2",NA,"ARHGDIB","PIEZO1",NA,NA,NA,NA,"FAM30A"
NA,"MAP2K1","ATXN3",NA,"MCTS1","SLC25A25",NA,NA,NA,NA,"EFEMP1"
NA,"MKKS","PPP3CA",NA,"TMEM63A","GPBP1",NA,NA,NA,NA,"CDC14A"
NA,"FADS2","RAG1",NA,"SIVA1","SUCLG2",NA,NA,NA,NA,"MCAM"
NA,"ECHS1","KMT2C",NA,"ARSA","CCDC25",NA,NA,NA,NA,"TESC"
NA,"TMEM67","EGFLAM",NA,"ZNF638","TUBGCP2",NA,NA,NA,NA,"IFIH1"
NA,"HPR","CANX",NA,"TPP2","THADA",NA,NA,NA,NA,"PPP1R9B"
NA,"CASP9","APBB1IP",NA,"UNC93B1","PSMD3",NA,NA,NA,NA,"VCL"
NA,"TRPV6","CHTF18",NA,"ELAVL1","ZMIZ2",NA,NA,NA,NA,"NCK1"
NA,"CCDC151","NECTIN4",NA,"HELZ","WAPL",NA,NA,NA,NA,"PRSS53"
NA,"SEPHS2","DDX24",NA,"TMEM165","SCARB1",NA,NA,NA,NA,"ZNF513"
NA,"PERP","DHRS4-AS1",NA,"PDCD4","GJA4",NA,NA,NA,NA,"UFD1"
NA,"ZFX","ST7",NA,"CSK","TMEM115",NA,NA,NA,NA,"CANT1"
NA,"IL17RC","FAM216A",NA,"UBE2L6","MYO9B",NA,NA,NA,NA,"SHC1"
NA,"CEP126","DPCD",NA,"PLCG1","GSR",NA,NA,NA,NA,"ZNF81"
NA,"SPAAR","EEPD1",NA,"TMEM107","SLC27A1",NA,NA,NA,NA,"MIB1"
NA,"NTAN1","AL512625.1",NA,"RBMS3-AS3","SGSM2",NA,NA,NA,NA,"GAR1"
NA,"MOB3A","FAM228B",NA,"SPTA1","DNAJC10",NA,NA,NA,NA,"KIAA0895"
NA,"AL109628.2","LSM12",NA,"UBQLN4","NMT1",NA,NA,NA,NA,"LINC00476"
NA,"LINC01819","SF3B1",NA,"ALDH3A2","TMEM106B",NA,NA,NA,NA,"PKMYT1"
NA,"IGF1","POLH",NA,"GBA","MRPL11",NA,NA,NA,NA,"TPK1"
NA,"TP53I11","PAQR8",NA,"STAT5B","SRSF3",NA,NA,NA,NA,"MBTPS1"
NA,"MCCC1","LINC02422",NA,"RPL19","CDH1",NA,NA,NA,NA,"TBC1D4"
NA,"RHOBTB3","TSGA10",NA,"ZKSCAN1","IDH1",NA,NA,NA,NA,"WDFY4"
NA,"MRPL53","STON1-GTF2A1L",NA,"STX7","BIN1",NA,NA,NA,NA,"ZNF646"
NA,"NCK2","LINC01089",NA,"PBXIP1","DUSP23",NA,NA,NA,NA,"N4BP2"
NA,"TGDS","AL022322.2",NA,"TLE1","GPT2",NA,NA,NA,NA,"PLAT"
NA,"CHORDC1","NUDT2",NA,"RABL6","GPAA1",NA,NA,NA,NA,"GNL2"
NA,"MAMDC4","TPCN1",NA,"GRIPAP1","TPMT",NA,NA,NA,NA,"SETBP1"
NA,"CLDN1","TOPORS",NA,"SEPTIN6","EBPL",NA,NA,NA,NA,"EBLN2"
NA,"SNX2","TSC22D1",NA,"LINC00299","SLC22A1",NA,NA,NA,NA,"CNPY3"
NA,"PELI2","RFWD3",NA,"AL009179.1","APCS",NA,NA,NA,NA,"ZDHHC6"
NA,"VDAC1","KLF7",NA,"PLOD1","PAH",NA,NA,NA,NA,"PYCR1"
NA,"AP2A1","NUDT15",NA,"SKP1","MTHFD1",NA,NA,NA,NA,"USP39"
NA,"PRADC1","SPNS2",NA,"ITSN2","DUSP6",NA,NA,NA,NA,"P3H2"
NA,"DUSP8","SCO1",NA,"AC010359.2","ACAA2",NA,NA,NA,NA,"AZIN2"
NA,"RREB1","AC009093.1",NA,"FHL5","LPIN1",NA,NA,NA,NA,"TLE3"
NA,"AC097532.2","GPS2",NA,"ULBP1","LONP2",NA,NA,NA,NA,"BCAT2"
NA,"TEDC1","AC243964.3",NA,"APRT","RNH1",NA,NA,NA,NA,"GABPB1-IT1"
NA,"MRPS12","SLC25A37",NA,"LLCFC1","PGRMC1",NA,NA,NA,NA,"DOCK11"
NA,"ARHGAP11A","AC007220.1",NA,"TYK2","HPN",NA,NA,NA,NA,"CYB561D2"
