"","Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"PEX10",0.480807542800903,0.508123517036438,0,0.439882814884186,0.00306170922704041,0.000833232188597322,0.000910020142327994,0.00163525715470314,0.000140293297590688,9.02775936992839e-05,0.0498627871274948
"PLCH2",0.00261538033373654,0.00396898575127125,0,0.00196179165504873,0.00264808023348451,0.00399550423026085,0.0212483983486891,0.00307957036420703,0.000166270910995081,7.88231554906815e-05,0.034442376345396
"PANK4",0.0024934655521065,0.00868630595505238,0.000396738352719694,0.0111148012802005,0.0029312374535948,0.00591345829889178,0.0298281293362379,0.00260891811922193,0.000387922365916893,8.48059571580961e-05,0.0215801615267992
"HES5",0.00228508608415723,0.00194257369730622,0.000130899818032049,0.0020904797129333,0.0022128545679152,0.00204787007533014,0.000527127471286803,0.00284801400266588,0.000118974130600691,8.13753431430086e-05,0.000403843354433775
"AL139246.5",0.00246655032970011,0.00740888249129057,0.000251846329774708,0.00406722724437714,0.00952394679188728,0.00146746181417257,0.0011536170495674,0.00405095377936959,0.000153502245666459,0.000122571756946854,0.0463418699800968
"TNFRSF14-AS1",0.440270185470581,0.117491289973259,0.0026367474347353,0.00258201244287193,0.00491926353424788,0.00324675254523754,0.0151816476136446,0.466024369001389,8.95062839845195e-05,4.39769901277032e-05,0.0393605455756187
"TNFRSF14",0.810734450817108,0.409648597240448,0.103344269096851,1.26086437702179,0.00657688826322556,0.00336321583017707,0.25674232840538,0.834738671779633,0.167719408869743,0.0365913212299347,0.278707295656204
"AL139246.3",0.00297563499771059,0.00250196480192244,0.000163228149176575,0.00234366068616509,0.00276321521960199,0.00265517365187407,0.0284083187580109,0.00230113184079528,0.000223009774344973,0.00012538990995381,0.000480538816191256
"PRXL2B",0.516106784343719,0.0924468785524368,0.0241999197751284,0.00495038367807865,0.00348470523022115,0.00190036289859563,0.0402113683521748,0.00583584420382977,0.000289332441752777,0.000679936085361987,0.00990048982203007
"MMEL1",0.0022077513858676,0.00169686146546155,0.000188857215107419,0.00240057287737727,0.00209222733974457,0.00213162391446531,0.000618924095761031,0.00248629553243518,0.000118771924462635,8.601675654063e-05,0.000548681360669434
"TTC34",0.00223507010377944,0.00168418162502348,0.000175050663528964,0.0019621413666755,0.00235029845498502,0.002300611929968,0.000602893065661192,0.0025867170188576,0.000110358560050372,8.33589874673635e-05,0.000442205346189439
"PRDM16-DT",0.0026971457991749,0.00432860758155584,0.000657556403893977,0.00233698054216802,0.00355771859176457,0.00243201316334307,0.00134140579029918,0.00270633306354284,0.000171806139405817,0.000178650458110496,0.00690208608284593
"PRDM16",0.00246899016201496,0.00185932347085327,0.000193480853340589,0.00225055287592113,0.00227470393292606,0.00192804809194058,0.000647441192995757,0.00266266288235784,0.000154119174112566,8.57496852404438e-05,0.000577554164920002
"ARHGEF16",0.00219068466685712,0.477721571922302,0,0.00158866716083139,0.0022733760997653,0.00270971562713385,0.014501852914691,0.00295742461457849,9.91469350992702e-05,0.0308686960488558,0.00834557507187128
"AL512413.1",0.00202063703909516,0.00197292352095246,0.000168282815138809,0.00192813586909324,0.00237335031852126,0.00198936834931374,0.000552942976355553,0.00264889793470502,0.000115287592052482,7.82929419074208e-05,0.000369487068383023
"MEGF6",0.547875344753265,0.0778355151414871,0.0631234124302864,0.872484624385834,1.15786910057068,0.0149953169748187,0.0617791451513767,0.00913565512746572,0.000634754658676684,0.0347249060869217,0.316983073949814
"TPRG1L",0.520887851715088,0.268945306539536,0.022832615301013,0.661727249622345,0.0120198335498571,1.62655425071716,0.0171807948499918,0.00371575308963656,0.000100247147202026,3.57624703610782e-05,0.174294844269753
"WRAP73",0.944680392742157,0.0539409220218658,0.000423123012296855,0.0023478320799768,0.00916023086756468,0.943345487117767,0.0324245616793633,0.00210878881625831,0.000234582665143535,0.000181213355972432,0.0459279045462608
"TP73",0.00251709367148578,0.00181791232898831,0.000346491578966379,0.00218505412340164,0.00245847599580884,0.00294591952115297,0.00119855278171599,0.00293657020665705,0.000199794143554755,8.67301641847007e-05,0.00797800067812204
"SMIM1",0.718241691589355,0.00550844520330429,0.000177331239683554,0.00214548618532717,0.0027904671151191,0.00787248089909554,0.000895949779078364,0.00251984409987926,0.000100734556326643,7.91576094343327e-05,0.0387642420828342
"LRRC47",0.00203566229902208,0.663329899311066,0.000971513916738331,0.00154505495447665,0.00274818134494126,0.93995064496994,0.035843450576067,0.00318264286033809,0.07297233492136,3.91688699892256e-05,0.0838184729218483
"CEP104",0.00433761766180396,0.0488590151071548,0.00117712456267327,0.420137196779251,0.00581691414117813,0.0019031687406823,0.145079404115677,0.00354799954220653,0.00047782200272195,0.000363178987754509,0.0644599869847298
"DFFB",0.00431743916124105,0.00339200627058744,0.00316778849810362,0.00330696464516222,0.00285500264726579,0.00322159053757787,0.00191715802066028,0.00531293218955398,0.000288264942355454,0.000117964191304054,0.00573003105819225
"C1orf174",0.0024273635353893,0.0100650358945131,0.0010105543769896,0.427650183439255,0.0020984502043575,0.00252327765338123,0.018944825977087,0.00363290216773748,0.000112693203845993,0.000105300052382518,0.0284359715878963
"AJAP1",0.00918341707438231,0.0031612787861377,0.00135848601348698,0.00313694588840008,0.00407752394676208,0.00385080906562507,0.00164163950830698,0.00398650439456105,0.000170790532138199,0.000112935573270079,0.0020926259458065
"NPHP4",0.474155068397522,0.0520219057798386,0.000196624605450779,0.00240363576449454,0.85767787694931,0.88431179523468,0.00141592975705862,0.00254383310675621,0.000263780413661152,0.000108440268377308,0.00829508434981108
"KCNAB2",0.469668388366699,0.101399570703506,0.0157116129994392,0.394510895013809,0.0439861230552197,0.00226404098793864,0.298876881599426,0.485511213541031,0.0491651743650436,0.0535573549568653,0.120156653225422
